detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354935,354936,354980,354980,closed,timeout,18970.75,18958.75,18971.0,18958.5,18950.75,19002.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,45.0,45.0,19.0,2024-01-02 01:02:00+00:00,2024-01-02 01:02:00+00:00,2024-01-02 01:47:00+00:00,2024-01-02 01:47:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49740.0
355129,355130,355174,355174,closed,timeout,18949.5,18950.75,18949.75,18950.5,18929.5,18981.5,1.25,0.75,0.25,5.0,10.0,0.5,45.0,45.0,3.0,2024-01-02 04:16:00+00:00,2024-01-02 04:16:00+00:00,2024-01-02 05:01:00+00:00,2024-01-02 05:01:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49745.0
355185,355186,355230,355230,closed,timeout,18953.75,18959.75,18954.0,18959.5,18933.75,18985.75,6.0,5.5,5.0,100.0,10.0,0.5,45.0,45.0,0.75,2024-01-02 05:12:00+00:00,2024-01-02 05:12:00+00:00,2024-01-02 05:57:00+00:00,2024-01-02 05:57:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49845.0
355305,355306,355350,355350,closed,timeout,18955.5,18959.75,18955.75,18959.5,18935.5,18987.5,4.25,3.75,3.25,65.0,10.0,0.5,45.0,45.0,2.75,2024-01-02 07:12:00+00:00,2024-01-02 07:12:00+00:00,2024-01-02 07:57:00+00:00,2024-01-02 07:57:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49910.0
355354,355355,355399,355399,closed,timeout,18963.0,18971.25,18963.25,18971.0,18943.0,18995.0,8.25,7.75,7.25,145.0,10.0,0.5,45.0,45.0,0.75,2024-01-02 08:01:00+00:00,2024-01-02 08:01:00+00:00,2024-01-02 08:46:00+00:00,2024-01-02 08:46:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,50055.0
355514,355515,355531,355531,closed,stop,18937.25,18917.25,18937.5,18917.0,18917.25,18969.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,17.0,17.0,22.5,2024-01-02 10:41:00+00:00,2024-01-02 10:41:00+00:00,2024-01-02 10:58:00+00:00,2024-01-02 11:26:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49635.0
355590,355591,355600,355600,closed,stop,18818.0,18798.0,18818.25,18797.75,18798.0,18850.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,10.0,10.0,29.5,2024-01-02 11:57:00+00:00,2024-01-02 11:57:00+00:00,2024-01-02 12:07:00+00:00,2024-01-02 12:42:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49215.0
355685,355686,355730,355730,closed,timeout,18780.5,18803.25,18780.75,18803.0,18760.5,18812.5,22.75,22.25,21.75,435.0,10.0,0.5,45.0,45.0,8.25,2024-01-02 13:32:00+00:00,2024-01-02 13:32:00+00:00,2024-01-02 14:17:00+00:00,2024-01-02 14:17:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49650.0
355737,355738,355744,355744,closed,stop,18814.75,18794.75,18815.0,18794.5,18794.75,18846.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,7.0,7.0,33.0,2024-01-02 14:24:00+00:00,2024-01-02 14:24:00+00:00,2024-01-02 14:31:00+00:00,2024-01-02 15:09:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49230.0
355838,355839,355864,355864,closed,target,18671.5,18703.5,18671.75,18703.25,18651.5,18703.5,32.0,31.5,31.0,620.0,10.0,0.5,26.0,26.0,13.5,2024-01-02 16:05:00+00:00,2024-01-02 16:05:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 16:50:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49850.0
355864,355865,355909,355909,closed,timeout,18707.75,18717.0,18708.0,18716.75,18687.75,18739.75,9.25,8.75,8.25,165.0,10.0,0.5,45.0,45.0,7.25,2024-01-02 16:31:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 17:16:00+00:00,2024-01-02 17:16:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,50015.0
355934,355935,355940,355940,closed,stop,18725.5,18705.5,18725.75,18705.25,18705.5,18757.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,20.25,2024-01-02 17:41:00+00:00,2024-01-02 17:41:00+00:00,2024-01-02 17:47:00+00:00,2024-01-02 18:26:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49595.0
355978,355979,356006,356006,closed,stop,18675.25,18655.25,18675.5,18655.0,18655.25,18707.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,28.0,28.0,25.5,2024-01-02 18:25:00+00:00,2024-01-02 18:25:00+00:00,2024-01-02 18:53:00+00:00,2024-01-02 19:10:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49175.0
356253,356254,356298,356298,closed,timeout,18667.25,18657.75,18667.5,18657.5,18647.25,18699.25,-9.5,-10.0,-10.5,-210.0,10.0,0.5,45.0,45.0,11.25,2024-01-03 00:15:00+00:00,2024-01-03 00:15:00+00:00,2024-01-03 01:00:00+00:00,2024-01-03 01:00:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48965.0
356351,356352,356396,356396,closed,timeout,18655.5,18647.5,18655.75,18647.25,18635.5,18687.5,-8.0,-8.5,-9.0,-180.0,10.0,0.5,45.0,45.0,14.5,2024-01-03 01:53:00+00:00,2024-01-03 01:53:00+00:00,2024-01-03 02:38:00+00:00,2024-01-03 02:38:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48785.0
356554,356555,356599,356599,closed,timeout,18637.75,18645.0,18638.0,18644.75,18617.75,18669.75,7.25,6.75,6.25,125.0,10.0,0.5,45.0,45.0,4.0,2024-01-03 05:16:00+00:00,2024-01-03 05:16:00+00:00,2024-01-03 06:01:00+00:00,2024-01-03 06:01:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48910.0
356621,356622,356666,356666,closed,timeout,18650.75,18649.25,18651.0,18649.0,18630.75,18682.75,-1.5,-2.0,-2.5,-50.0,10.0,0.5,45.0,45.0,6.75,2024-01-03 06:23:00+00:00,2024-01-03 06:23:00+00:00,2024-01-03 07:08:00+00:00,2024-01-03 07:08:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48860.0
356730,356731,356759,356759,closed,stop,18665.0,18645.0,18665.25,18644.75,18645.0,18697.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,29.0,29.0,21.0,2024-01-03 08:12:00+00:00,2024-01-03 08:12:00+00:00,2024-01-03 08:41:00+00:00,2024-01-03 08:57:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48440.0
356873,356874,356918,356918,closed,timeout,18606.0,18599.25,18606.25,18599.0,18586.0,18638.0,-6.75,-7.25,-7.75,-155.0,10.0,0.5,45.0,45.0,11.25,2024-01-03 10:35:00+00:00,2024-01-03 10:35:00+00:00,2024-01-03 11:20:00+00:00,2024-01-03 11:20:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48285.0
357035,357036,357080,357080,closed,timeout,18562.5,18565.5,18562.75,18565.25,18542.5,18594.5,3.0,2.5,2.0,40.0,10.0,0.5,45.0,45.0,6.75,2024-01-03 13:17:00+00:00,2024-01-03 13:17:00+00:00,2024-01-03 14:02:00+00:00,2024-01-03 14:02:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48325.0
357197,357198,357238,357238,closed,stop,18532.0,18512.0,18532.25,18511.75,18512.0,18564.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,41.0,41.0,20.5,2024-01-03 15:59:00+00:00,2024-01-03 15:59:00+00:00,2024-01-03 16:40:00+00:00,2024-01-03 16:44:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47905.0
357288,357289,357320,357320,closed,target,18521.25,18553.25,18521.5,18553.0,18501.25,18553.25,32.0,31.5,31.0,620.0,10.0,0.5,32.0,32.0,7.25,2024-01-03 17:30:00+00:00,2024-01-03 17:30:00+00:00,2024-01-03 18:02:00+00:00,2024-01-03 18:15:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48525.0
357320,357321,357339,357339,closed,stop,18552.0,18532.0,18552.25,18531.75,18532.0,18584.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,19.0,19.0,23.25,2024-01-03 18:02:00+00:00,2024-01-03 18:02:00+00:00,2024-01-03 18:21:00+00:00,2024-01-03 18:47:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48105.0
357405,357406,357438,357438,closed,stop,18550.75,18530.75,18551.0,18530.5,18530.75,18582.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,33.0,33.0,21.75,2024-01-03 19:27:00+00:00,2024-01-03 19:27:00+00:00,2024-01-03 20:00:00+00:00,2024-01-03 20:12:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47685.0
357626,357627,357671,357671,closed,timeout,18490.0,18499.5,18490.25,18499.25,18470.0,18522.0,9.5,9.0,8.5,170.0,10.0,0.5,45.0,45.0,1.25,2024-01-04 00:23:00+00:00,2024-01-04 00:23:00+00:00,2024-01-04 01:08:00+00:00,2024-01-04 01:08:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47855.0
357778,357779,357823,357823,closed,timeout,18494.0,18493.0,18494.25,18492.75,18474.0,18526.0,-1.0,-1.5,-2.0,-40.0,10.0,0.5,45.0,45.0,4.0,2024-01-04 02:55:00+00:00,2024-01-04 02:55:00+00:00,2024-01-04 03:40:00+00:00,2024-01-04 03:40:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47815.0
357848,357849,357893,357893,closed,timeout,18494.75,18490.5,18495.0,18490.25,18474.75,18526.75,-4.25,-4.75,-5.25,-105.0,10.0,0.5,45.0,45.0,5.5,2024-01-04 04:05:00+00:00,2024-01-04 04:05:00+00:00,2024-01-04 04:50:00+00:00,2024-01-04 04:50:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47710.0
357985,357986,358030,358030,closed,timeout,18488.75,18511.0,18489.0,18510.75,18468.75,18520.75,22.25,21.75,21.25,425.0,10.0,0.5,45.0,45.0,0.25,2024-01-04 06:22:00+00:00,2024-01-04 06:22:00+00:00,2024-01-04 07:07:00+00:00,2024-01-04 07:07:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48135.0
358049,358050,358094,358094,closed,timeout,18516.5,18524.5,18516.75,18524.25,18496.5,18548.5,8.0,7.5,7.0,140.0,10.0,0.5,45.0,45.0,9.0,2024-01-04 07:26:00+00:00,2024-01-04 07:26:00+00:00,2024-01-04 08:11:00+00:00,2024-01-04 08:11:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48275.0
358160,358161,358205,358205,closed,timeout,18515.25,18513.75,18515.5,18513.5,18495.25,18547.25,-1.5,-2.0,-2.5,-50.0,10.0,0.5,45.0,45.0,7.5,2024-01-04 09:17:00+00:00,2024-01-04 09:17:00+00:00,2024-01-04 10:02:00+00:00,2024-01-04 10:02:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48225.0
358281,358282,358303,358303,closed,stop,18510.25,18490.25,18510.5,18490.0,18490.25,18542.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,22.0,22.0,22.5,2024-01-04 11:18:00+00:00,2024-01-04 11:18:00+00:00,2024-01-04 11:40:00+00:00,2024-01-04 12:03:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47805.0
358476,358477,358477,358477,closed,stop,18429.25,18409.25,18429.5,18409.0,18409.25,18461.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,1.0,1.0,20.75,2024-01-04 14:33:00+00:00,2024-01-04 14:33:00+00:00,2024-01-04 14:34:00+00:00,2024-01-04 15:18:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47385.0
358553,358554,358577,358577,closed,target,18476.5,18508.5,18476.75,18508.25,18456.5,18508.5,32.0,31.5,31.0,620.0,10.0,0.5,24.0,24.0,17.75,2024-01-04 15:50:00+00:00,2024-01-04 15:50:00+00:00,2024-01-04 16:14:00+00:00,2024-01-04 16:35:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48005.0
358578,358579,358594,358594,closed,stop,18512.25,18492.25,18512.5,18492.0,18492.25,18544.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,16.0,16.0,21.0,2024-01-04 16:15:00+00:00,2024-01-04 16:15:00+00:00,2024-01-04 16:31:00+00:00,2024-01-04 17:00:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47585.0
358714,358715,358740,358740,closed,stop,18463.75,18443.75,18464.0,18443.5,18443.75,18495.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,26.0,26.0,21.5,2024-01-04 18:31:00+00:00,2024-01-04 18:31:00+00:00,2024-01-04 18:57:00+00:00,2024-01-04 19:16:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47165.0
358794,358795,358820,358820,closed,stop,18431.75,18411.75,18432.0,18411.5,18411.75,18463.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,26.0,26.0,20.75,2024-01-04 19:51:00+00:00,2024-01-04 19:51:00+00:00,2024-01-04 20:17:00+00:00,2024-01-04 20:36:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,46745.0
358986,358987,359031,359031,closed,timeout,18403.0,18402.75,18403.25,18402.5,18383.0,18435.0,-0.25,-0.75,-1.25,-25.0,10.0,0.5,45.0,45.0,4.5,2024-01-05 00:18:00+00:00,2024-01-05 00:18:00+00:00,2024-01-05 01:03:00+00:00,2024-01-05 01:03:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,46720.0
359040,359041,359085,359085,closed,timeout,18407.25,18400.5,18407.5,18400.25,18387.25,18439.25,-6.75,-7.25,-7.75,-155.0,10.0,0.5,45.0,45.0,15.5,2024-01-05 01:12:00+00:00,2024-01-05 01:12:00+00:00,2024-01-05 01:57:00+00:00,2024-01-05 01:57:00+00:00,breakout_long_all_9302dbd39778,1,market,0.0,45,1,20,32,46565.0
