detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354935,354936,354936,354936,closed,timeout,18970.75,18973.0,18971.0,18972.75,18962.75,19002.75,2.25,1.75,1.25,25.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 01:02:00+00:00,2024-01-02 01:02:00+00:00,2024-01-02 01:03:00+00:00,2024-01-02 01:03:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,50025.0
354936,354937,354937,354937,closed,timeout,18973.0,18974.0,18973.25,18973.75,18965.0,19005.0,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 01:03:00+00:00,2024-01-02 01:03:00+00:00,2024-01-02 01:04:00+00:00,2024-01-02 01:04:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,50025.0
354937,354938,354938,354938,closed,timeout,18973.75,18976.75,18974.0,18976.5,18965.75,19005.75,3.0,2.5,2.0,40.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 01:04:00+00:00,2024-01-02 01:04:00+00:00,2024-01-02 01:05:00+00:00,2024-01-02 01:05:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,50065.0
354938,354939,354939,354939,closed,timeout,18977.0,18979.0,18977.25,18978.75,18969.0,19009.0,2.0,1.5,1.0,20.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 01:05:00+00:00,2024-01-02 01:05:00+00:00,2024-01-02 01:06:00+00:00,2024-01-02 01:06:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,50085.0
354939,354940,354940,354940,closed,timeout,18979.25,18978.5,18979.5,18978.25,18971.25,19011.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 01:06:00+00:00,2024-01-02 01:06:00+00:00,2024-01-02 01:07:00+00:00,2024-01-02 01:07:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,50050.0
355129,355130,355130,355130,closed,timeout,18949.5,18948.75,18949.75,18948.5,18941.5,18981.5,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 04:16:00+00:00,2024-01-02 04:16:00+00:00,2024-01-02 04:17:00+00:00,2024-01-02 04:17:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,50015.0
355148,355149,355149,355149,closed,timeout,18951.75,18952.25,18952.0,18952.0,18943.75,18983.75,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 04:35:00+00:00,2024-01-02 04:35:00+00:00,2024-01-02 04:36:00+00:00,2024-01-02 04:36:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,50005.0
355149,355150,355150,355150,closed,timeout,18952.25,18952.75,18952.5,18952.5,18944.25,18984.25,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 04:36:00+00:00,2024-01-02 04:36:00+00:00,2024-01-02 04:37:00+00:00,2024-01-02 04:37:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,49995.0
355185,355186,355186,355186,closed,timeout,18953.75,18954.75,18954.0,18954.5,18945.75,18985.75,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 05:12:00+00:00,2024-01-02 05:12:00+00:00,2024-01-02 05:13:00+00:00,2024-01-02 05:13:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,49995.0
355188,355189,355189,355189,closed,timeout,18957.5,18957.0,18957.75,18956.75,18949.5,18989.5,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 05:15:00+00:00,2024-01-02 05:15:00+00:00,2024-01-02 05:16:00+00:00,2024-01-02 05:16:00+00:00,breakout_long_all_fd2bfa0e2f77,1,market,0.0,1,1,8,32,49965.0
