detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356104,356105,356105,356105,closed,timeout,18592.5,18598.25,18592.75,18598.0,18584.5,18612.5,5.75,5.25,4.75,95.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 20:31:00+00:00,2024-01-02 20:31:00+00:00,2024-01-02 20:32:00+00:00,2024-01-02 20:32:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50095.0
356105,356106,356106,356106,closed,timeout,18598.25,18599.0,18598.5,18598.75,18590.25,18618.25,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,4.5,2024-01-02 20:32:00+00:00,2024-01-02 20:32:00+00:00,2024-01-02 20:33:00+00:00,2024-01-02 20:33:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50090.0
356122,356123,356123,356123,closed,timeout,18604.25,18606.25,18604.5,18606.0,18596.25,18624.25,2.0,1.5,1.0,20.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 20:49:00+00:00,2024-01-02 20:49:00+00:00,2024-01-02 20:50:00+00:00,2024-01-02 20:50:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50110.0
356124,356125,356125,356125,closed,timeout,18632.75,18636.75,18633.0,18636.5,18624.75,18652.75,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,5.25,2024-01-02 20:51:00+00:00,2024-01-02 20:51:00+00:00,2024-01-02 20:52:00+00:00,2024-01-02 20:52:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50170.0
356125,356126,356126,356126,closed,timeout,18636.5,18633.0,18636.75,18632.75,18628.5,18656.5,-3.5,-4.0,-4.5,-90.0,10.0,0.5,1.0,1.0,6.75,2024-01-02 20:52:00+00:00,2024-01-02 20:52:00+00:00,2024-01-02 20:53:00+00:00,2024-01-02 20:53:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50080.0
356129,356130,356130,356130,closed,timeout,18645.75,18653.75,18646.0,18653.5,18637.75,18665.75,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 20:56:00+00:00,2024-01-02 20:56:00+00:00,2024-01-02 20:57:00+00:00,2024-01-02 20:57:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50220.0
357405,357406,357406,357406,closed,timeout,18550.75,18556.25,18551.0,18556.0,18542.75,18570.75,5.5,5.0,4.5,90.0,10.0,0.5,1.0,1.0,3.25,2024-01-03 19:27:00+00:00,2024-01-03 19:27:00+00:00,2024-01-03 19:28:00+00:00,2024-01-03 19:28:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50310.0
358794,358795,358795,358795,closed,timeout,18431.75,18433.5,18432.0,18433.25,18423.75,18451.75,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,2.5,2024-01-04 19:51:00+00:00,2024-01-04 19:51:00+00:00,2024-01-04 19:52:00+00:00,2024-01-04 19:52:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50325.0
358810,358811,358811,358811,closed,timeout,18440.75,18440.5,18441.0,18440.25,18432.75,18460.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,2.5,2024-01-04 20:07:00+00:00,2024-01-04 20:07:00+00:00,2024-01-04 20:08:00+00:00,2024-01-04 20:08:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50300.0
358812,358813,358813,358813,closed,timeout,18446.5,18449.0,18446.75,18448.75,18438.5,18466.5,2.5,2.0,1.5,30.0,10.0,0.5,1.0,1.0,2.25,2024-01-04 20:09:00+00:00,2024-01-04 20:09:00+00:00,2024-01-04 20:10:00+00:00,2024-01-04 20:10:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50330.0
360119,360120,360120,360120,closed,stop,18449.25,18441.25,18449.5,18441.0,18441.25,18469.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,9.5,2024-01-05 19:11:00+00:00,2024-01-05 19:11:00+00:00,2024-01-05 19:12:00+00:00,2024-01-05 19:12:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50150.0
360207,360208,360208,360208,closed,timeout,18371.5,18365.25,18371.75,18365.0,18363.5,18391.5,-6.25,-6.75,-7.25,-145.0,10.0,0.5,1.0,1.0,7.25,2024-01-05 20:39:00+00:00,2024-01-05 20:39:00+00:00,2024-01-05 20:40:00+00:00,2024-01-05 20:40:00+00:00,breakout_long_late_115627c9b6a3,1,market,0.0,1,1,8,20,50005.0
