detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355838,355839,355864,355864,closed,target,18671.5,18703.5,18671.75,18703.25,18651.5,18703.5,32.0,31.5,31.0,620.0,10.0,0.5,26.0,26.0,13.5,2024-01-02 16:05:00+00:00,2024-01-02 16:05:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 16:50:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50620.0
355864,355865,355909,355909,closed,timeout,18707.75,18717.0,18708.0,18716.75,18687.75,18739.75,9.25,8.75,8.25,165.0,10.0,0.5,45.0,45.0,7.25,2024-01-02 16:31:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 17:16:00+00:00,2024-01-02 17:16:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50785.0
355934,355935,355940,355940,closed,stop,18725.5,18705.5,18725.75,18705.25,18705.5,18757.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,20.25,2024-01-02 17:41:00+00:00,2024-01-02 17:41:00+00:00,2024-01-02 17:47:00+00:00,2024-01-02 18:26:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50365.0
355978,355979,356006,356006,closed,stop,18675.25,18655.25,18675.5,18655.0,18655.25,18707.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,28.0,28.0,25.5,2024-01-02 18:25:00+00:00,2024-01-02 18:25:00+00:00,2024-01-02 18:53:00+00:00,2024-01-02 19:10:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,49945.0
357198,357199,357238,357238,closed,stop,18536.75,18516.75,18537.0,18516.5,18516.75,18568.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,40.0,40.0,25.25,2024-01-03 16:00:00+00:00,2024-01-03 16:00:00+00:00,2024-01-03 16:40:00+00:00,2024-01-03 16:45:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,49525.0
357288,357289,357320,357320,closed,target,18521.25,18553.25,18521.5,18553.0,18501.25,18553.25,32.0,31.5,31.0,620.0,10.0,0.5,32.0,32.0,7.25,2024-01-03 17:30:00+00:00,2024-01-03 17:30:00+00:00,2024-01-03 18:02:00+00:00,2024-01-03 18:15:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50145.0
357320,357321,357339,357339,closed,stop,18552.0,18532.0,18552.25,18531.75,18532.0,18584.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,19.0,19.0,23.25,2024-01-03 18:02:00+00:00,2024-01-03 18:02:00+00:00,2024-01-03 18:21:00+00:00,2024-01-03 18:47:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,49725.0
358574,358575,358614,358614,closed,stop,18494.5,18474.5,18494.75,18474.25,18474.5,18526.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,40.0,40.0,24.75,2024-01-04 16:11:00+00:00,2024-01-04 16:11:00+00:00,2024-01-04 16:51:00+00:00,2024-01-04 16:56:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,49305.0
358714,358715,358740,358740,closed,stop,18463.75,18443.75,18464.0,18443.5,18443.75,18495.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,26.0,26.0,21.5,2024-01-04 18:31:00+00:00,2024-01-04 18:31:00+00:00,2024-01-04 18:57:00+00:00,2024-01-04 19:16:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,48885.0
359930,359931,359936,359936,closed,stop,18516.5,18496.5,18516.75,18496.25,18496.5,18548.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,26.0,2024-01-05 16:02:00+00:00,2024-01-05 16:02:00+00:00,2024-01-05 16:08:00+00:00,2024-01-05 16:47:00+00:00,breakout_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,48465.0
