detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355838,355839,355844,355844,closed,target,18671.5,18683.5,18671.75,18683.25,18651.5,18683.5,12.0,11.5,11.0,220.0,10.0,0.5,6.0,6.0,13.5,2024-01-02 16:05:00+00:00,2024-01-02 16:05:00+00:00,2024-01-02 16:11:00+00:00,2024-01-02 16:50:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50220.0
355844,355845,355854,355854,closed,target,18688.25,18700.25,18688.5,18700.0,18668.25,18700.25,12.0,11.5,11.0,220.0,10.0,0.5,10.0,10.0,7.5,2024-01-02 16:11:00+00:00,2024-01-02 16:11:00+00:00,2024-01-02 16:21:00+00:00,2024-01-02 16:56:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50440.0
355864,355865,355879,355879,closed,target,18707.75,18719.75,18708.0,18719.5,18687.75,18719.75,12.0,11.5,11.0,220.0,10.0,0.5,15.0,15.0,7.25,2024-01-02 16:31:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 16:46:00+00:00,2024-01-02 17:16:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50660.0
355879,355880,355911,355911,closed,stop,18720.25,18700.25,18720.5,18700.0,18700.25,18732.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,32.0,32.0,26.0,2024-01-02 16:46:00+00:00,2024-01-02 16:46:00+00:00,2024-01-02 17:18:00+00:00,2024-01-02 17:31:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50240.0
355934,355935,355940,355940,closed,stop,18725.5,18705.5,18725.75,18705.25,18705.5,18737.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,20.25,2024-01-02 17:41:00+00:00,2024-01-02 17:41:00+00:00,2024-01-02 17:47:00+00:00,2024-01-02 18:26:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49820.0
355978,355979,356006,356006,closed,stop,18675.25,18655.25,18675.5,18655.0,18655.25,18687.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,28.0,28.0,25.5,2024-01-02 18:25:00+00:00,2024-01-02 18:25:00+00:00,2024-01-02 18:53:00+00:00,2024-01-02 19:10:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49400.0
357198,357199,357199,357199,closed,target,18536.75,18548.75,18537.0,18548.5,18516.75,18548.75,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,1.0,2024-01-03 16:00:00+00:00,2024-01-03 16:00:00+00:00,2024-01-03 16:01:00+00:00,2024-01-03 16:45:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49620.0
357199,357200,357209,357209,closed,stop,18553.0,18533.0,18553.25,18532.75,18533.0,18565.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,10.0,10.0,20.75,2024-01-03 16:01:00+00:00,2024-01-03 16:01:00+00:00,2024-01-03 16:11:00+00:00,2024-01-03 16:46:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49200.0
357288,357289,357316,357316,closed,target,18521.25,18533.25,18521.5,18533.0,18501.25,18533.25,12.0,11.5,11.0,220.0,10.0,0.5,28.0,28.0,7.25,2024-01-03 17:30:00+00:00,2024-01-03 17:30:00+00:00,2024-01-03 17:58:00+00:00,2024-01-03 18:15:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49420.0
357317,357318,357320,357320,closed,target,18539.5,18551.5,18539.75,18551.25,18519.5,18551.5,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,0.25,2024-01-03 17:59:00+00:00,2024-01-03 17:59:00+00:00,2024-01-03 18:02:00+00:00,2024-01-03 18:44:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49640.0
357320,357321,357339,357339,closed,stop,18552.0,18532.0,18552.25,18531.75,18532.0,18564.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,19.0,19.0,23.25,2024-01-03 18:02:00+00:00,2024-01-03 18:02:00+00:00,2024-01-03 18:21:00+00:00,2024-01-03 18:47:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49220.0
358574,358575,358577,358577,closed,target,18494.5,18506.5,18494.75,18506.25,18474.5,18506.5,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,2.5,2024-01-04 16:11:00+00:00,2024-01-04 16:11:00+00:00,2024-01-04 16:14:00+00:00,2024-01-04 16:56:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49440.0
358578,358579,358581,358581,closed,target,18512.25,18524.25,18512.5,18524.0,18492.25,18524.25,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,1.75,2024-01-04 16:15:00+00:00,2024-01-04 16:15:00+00:00,2024-01-04 16:18:00+00:00,2024-01-04 17:00:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49660.0
358714,358715,358740,358740,closed,stop,18463.75,18443.75,18464.0,18443.5,18443.75,18475.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,26.0,26.0,21.5,2024-01-04 18:31:00+00:00,2024-01-04 18:31:00+00:00,2024-01-04 18:57:00+00:00,2024-01-04 19:16:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49240.0
359930,359931,359936,359936,closed,stop,18516.5,18496.5,18516.75,18496.25,18496.5,18528.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,26.0,2024-01-05 16:02:00+00:00,2024-01-05 16:02:00+00:00,2024-01-05 16:08:00+00:00,2024-01-05 16:47:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,48820.0
360078,360079,360079,360079,closed,target,18412.25,18424.25,18412.5,18424.0,18392.25,18424.25,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,0.75,2024-01-05 18:30:00+00:00,2024-01-05 18:30:00+00:00,2024-01-05 18:31:00+00:00,2024-01-05 19:15:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49040.0
360079,360080,360088,360088,closed,target,18431.0,18443.0,18431.25,18442.75,18411.0,18443.0,12.0,11.5,11.0,220.0,10.0,0.5,9.0,9.0,13.75,2024-01-05 18:31:00+00:00,2024-01-05 18:31:00+00:00,2024-01-05 18:40:00+00:00,2024-01-05 19:16:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49260.0
360088,360089,360127,360127,closed,stop,18440.75,18420.75,18441.0,18420.5,18420.75,18452.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,39.0,39.0,30.0,2024-01-05 18:40:00+00:00,2024-01-05 18:40:00+00:00,2024-01-05 19:19:00+00:00,2024-01-05 19:25:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,48840.0
361353,361354,361355,361355,closed,target,18618.75,18630.75,18619.0,18630.5,18598.75,18630.75,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,1.75,2024-01-08 17:00:00+00:00,2024-01-08 17:00:00+00:00,2024-01-08 17:02:00+00:00,2024-01-08 17:45:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49060.0
361388,361389,361395,361395,closed,target,18639.0,18651.0,18639.25,18650.75,18619.0,18651.0,12.0,11.5,11.0,220.0,10.0,0.5,7.0,7.0,2.75,2024-01-08 17:35:00+00:00,2024-01-08 17:35:00+00:00,2024-01-08 17:42:00+00:00,2024-01-08 18:20:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49280.0
361395,361396,361440,361440,closed,timeout,18653.25,18658.75,18653.5,18658.5,18633.25,18665.25,5.5,5.0,4.5,90.0,10.0,0.5,45.0,45.0,10.5,2024-01-08 17:42:00+00:00,2024-01-08 17:42:00+00:00,2024-01-08 18:27:00+00:00,2024-01-08 18:27:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49370.0
361461,361462,361484,361484,closed,target,18673.5,18685.5,18673.75,18685.25,18653.5,18685.5,12.0,11.5,11.0,220.0,10.0,0.5,23.0,23.0,6.75,2024-01-08 18:48:00+00:00,2024-01-08 18:48:00+00:00,2024-01-08 19:11:00+00:00,2024-01-08 19:33:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49590.0
362674,362675,362707,362707,closed,target,18721.0,18733.0,18721.25,18732.75,18701.0,18733.0,12.0,11.5,11.0,220.0,10.0,0.5,33.0,33.0,9.75,2024-01-09 16:17:00+00:00,2024-01-09 16:17:00+00:00,2024-01-09 16:50:00+00:00,2024-01-09 17:02:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49810.0
362707,362708,362710,362710,closed,target,18733.75,18745.75,18734.0,18745.5,18713.75,18745.75,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,0.5,2024-01-09 16:50:00+00:00,2024-01-09 16:50:00+00:00,2024-01-09 16:53:00+00:00,2024-01-09 17:35:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50030.0
362710,362711,362713,362713,closed,target,18748.25,18760.25,18748.5,18760.0,18728.25,18760.25,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,0.75,2024-01-09 16:53:00+00:00,2024-01-09 16:53:00+00:00,2024-01-09 16:56:00+00:00,2024-01-09 17:38:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50250.0
362713,362714,362718,362718,closed,target,18762.75,18774.75,18763.0,18774.5,18742.75,18774.75,12.0,11.5,11.0,220.0,10.0,0.5,5.0,5.0,1.0,2024-01-09 16:56:00+00:00,2024-01-09 16:56:00+00:00,2024-01-09 17:01:00+00:00,2024-01-09 17:41:00+00:00,breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50470.0
