detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
357197,357198,357217,357217,closed,timeout,18532.0,18531.75,18532.25,18531.5,18512.0,18564.0,-0.25,-0.75,-1.25,-25.0,10.0,0.5,20.0,20.0,3.25,2024-01-03 15:59:00+00:00,2024-01-03 15:59:00+00:00,2024-01-03 16:19:00+00:00,2024-01-03 16:19:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,49975.0
358476,358477,358477,358477,closed,stop,18429.25,18409.25,18429.5,18409.0,18409.25,18461.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,1.0,1.0,20.75,2024-01-04 14:33:00+00:00,2024-01-04 14:33:00+00:00,2024-01-04 14:34:00+00:00,2024-01-04 14:53:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,49555.0
358553,358554,358573,358573,closed,timeout,18476.5,18486.0,18476.75,18485.75,18456.5,18508.5,9.5,9.0,8.5,170.0,10.0,0.5,20.0,20.0,17.75,2024-01-04 15:50:00+00:00,2024-01-04 15:50:00+00:00,2024-01-04 16:10:00+00:00,2024-01-04 16:10:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,49725.0
359839,359840,359844,359844,closed,target,18396.75,18428.75,18397.0,18428.5,18376.75,18428.75,32.0,31.5,31.0,620.0,10.0,0.5,5.0,5.0,11.0,2024-01-05 14:31:00+00:00,2024-01-05 14:31:00+00:00,2024-01-05 14:36:00+00:00,2024-01-05 14:51:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,50345.0
359870,359871,359872,359872,closed,target,18454.0,18486.0,18454.25,18485.75,18434.0,18486.0,32.0,31.5,31.0,620.0,10.0,0.5,2.0,2.0,1.75,2024-01-05 15:02:00+00:00,2024-01-05 15:02:00+00:00,2024-01-05 15:04:00+00:00,2024-01-05 15:22:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,50965.0
359872,359873,359885,359885,closed,stop,18485.5,18465.5,18485.75,18465.25,18465.5,18517.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,13.0,13.0,26.5,2024-01-05 15:04:00+00:00,2024-01-05 15:04:00+00:00,2024-01-05 15:17:00+00:00,2024-01-05 15:24:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,50545.0
361203,361204,361206,361206,closed,target,18453.25,18485.25,18453.5,18485.0,18433.25,18485.25,32.0,31.5,31.0,620.0,10.0,0.5,3.0,3.0,6.75,2024-01-08 14:30:00+00:00,2024-01-08 14:30:00+00:00,2024-01-08 14:33:00+00:00,2024-01-08 14:50:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,51165.0
361209,361210,361219,361219,closed,target,18494.75,18526.75,18495.0,18526.5,18474.75,18526.75,32.0,31.5,31.0,620.0,10.0,0.5,10.0,10.0,11.0,2024-01-08 14:36:00+00:00,2024-01-08 14:36:00+00:00,2024-01-08 14:46:00+00:00,2024-01-08 14:56:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,51785.0
361219,361220,361233,361233,closed,target,18527.75,18559.75,18528.0,18559.5,18507.75,18559.75,32.0,31.5,31.0,620.0,10.0,0.5,14.0,14.0,9.75,2024-01-08 14:46:00+00:00,2024-01-08 14:46:00+00:00,2024-01-08 15:00:00+00:00,2024-01-08 15:06:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,52405.0
361233,361234,361253,361253,closed,timeout,18569.75,18583.25,18570.0,18583.0,18549.75,18601.75,13.5,13.0,12.5,250.0,10.0,0.5,20.0,20.0,16.0,2024-01-08 15:00:00+00:00,2024-01-08 15:00:00+00:00,2024-01-08 15:20:00+00:00,2024-01-08 15:20:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,52655.0
361264,361265,361284,361284,closed,timeout,18588.5,18605.0,18588.75,18604.75,18568.5,18620.5,16.5,16.0,15.5,310.0,10.0,0.5,20.0,20.0,6.75,2024-01-08 15:31:00+00:00,2024-01-08 15:31:00+00:00,2024-01-08 15:51:00+00:00,2024-01-08 15:51:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,52965.0
362569,362570,362575,362575,closed,stop,18641.5,18621.5,18641.75,18621.25,18621.5,18673.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,20.25,2024-01-09 14:32:00+00:00,2024-01-09 14:32:00+00:00,2024-01-09 14:38:00+00:00,2024-01-09 14:52:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,52545.0
362608,362609,362628,362628,closed,timeout,18670.5,18667.5,18670.75,18667.25,18650.5,18702.5,-3.0,-3.5,-4.0,-80.0,10.0,0.5,20.0,20.0,12.0,2024-01-09 15:11:00+00:00,2024-01-09 15:11:00+00:00,2024-01-09 15:31:00+00:00,2024-01-09 15:31:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,52465.0
363933,363934,363953,363953,closed,stop,18803.5,18783.5,18803.75,18783.25,18783.5,18835.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,20.0,20.0,34.75,2024-01-10 14:31:00+00:00,2024-01-10 14:31:00+00:00,2024-01-10 14:51:00+00:00,2024-01-10 14:51:00+00:00,breakout_long_open_96fefa0e6429,1,market,0.0,20,1,20,32,52045.0
