detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
357197,357198,357227,357227,closed,timeout,18532.0,18528.25,18532.25,18528.0,18512.0,18564.0,-3.75,-4.25,-4.75,-95.0,10.0,0.5,30.0,30.0,7.5,2024-01-03 15:59:00+00:00,2024-01-03 15:59:00+00:00,2024-01-03 16:29:00+00:00,2024-01-03 16:29:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,49905.0
358476,358477,358477,358477,closed,stop,18429.25,18409.25,18429.5,18409.0,18409.25,18461.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,1.0,1.0,20.75,2024-01-04 14:33:00+00:00,2024-01-04 14:33:00+00:00,2024-01-04 14:34:00+00:00,2024-01-04 15:03:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,49485.0
358553,358554,358577,358577,closed,target,18476.5,18508.5,18476.75,18508.25,18456.5,18508.5,32.0,31.5,31.0,620.0,10.0,0.5,24.0,24.0,17.75,2024-01-04 15:50:00+00:00,2024-01-04 15:50:00+00:00,2024-01-04 16:14:00+00:00,2024-01-04 16:20:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,50105.0
359839,359840,359844,359844,closed,target,18396.75,18428.75,18397.0,18428.5,18376.75,18428.75,32.0,31.5,31.0,620.0,10.0,0.5,5.0,5.0,11.0,2024-01-05 14:31:00+00:00,2024-01-05 14:31:00+00:00,2024-01-05 14:36:00+00:00,2024-01-05 15:01:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,50725.0
359870,359871,359872,359872,closed,target,18454.0,18486.0,18454.25,18485.75,18434.0,18486.0,32.0,31.5,31.0,620.0,10.0,0.5,2.0,2.0,1.75,2024-01-05 15:02:00+00:00,2024-01-05 15:02:00+00:00,2024-01-05 15:04:00+00:00,2024-01-05 15:32:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,51345.0
359872,359873,359885,359885,closed,stop,18485.5,18465.5,18485.75,18465.25,18465.5,18517.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,13.0,13.0,26.5,2024-01-05 15:04:00+00:00,2024-01-05 15:04:00+00:00,2024-01-05 15:17:00+00:00,2024-01-05 15:34:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,50925.0
361203,361204,361206,361206,closed,target,18453.25,18485.25,18453.5,18485.0,18433.25,18485.25,32.0,31.5,31.0,620.0,10.0,0.5,3.0,3.0,6.75,2024-01-08 14:30:00+00:00,2024-01-08 14:30:00+00:00,2024-01-08 14:33:00+00:00,2024-01-08 15:00:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,51545.0
361209,361210,361219,361219,closed,target,18494.75,18526.75,18495.0,18526.5,18474.75,18526.75,32.0,31.5,31.0,620.0,10.0,0.5,10.0,10.0,11.0,2024-01-08 14:36:00+00:00,2024-01-08 14:36:00+00:00,2024-01-08 14:46:00+00:00,2024-01-08 15:06:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,52165.0
361219,361220,361233,361233,closed,target,18527.75,18559.75,18528.0,18559.5,18507.75,18559.75,32.0,31.5,31.0,620.0,10.0,0.5,14.0,14.0,9.75,2024-01-08 14:46:00+00:00,2024-01-08 14:46:00+00:00,2024-01-08 15:00:00+00:00,2024-01-08 15:16:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,52785.0
361233,361234,361263,361263,closed,timeout,18569.75,18582.0,18570.0,18581.75,18549.75,18601.75,12.25,11.75,11.25,225.0,10.0,0.5,30.0,30.0,16.0,2024-01-08 15:00:00+00:00,2024-01-08 15:00:00+00:00,2024-01-08 15:30:00+00:00,2024-01-08 15:30:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,53010.0
361264,361265,361294,361294,closed,timeout,18588.5,18598.25,18588.75,18598.0,18568.5,18620.5,9.75,9.25,8.75,175.0,10.0,0.5,30.0,30.0,6.75,2024-01-08 15:31:00+00:00,2024-01-08 15:31:00+00:00,2024-01-08 16:01:00+00:00,2024-01-08 16:01:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,53185.0
362569,362570,362575,362575,closed,stop,18641.5,18621.5,18641.75,18621.25,18621.5,18673.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,20.25,2024-01-09 14:32:00+00:00,2024-01-09 14:32:00+00:00,2024-01-09 14:38:00+00:00,2024-01-09 15:02:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,52765.0
362608,362609,362638,362638,closed,timeout,18670.5,18686.25,18670.75,18686.0,18650.5,18702.5,15.75,15.25,14.75,295.0,10.0,0.5,30.0,30.0,17.5,2024-01-09 15:11:00+00:00,2024-01-09 15:11:00+00:00,2024-01-09 15:41:00+00:00,2024-01-09 15:41:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,53060.0
363933,363934,363953,363953,closed,stop,18803.5,18783.5,18803.75,18783.25,18783.5,18835.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,20.0,20.0,34.75,2024-01-10 14:31:00+00:00,2024-01-10 14:31:00+00:00,2024-01-10 14:51:00+00:00,2024-01-10 15:01:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,52640.0
363976,363977,364006,364006,closed,target,18790.75,18822.75,18791.0,18822.5,18770.75,18822.75,32.0,31.5,31.0,620.0,10.0,0.5,30.0,30.0,13.25,2024-01-10 15:14:00+00:00,2024-01-10 15:14:00+00:00,2024-01-10 15:44:00+00:00,2024-01-10 15:44:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,53260.0
364006,364007,364036,364036,closed,stop,18826.5,18806.5,18826.75,18806.25,18806.5,18858.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,30.0,30.0,30.75,2024-01-10 15:44:00+00:00,2024-01-10 15:44:00+00:00,2024-01-10 16:14:00+00:00,2024-01-10 16:14:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,52840.0
365298,365299,365300,365300,closed,stop,18943.75,18923.75,18944.0,18923.5,18923.75,18975.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,2.0,2.0,27.75,2024-01-11 14:31:00+00:00,2024-01-11 14:31:00+00:00,2024-01-11 14:33:00+00:00,2024-01-11 15:01:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,52420.0
365303,365304,365307,365307,closed,stop,18972.25,18952.25,18972.5,18952.0,18952.25,19004.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,4.0,4.0,23.25,2024-01-11 14:36:00+00:00,2024-01-11 14:36:00+00:00,2024-01-11 14:40:00+00:00,2024-01-11 15:06:00+00:00,breakout_long_open_aa6d6654dbb7,1,market,0.0,30,1,20,32,52000.0
