detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354897,354898,354898,354898,closed,timeout,18965.25,18966.5,18965.0,18966.75,18985.25,18945.25,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 00:24:00+00:00,2024-01-02 00:24:00+00:00,2024-01-02 00:25:00+00:00,2024-01-02 00:25:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49955.0
354900,354901,354901,354901,closed,timeout,18964.0,18962.25,18963.75,18962.5,18984.0,18944.0,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 00:27:00+00:00,2024-01-02 00:27:00+00:00,2024-01-02 00:28:00+00:00,2024-01-02 00:28:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49970.0
354901,354902,354902,354902,closed,timeout,18962.5,18962.0,18962.25,18962.25,18982.5,18942.5,0.5,-0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 00:28:00+00:00,2024-01-02 00:28:00+00:00,2024-01-02 00:29:00+00:00,2024-01-02 00:29:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49960.0
354903,354904,354904,354904,closed,timeout,18961.0,18960.25,18960.75,18960.5,18981.0,18941.0,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 00:30:00+00:00,2024-01-02 00:30:00+00:00,2024-01-02 00:31:00+00:00,2024-01-02 00:31:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49955.0
354969,354970,354970,354970,closed,timeout,18966.5,18966.75,18966.25,18967.0,18986.5,18946.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 01:36:00+00:00,2024-01-02 01:36:00+00:00,2024-01-02 01:37:00+00:00,2024-01-02 01:37:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49930.0
354973,354974,354974,354974,closed,timeout,18961.5,18961.25,18961.25,18961.5,18981.5,18941.5,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 01:40:00+00:00,2024-01-02 01:40:00+00:00,2024-01-02 01:41:00+00:00,2024-01-02 01:41:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49915.0
354975,354976,354976,354976,closed,timeout,18956.5,18952.5,18956.25,18952.75,18976.5,18936.5,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 01:42:00+00:00,2024-01-02 01:42:00+00:00,2024-01-02 01:43:00+00:00,2024-01-02 01:43:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49975.0
354976,354977,354977,354977,closed,timeout,18952.75,18954.0,18952.5,18954.25,18972.75,18932.75,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 01:43:00+00:00,2024-01-02 01:43:00+00:00,2024-01-02 01:44:00+00:00,2024-01-02 01:44:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49930.0
355024,355025,355025,355025,closed,timeout,18951.0,18953.5,18950.75,18953.75,18971.0,18931.0,-2.5,-3.0,-3.5,-70.0,10.0,0.5,1.0,1.0,2.75,2024-01-02 02:31:00+00:00,2024-01-02 02:31:00+00:00,2024-01-02 02:32:00+00:00,2024-01-02 02:32:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49860.0
355032,355033,355033,355033,closed,timeout,18948.25,18952.0,18948.0,18952.25,18968.25,18928.25,-3.75,-4.25,-4.75,-95.0,10.0,0.5,1.0,1.0,4.0,2024-01-02 02:39:00+00:00,2024-01-02 02:39:00+00:00,2024-01-02 02:40:00+00:00,2024-01-02 02:40:00+00:00,breakout_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49765.0
