detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356018,356019,356021,356021,closed,timeout,18621.75,18611.5,18621.5,18611.75,18633.75,18589.75,10.25,9.75,9.25,185.0,10.0,0.5,3.0,3.0,4.5,2024-01-02 19:05:00+00:00,2024-01-02 19:05:00+00:00,2024-01-02 19:08:00+00:00,2024-01-02 19:08:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50185.0
356066,356067,356069,356069,closed,timeout,18615.25,18603.25,18615.0,18603.5,18627.25,18583.25,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,0.25,2024-01-02 19:53:00+00:00,2024-01-02 19:53:00+00:00,2024-01-02 19:56:00+00:00,2024-01-02 19:56:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50405.0
356073,356074,356076,356076,closed,timeout,18596.0,18587.25,18595.75,18587.5,18608.0,18564.0,8.75,8.25,7.75,155.0,10.0,0.5,3.0,3.0,5.5,2024-01-02 20:00:00+00:00,2024-01-02 20:00:00+00:00,2024-01-02 20:03:00+00:00,2024-01-02 20:03:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50560.0
356076,356077,356079,356079,closed,timeout,18587.25,18572.5,18587.0,18572.75,18599.25,18555.25,14.75,14.25,13.75,275.0,10.0,0.5,3.0,3.0,0.25,2024-01-02 20:03:00+00:00,2024-01-02 20:03:00+00:00,2024-01-02 20:06:00+00:00,2024-01-02 20:06:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50835.0
357383,357384,357386,357386,closed,stop,18494.5,18506.5,18494.25,18506.75,18506.5,18462.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,28.5,2024-01-03 19:05:00+00:00,2024-01-03 19:05:00+00:00,2024-01-03 19:08:00+00:00,2024-01-03 19:08:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50575.0
357440,357441,357441,357441,closed,stop,18518.0,18530.0,18517.75,18530.25,18530.0,18486.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,1.0,1.0,16.5,2024-01-03 20:02:00+00:00,2024-01-03 20:02:00+00:00,2024-01-03 20:03:00+00:00,2024-01-03 20:05:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50315.0
357446,357447,357449,357449,closed,timeout,18508.5,18511.25,18508.25,18511.5,18520.5,18476.5,-2.75,-3.25,-3.75,-75.0,10.0,0.5,3.0,3.0,5.25,2024-01-03 20:08:00+00:00,2024-01-03 20:08:00+00:00,2024-01-03 20:11:00+00:00,2024-01-03 20:11:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,50240.0
357489,357490,357490,357490,closed,stop,18472.5,18484.5,18472.25,18484.75,18484.5,18440.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,1.0,1.0,12.25,2024-01-03 20:51:00+00:00,2024-01-03 20:51:00+00:00,2024-01-03 20:52:00+00:00,2024-01-03 20:54:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49980.0
358754,358755,358756,358756,closed,stop,18424.0,18436.0,18423.75,18436.25,18436.0,18392.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,13.5,2024-01-04 19:11:00+00:00,2024-01-04 19:11:00+00:00,2024-01-04 19:13:00+00:00,2024-01-04 19:14:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49720.0
358820,358821,358823,358823,closed,timeout,18420.25,18424.25,18420.0,18424.5,18432.25,18388.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,3.0,3.0,8.5,2024-01-04 20:17:00+00:00,2024-01-04 20:17:00+00:00,2024-01-04 20:20:00+00:00,2024-01-04 20:20:00+00:00,breakout_short_late_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49620.0
