detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356018,356019,356019,356019,closed,timeout,18621.75,18622.0,18621.5,18622.25,18633.75,18589.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,4.5,2024-01-02 19:05:00+00:00,2024-01-02 19:05:00+00:00,2024-01-02 19:06:00+00:00,2024-01-02 19:06:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,49975.0
356020,356021,356021,356021,closed,timeout,18614.5,18611.5,18614.25,18611.75,18626.5,18582.5,3.0,2.5,2.0,40.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 19:07:00+00:00,2024-01-02 19:07:00+00:00,2024-01-02 19:08:00+00:00,2024-01-02 19:08:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,50015.0
356066,356067,356067,356067,closed,timeout,18615.25,18606.5,18615.0,18606.75,18627.25,18583.25,8.75,8.25,7.75,155.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 19:53:00+00:00,2024-01-02 19:53:00+00:00,2024-01-02 19:54:00+00:00,2024-01-02 19:54:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,50170.0
356067,356068,356068,356068,closed,timeout,18606.75,18608.25,18606.5,18608.5,18618.75,18574.75,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,6.5,2024-01-02 19:54:00+00:00,2024-01-02 19:54:00+00:00,2024-01-02 19:55:00+00:00,2024-01-02 19:55:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,50120.0
356073,356074,356074,356074,closed,timeout,18596.0,18592.5,18595.75,18592.75,18608.0,18564.0,3.5,3.0,2.5,50.0,10.0,0.5,1.0,1.0,5.5,2024-01-02 20:00:00+00:00,2024-01-02 20:00:00+00:00,2024-01-02 20:01:00+00:00,2024-01-02 20:01:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,50170.0
356074,356075,356075,356075,closed,timeout,18592.25,18592.5,18592.0,18592.75,18604.25,18560.25,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,5.0,2024-01-02 20:01:00+00:00,2024-01-02 20:01:00+00:00,2024-01-02 20:02:00+00:00,2024-01-02 20:02:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,50145.0
356076,356077,356077,356077,closed,timeout,18587.25,18575.0,18587.0,18575.25,18599.25,18555.25,12.25,11.75,11.25,225.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 20:03:00+00:00,2024-01-02 20:03:00+00:00,2024-01-02 20:04:00+00:00,2024-01-02 20:04:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,50370.0
356077,356078,356078,356078,closed,timeout,18574.5,18569.75,18574.25,18570.0,18586.5,18542.5,4.75,4.25,3.75,75.0,10.0,0.5,1.0,1.0,2.75,2024-01-02 20:04:00+00:00,2024-01-02 20:04:00+00:00,2024-01-02 20:05:00+00:00,2024-01-02 20:05:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,50445.0
356078,356079,356079,356079,closed,timeout,18570.0,18572.5,18569.75,18572.75,18582.0,18538.0,-2.5,-3.0,-3.5,-70.0,10.0,0.5,1.0,1.0,5.75,2024-01-02 20:05:00+00:00,2024-01-02 20:05:00+00:00,2024-01-02 20:06:00+00:00,2024-01-02 20:06:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,50375.0
357383,357384,357384,357384,closed,timeout,18494.5,18477.5,18494.25,18477.75,18506.5,18462.5,17.0,16.5,16.0,320.0,10.0,0.5,1.0,1.0,7.25,2024-01-03 19:05:00+00:00,2024-01-03 19:05:00+00:00,2024-01-03 19:06:00+00:00,2024-01-03 19:06:00+00:00,breakout_short_late_78d401e4f0c9,-1,market,0.0,1,1,12,32,50695.0
