detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355911,355912,355912,355912,closed,timeout,18701.25,18702.0,18701.0,18702.25,18705.25,18681.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 17:18:00+00:00,2024-01-02 17:18:00+00:00,2024-01-02 17:19:00+00:00,2024-01-02 17:19:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49965.0
355942,355943,355943,355943,closed,timeout,18689.25,18692.75,18689.0,18693.0,18693.25,18669.25,-3.5,-4.0,-4.5,-90.0,10.0,0.5,1.0,1.0,4.0,2024-01-02 17:49:00+00:00,2024-01-02 17:49:00+00:00,2024-01-02 17:50:00+00:00,2024-01-02 17:50:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49875.0
355949,355950,355950,355950,closed,stop,18667.5,18671.5,18667.25,18671.75,18671.5,18647.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.75,2024-01-02 17:56:00+00:00,2024-01-02 17:56:00+00:00,2024-01-02 17:57:00+00:00,2024-01-02 17:57:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49775.0
355952,355953,355953,355953,closed,timeout,18660.25,18661.25,18660.0,18661.5,18664.25,18640.25,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,4.0,2024-01-02 17:59:00+00:00,2024-01-02 17:59:00+00:00,2024-01-02 18:00:00+00:00,2024-01-02 18:00:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49735.0
356004,356005,356005,356005,closed,timeout,18658.25,18657.25,18658.0,18657.5,18662.25,18638.25,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,3.75,2024-01-02 18:51:00+00:00,2024-01-02 18:51:00+00:00,2024-01-02 18:52:00+00:00,2024-01-02 18:52:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49735.0
356006,356007,356007,356007,closed,timeout,18652.75,18649.5,18652.5,18649.75,18656.75,18632.75,3.25,2.75,2.25,45.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 18:53:00+00:00,2024-01-02 18:53:00+00:00,2024-01-02 18:54:00+00:00,2024-01-02 18:54:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49780.0
356010,356011,356011,356011,closed,timeout,18639.5,18637.0,18639.25,18637.25,18643.5,18619.5,2.5,2.0,1.5,30.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 18:57:00+00:00,2024-01-02 18:57:00+00:00,2024-01-02 18:58:00+00:00,2024-01-02 18:58:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49810.0
357238,357239,357239,357239,closed,timeout,18513.75,18504.5,18513.5,18504.75,18517.75,18493.75,9.25,8.75,8.25,165.0,10.0,0.5,1.0,1.0,3.75,2024-01-03 16:40:00+00:00,2024-01-03 16:40:00+00:00,2024-01-03 16:41:00+00:00,2024-01-03 16:41:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49975.0
357239,357240,357240,357240,closed,stop,18504.0,18508.0,18503.75,18508.25,18508.0,18484.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.25,2024-01-03 16:41:00+00:00,2024-01-03 16:41:00+00:00,2024-01-03 16:42:00+00:00,2024-01-03 16:42:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49875.0
357339,357340,357340,357340,closed,timeout,18532.0,18530.0,18531.75,18530.25,18536.0,18512.0,2.0,1.5,1.0,20.0,10.0,0.5,1.0,1.0,1.5,2024-01-03 18:21:00+00:00,2024-01-03 18:21:00+00:00,2024-01-03 18:22:00+00:00,2024-01-03 18:22:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49895.0
357354,357355,357355,357355,closed,stop,18513.75,18517.75,18513.5,18518.0,18517.75,18493.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.25,2024-01-03 18:36:00+00:00,2024-01-03 18:36:00+00:00,2024-01-03 18:37:00+00:00,2024-01-03 18:37:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49795.0
358595,358596,358596,358596,closed,stop,18489.0,18493.0,18488.75,18493.25,18493.0,18469.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,8.25,2024-01-04 16:32:00+00:00,2024-01-04 16:32:00+00:00,2024-01-04 16:33:00+00:00,2024-01-04 16:33:00+00:00,breakout_short_midday_207050b534f6,-1,market,0.0,1,1,4,20,49695.0
