detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355748,355749,355749,355749,closed,timeout,18773.5,18782.0,18773.25,18782.25,18785.5,18753.5,-8.5,-9.0,-9.5,-190.0,10.0,0.5,1.0,1.0,10.25,2024-01-02 14:35:00+00:00,2024-01-02 14:35:00+00:00,2024-01-02 14:36:00+00:00,2024-01-02 14:36:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49810.0
355752,355753,355753,355753,closed,timeout,18744.75,18741.5,18744.5,18741.75,18756.75,18724.75,3.25,2.75,2.25,45.0,10.0,0.5,1.0,1.0,4.5,2024-01-02 14:39:00+00:00,2024-01-02 14:39:00+00:00,2024-01-02 14:40:00+00:00,2024-01-02 14:40:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49855.0
355756,355757,355757,355757,closed,timeout,18710.75,18712.5,18710.5,18712.75,18722.75,18690.75,-1.75,-2.25,-2.75,-55.0,10.0,0.5,1.0,1.0,6.75,2024-01-02 14:43:00+00:00,2024-01-02 14:43:00+00:00,2024-01-02 14:44:00+00:00,2024-01-02 14:44:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49800.0
355762,355763,355763,355763,closed,timeout,18688.25,18678.0,18688.0,18678.25,18700.25,18668.25,10.25,9.75,9.25,185.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 14:49:00+00:00,2024-01-02 14:49:00+00:00,2024-01-02 14:50:00+00:00,2024-01-02 14:50:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49985.0
355770,355771,355771,355771,closed,stop,18663.75,18675.75,18663.5,18676.0,18675.75,18643.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,1.0,1.0,13.25,2024-01-02 14:57:00+00:00,2024-01-02 14:57:00+00:00,2024-01-02 14:58:00+00:00,2024-01-02 14:58:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49725.0
355800,355801,355801,355801,closed,stop,18669.25,18681.25,18669.0,18681.5,18681.25,18649.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,1.0,1.0,13.25,2024-01-02 15:27:00+00:00,2024-01-02 15:27:00+00:00,2024-01-02 15:28:00+00:00,2024-01-02 15:28:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49465.0
355802,355803,355803,355803,closed,timeout,18660.25,18664.75,18660.0,18665.0,18672.25,18640.25,-4.5,-5.0,-5.5,-110.0,10.0,0.5,1.0,1.0,11.5,2024-01-02 15:29:00+00:00,2024-01-02 15:29:00+00:00,2024-01-02 15:30:00+00:00,2024-01-02 15:30:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49355.0
355804,355805,355805,355805,closed,timeout,18647.75,18644.0,18647.5,18644.25,18659.75,18627.75,3.75,3.25,2.75,55.0,10.0,0.5,1.0,1.0,6.5,2024-01-02 15:31:00+00:00,2024-01-02 15:31:00+00:00,2024-01-02 15:32:00+00:00,2024-01-02 15:32:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49410.0
355823,355824,355824,355824,closed,timeout,18631.5,18631.5,18631.25,18631.75,18643.5,18611.5,-0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,6.25,2024-01-02 15:50:00+00:00,2024-01-02 15:50:00+00:00,2024-01-02 15:51:00+00:00,2024-01-02 15:51:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49390.0
357178,357179,357179,357179,closed,timeout,18488.75,18495.25,18488.5,18495.5,18500.75,18468.75,-6.5,-7.0,-7.5,-150.0,10.0,0.5,1.0,1.0,7.75,2024-01-03 15:40:00+00:00,2024-01-03 15:40:00+00:00,2024-01-03 15:41:00+00:00,2024-01-03 15:41:00+00:00,breakout_short_open_3db3141731fe,-1,market,0.0,1,1,12,20,49240.0
