detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355064,355065,355065,355065,closed,timeout,18952.5,18953.0,18952.75,18952.75,18944.5,18960.5,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 03:11:00+00:00,2024-01-02 03:11:00+00:00,2024-01-02 03:12:00+00:00,2024-01-02 03:12:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49990.0
355065,355066,355066,355066,closed,timeout,18952.75,18953.25,18953.0,18953.0,18944.75,18960.75,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 03:12:00+00:00,2024-01-02 03:12:00+00:00,2024-01-02 03:13:00+00:00,2024-01-02 03:13:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49980.0
355126,355127,355127,355127,closed,timeout,18949.0,18948.75,18949.25,18948.5,18941.0,18957.0,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 04:13:00+00:00,2024-01-02 04:13:00+00:00,2024-01-02 04:14:00+00:00,2024-01-02 04:14:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49955.0
355311,355312,355312,355312,closed,timeout,18961.5,18962.5,18961.75,18962.25,18953.5,18969.5,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 07:18:00+00:00,2024-01-02 07:18:00+00:00,2024-01-02 07:19:00+00:00,2024-01-02 07:19:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49955.0
355312,355313,355313,355313,closed,timeout,18963.0,18961.75,18963.25,18961.5,18955.0,18971.0,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 07:19:00+00:00,2024-01-02 07:19:00+00:00,2024-01-02 07:20:00+00:00,2024-01-02 07:20:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49910.0
355320,355321,355321,355321,closed,timeout,18963.75,18961.75,18964.0,18961.5,18955.75,18971.75,-2.0,-2.5,-3.0,-60.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 07:27:00+00:00,2024-01-02 07:27:00+00:00,2024-01-02 07:28:00+00:00,2024-01-02 07:28:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49850.0
355589,355590,355590,355590,closed,timeout,18815.0,18818.25,18815.25,18818.0,18807.0,18823.0,3.25,2.75,2.25,45.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 11:56:00+00:00,2024-01-02 11:56:00+00:00,2024-01-02 11:57:00+00:00,2024-01-02 11:57:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49895.0
355590,355591,355591,355591,closed,timeout,18818.0,18817.0,18818.25,18816.75,18810.0,18826.0,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 11:57:00+00:00,2024-01-02 11:57:00+00:00,2024-01-02 11:58:00+00:00,2024-01-02 11:58:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49855.0
355727,355728,355728,355728,closed,timeout,18803.25,18802.5,18803.5,18802.25,18795.25,18811.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 14:14:00+00:00,2024-01-02 14:14:00+00:00,2024-01-02 14:15:00+00:00,2024-01-02 14:15:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49820.0
355737,355738,355738,355738,closed,timeout,18814.75,18811.5,18815.0,18811.25,18806.75,18822.75,-3.25,-3.75,-4.25,-85.0,10.0,0.5,1.0,1.0,6.0,2024-01-02 14:24:00+00:00,2024-01-02 14:24:00+00:00,2024-01-02 14:25:00+00:00,2024-01-02 14:25:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49735.0
355843,355844,355844,355844,closed,target,18676.75,18684.75,18677.0,18684.5,18668.75,18684.75,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 16:10:00+00:00,2024-01-02 16:10:00+00:00,2024-01-02 16:11:00+00:00,2024-01-02 16:11:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49875.0
355978,355979,355979,355979,closed,timeout,18675.25,18674.75,18675.5,18674.5,18667.25,18683.25,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 18:25:00+00:00,2024-01-02 18:25:00+00:00,2024-01-02 18:26:00+00:00,2024-01-02 18:26:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49845.0
356130,356131,356131,356131,closed,timeout,18653.75,18658.0,18654.0,18657.75,18645.75,18661.75,4.25,3.75,3.25,65.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 20:57:00+00:00,2024-01-02 20:57:00+00:00,2024-01-02 20:58:00+00:00,2024-01-02 20:58:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49910.0
356131,356132,356132,356132,closed,timeout,18658.25,18665.0,18658.5,18664.75,18650.25,18666.25,6.75,6.25,5.75,115.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 20:58:00+00:00,2024-01-02 20:58:00+00:00,2024-01-02 20:59:00+00:00,2024-01-02 20:59:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,50025.0
356132,356133,356133,356133,closed,stop,18665.25,18657.25,18665.5,18657.0,18657.25,18673.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,11.0,2024-01-02 20:59:00+00:00,2024-01-02 20:59:00+00:00,2024-01-02 21:00:00+00:00,2024-01-02 21:00:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49845.0
356135,356136,356136,356136,closed,timeout,18672.75,18675.0,18673.0,18674.75,18664.75,18680.75,2.25,1.75,1.25,25.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 21:02:00+00:00,2024-01-02 21:02:00+00:00,2024-01-02 21:03:00+00:00,2024-01-02 21:03:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49870.0
356136,356137,356137,356137,closed,timeout,18675.5,18677.0,18675.75,18676.75,18667.5,18683.5,1.5,1.0,0.5,10.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 21:03:00+00:00,2024-01-02 21:03:00+00:00,2024-01-02 21:04:00+00:00,2024-01-02 21:04:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49880.0
356625,356626,356626,356626,closed,timeout,18652.25,18653.25,18652.5,18653.0,18644.25,18660.25,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.25,2024-01-03 06:27:00+00:00,2024-01-03 06:27:00+00:00,2024-01-03 06:28:00+00:00,2024-01-03 06:28:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49880.0
356739,356740,356740,356740,closed,timeout,18668.5,18664.25,18668.75,18664.0,18660.5,18676.5,-4.25,-4.75,-5.25,-105.0,10.0,0.5,1.0,1.0,5.25,2024-01-03 08:21:00+00:00,2024-01-03 08:21:00+00:00,2024-01-03 08:22:00+00:00,2024-01-03 08:22:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49775.0
357055,357056,357056,357056,closed,timeout,18582.5,18582.75,18582.75,18582.5,18574.5,18590.5,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,1.75,2024-01-03 13:37:00+00:00,2024-01-03 13:37:00+00:00,2024-01-03 13:38:00+00:00,2024-01-03 13:38:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49760.0
357632,357633,357633,357633,closed,timeout,18495.25,18494.0,18495.5,18493.75,18487.25,18503.25,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,2.25,2024-01-04 00:29:00+00:00,2024-01-04 00:29:00+00:00,2024-01-04 00:30:00+00:00,2024-01-04 00:30:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49715.0
357640,357641,357641,357641,closed,timeout,18496.25,18496.75,18496.5,18496.5,18488.25,18504.25,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,1.25,2024-01-04 00:37:00+00:00,2024-01-04 00:37:00+00:00,2024-01-04 00:38:00+00:00,2024-01-04 00:38:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49705.0
357641,357642,357642,357642,closed,timeout,18496.5,18496.0,18496.75,18495.75,18488.5,18504.5,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,2.0,2024-01-04 00:38:00+00:00,2024-01-04 00:38:00+00:00,2024-01-04 00:39:00+00:00,2024-01-04 00:39:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49675.0
357651,357652,357652,357652,closed,timeout,18501.75,18503.5,18502.0,18503.25,18493.75,18509.75,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.25,2024-01-04 00:48:00+00:00,2024-01-04 00:48:00+00:00,2024-01-04 00:49:00+00:00,2024-01-04 00:49:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49690.0
357784,357785,357785,357785,closed,timeout,18494.75,18493.75,18495.0,18493.5,18486.75,18502.75,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,1.25,2024-01-04 03:01:00+00:00,2024-01-04 03:01:00+00:00,2024-01-04 03:02:00+00:00,2024-01-04 03:02:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49650.0
357790,357791,357791,357791,closed,timeout,18494.75,18496.5,18495.0,18496.25,18486.75,18502.75,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.5,2024-01-04 03:07:00+00:00,2024-01-04 03:07:00+00:00,2024-01-04 03:08:00+00:00,2024-01-04 03:08:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49665.0
357791,357792,357792,357792,closed,timeout,18496.25,18497.25,18496.5,18497.0,18488.25,18504.25,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.25,2024-01-04 03:08:00+00:00,2024-01-04 03:08:00+00:00,2024-01-04 03:09:00+00:00,2024-01-04 03:09:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49665.0
357994,357995,357995,357995,closed,timeout,18496.75,18495.0,18497.0,18494.75,18488.75,18504.75,-1.75,-2.25,-2.75,-55.0,10.0,0.5,1.0,1.0,2.25,2024-01-04 06:31:00+00:00,2024-01-04 06:31:00+00:00,2024-01-04 06:32:00+00:00,2024-01-04 06:32:00+00:00,compression_breakout_long_all_2bfde6012f8f,1,market,0.0,1,1,8,8,49610.0
