detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
362919,362920,362921,362921,closed,stop,18780.0,18776.0,18780.25,18775.75,18776.0,18812.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,12.25,2024-01-09 20:22:00+00:00,2024-01-09 20:22:00+00:00,2024-01-09 20:24:00+00:00,2024-01-09 20:52:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49900.0
364262,364263,364263,364263,closed,stop,18921.75,18917.75,18922.0,18917.5,18917.75,18953.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,9.5,2024-01-10 20:00:00+00:00,2024-01-10 20:00:00+00:00,2024-01-10 20:01:00+00:00,2024-01-10 20:30:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49800.0
365608,365609,365610,365610,closed,stop,18897.5,18893.5,18897.75,18893.25,18893.5,18929.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,10.5,2024-01-11 19:41:00+00:00,2024-01-11 19:41:00+00:00,2024-01-11 19:43:00+00:00,2024-01-11 20:11:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49700.0
367027,367028,367028,367028,closed,stop,18905.25,18901.25,18905.5,18901.0,18901.25,18937.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.0,2024-01-12 20:35:00+00:00,2024-01-12 20:35:00+00:00,2024-01-12 20:36:00+00:00,2024-01-12 21:05:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49600.0
369498,369499,369499,369499,closed,stop,18875.0,18871.0,18875.25,18870.75,18871.0,18907.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,12.75,2024-01-16 20:01:00+00:00,2024-01-16 20:01:00+00:00,2024-01-16 20:02:00+00:00,2024-01-16 20:31:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49500.0
370833,370834,370837,370837,closed,stop,18749.75,18745.75,18750.0,18745.5,18745.75,18781.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,4.0,4.0,4.75,2024-01-17 19:31:00+00:00,2024-01-17 19:31:00+00:00,2024-01-17 19:35:00+00:00,2024-01-17 20:01:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49400.0
370843,370844,370844,370844,closed,stop,18763.75,18759.75,18764.0,18759.5,18759.75,18795.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,8.25,2024-01-17 19:41:00+00:00,2024-01-17 19:41:00+00:00,2024-01-17 19:42:00+00:00,2024-01-17 20:11:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49300.0
370845,370846,370852,370852,closed,stop,18770.0,18766.0,18770.25,18765.75,18766.0,18802.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,7.0,7.0,4.75,2024-01-17 19:43:00+00:00,2024-01-17 19:43:00+00:00,2024-01-17 19:50:00+00:00,2024-01-17 20:13:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49200.0
372176,372177,372191,372191,closed,target,18979.25,19011.25,18979.5,19011.0,18975.25,19011.25,32.0,31.5,31.0,620.0,10.0,0.5,15.0,15.0,3.75,2024-01-18 19:09:00+00:00,2024-01-18 19:09:00+00:00,2024-01-18 19:24:00+00:00,2024-01-18 19:39:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49820.0
372191,372192,372214,372214,closed,stop,19017.75,19013.75,19018.0,19013.5,19013.75,19049.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,23.0,23.0,8.0,2024-01-18 19:24:00+00:00,2024-01-18 19:24:00+00:00,2024-01-18 19:47:00+00:00,2024-01-18 19:54:00+00:00,compression_breakout_long_late_075285989e27,1,market,0.0,30,1,4,32,49720.0
