detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356130,356131,356131,356131,closed,target,18653.75,18657.75,18654.0,18657.5,18633.75,18657.75,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 20:57:00+00:00,2024-01-02 20:57:00+00:00,2024-01-02 20:58:00+00:00,2024-01-02 21:00:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,50060.0
356131,356132,356132,356132,closed,target,18658.25,18662.25,18658.5,18662.0,18638.25,18662.25,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 20:58:00+00:00,2024-01-02 20:58:00+00:00,2024-01-02 20:59:00+00:00,2024-01-02 21:01:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,50120.0
356132,356133,356135,356135,closed,target,18665.25,18669.25,18665.5,18669.0,18645.25,18669.25,4.0,3.5,3.0,60.0,10.0,0.5,3.0,3.0,11.0,2024-01-02 20:59:00+00:00,2024-01-02 20:59:00+00:00,2024-01-02 21:02:00+00:00,2024-01-02 21:02:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,50180.0
362919,362920,362920,362920,closed,target,18780.0,18784.0,18780.25,18783.75,18760.0,18784.0,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,4.0,2024-01-09 20:22:00+00:00,2024-01-09 20:22:00+00:00,2024-01-09 20:23:00+00:00,2024-01-09 20:25:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,50240.0
364262,364263,364265,364265,closed,timeout,18921.75,18912.0,18922.0,18911.75,18901.75,18925.75,-9.75,-10.25,-10.75,-215.0,10.0,0.5,3.0,3.0,15.0,2024-01-10 20:00:00+00:00,2024-01-10 20:00:00+00:00,2024-01-10 20:03:00+00:00,2024-01-10 20:03:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,50025.0
365608,365609,365609,365609,closed,target,18897.5,18901.5,18897.75,18901.25,18877.5,18901.5,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,2.5,2024-01-11 19:41:00+00:00,2024-01-11 19:41:00+00:00,2024-01-11 19:42:00+00:00,2024-01-11 19:44:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,50085.0
367027,367028,367030,367030,closed,timeout,18905.25,18900.0,18905.5,18899.75,18885.25,18909.25,-5.25,-5.75,-6.25,-125.0,10.0,0.5,3.0,3.0,7.75,2024-01-12 20:35:00+00:00,2024-01-12 20:35:00+00:00,2024-01-12 20:38:00+00:00,2024-01-12 20:38:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,49960.0
369498,369499,369501,369501,closed,timeout,18875.0,18873.75,18875.25,18873.5,18855.0,18879.0,-1.25,-1.75,-2.25,-45.0,10.0,0.5,3.0,3.0,12.75,2024-01-16 20:01:00+00:00,2024-01-16 20:01:00+00:00,2024-01-16 20:04:00+00:00,2024-01-16 20:04:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,49915.0
370833,370834,370834,370834,closed,target,18749.75,18753.75,18750.0,18753.5,18729.75,18753.75,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,0.25,2024-01-17 19:31:00+00:00,2024-01-17 19:31:00+00:00,2024-01-17 19:32:00+00:00,2024-01-17 19:34:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,49975.0
370843,370844,370845,370845,closed,target,18763.75,18767.75,18764.0,18767.5,18743.75,18767.75,4.0,3.5,3.0,60.0,10.0,0.5,2.0,2.0,8.25,2024-01-17 19:41:00+00:00,2024-01-17 19:41:00+00:00,2024-01-17 19:43:00+00:00,2024-01-17 19:44:00+00:00,compression_breakout_long_late_2b62617cc05f,1,market,0.0,3,1,20,4,50035.0
