detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355843,355844,355845,355845,closed,target,18676.75,18696.75,18677.0,18696.5,18656.75,18696.75,20.0,19.5,19.0,380.0,10.0,0.5,2.0,2.0,1.0,2024-01-02 16:10:00+00:00,2024-01-02 16:10:00+00:00,2024-01-02 16:12:00+00:00,2024-01-02 16:55:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,50380.0
355978,355979,356006,356006,closed,stop,18675.25,18655.25,18675.5,18655.0,18655.25,18695.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,28.0,28.0,25.5,2024-01-02 18:25:00+00:00,2024-01-02 18:25:00+00:00,2024-01-02 18:53:00+00:00,2024-01-02 19:10:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,49960.0
358720,358721,358736,358736,closed,stop,18468.25,18448.25,18468.5,18448.0,18448.25,18488.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,16.0,16.0,20.5,2024-01-04 18:37:00+00:00,2024-01-04 18:37:00+00:00,2024-01-04 18:53:00+00:00,2024-01-04 19:22:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,49540.0
360087,360088,360127,360127,closed,stop,18435.5,18415.5,18435.75,18415.25,18415.5,18455.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,40.0,40.0,24.75,2024-01-05 18:39:00+00:00,2024-01-05 18:39:00+00:00,2024-01-05 19:19:00+00:00,2024-01-05 19:24:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,49120.0
361395,361396,361440,361440,closed,timeout,18653.25,18658.75,18653.5,18658.5,18633.25,18673.25,5.5,5.0,4.5,90.0,10.0,0.5,45.0,45.0,10.5,2024-01-08 17:42:00+00:00,2024-01-08 17:42:00+00:00,2024-01-08 18:27:00+00:00,2024-01-08 18:27:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,49210.0
361469,361470,361489,361489,closed,target,18675.25,18695.25,18675.5,18695.0,18655.25,18695.25,20.0,19.5,19.0,380.0,10.0,0.5,20.0,20.0,2.5,2024-01-08 18:56:00+00:00,2024-01-08 18:56:00+00:00,2024-01-08 19:16:00+00:00,2024-01-08 19:41:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,49590.0
362673,362674,362682,362682,closed,target,18706.25,18726.25,18706.5,18726.0,18686.25,18726.25,20.0,19.5,19.0,380.0,10.0,0.5,9.0,9.0,0.75,2024-01-09 16:16:00+00:00,2024-01-09 16:16:00+00:00,2024-01-09 16:25:00+00:00,2024-01-09 17:01:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,49970.0
362682,362683,362710,362710,closed,target,18726.75,18746.75,18727.0,18746.5,18706.75,18746.75,20.0,19.5,19.0,380.0,10.0,0.5,28.0,28.0,11.5,2024-01-09 16:25:00+00:00,2024-01-09 16:25:00+00:00,2024-01-09 16:53:00+00:00,2024-01-09 17:10:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,50350.0
362727,362728,362734,362734,closed,stop,18780.25,18760.25,18780.5,18760.0,18760.25,18800.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,7.0,7.0,21.25,2024-01-09 17:10:00+00:00,2024-01-09 17:10:00+00:00,2024-01-09 17:17:00+00:00,2024-01-09 17:55:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,49930.0
365498,365499,365511,365511,closed,target,18783.75,18803.75,18784.0,18803.5,18763.75,18803.75,20.0,19.5,19.0,380.0,10.0,0.5,13.0,13.0,11.0,2024-01-11 17:51:00+00:00,2024-01-11 17:51:00+00:00,2024-01-11 18:04:00+00:00,2024-01-11 18:36:00+00:00,compression_breakout_long_midday_154773c30397,1,market,0.0,45,1,20,20,50310.0
