detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355843,355844,355845,355845,closed,target,18676.75,18688.75,18677.0,18688.5,18656.75,18688.75,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,1.0,2024-01-02 16:10:00+00:00,2024-01-02 16:10:00+00:00,2024-01-02 16:12:00+00:00,2024-01-02 16:55:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50220.0
355978,355979,356006,356006,closed,stop,18675.25,18655.25,18675.5,18655.0,18655.25,18687.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,28.0,28.0,25.5,2024-01-02 18:25:00+00:00,2024-01-02 18:25:00+00:00,2024-01-02 18:53:00+00:00,2024-01-02 19:10:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49800.0
358720,358721,358736,358736,closed,stop,18468.25,18448.25,18468.5,18448.0,18448.25,18480.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,16.0,16.0,20.5,2024-01-04 18:37:00+00:00,2024-01-04 18:37:00+00:00,2024-01-04 18:53:00+00:00,2024-01-04 19:22:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49380.0
360087,360088,360119,360119,closed,target,18435.5,18447.5,18435.75,18447.25,18415.5,18447.5,12.0,11.5,11.0,220.0,10.0,0.5,32.0,32.0,7.75,2024-01-05 18:39:00+00:00,2024-01-05 18:39:00+00:00,2024-01-05 19:11:00+00:00,2024-01-05 19:24:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49600.0
361395,361396,361440,361440,closed,timeout,18653.25,18658.75,18653.5,18658.5,18633.25,18665.25,5.5,5.0,4.5,90.0,10.0,0.5,45.0,45.0,10.5,2024-01-08 17:42:00+00:00,2024-01-08 17:42:00+00:00,2024-01-08 18:27:00+00:00,2024-01-08 18:27:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49690.0
361469,361470,361484,361484,closed,target,18675.25,18687.25,18675.5,18687.0,18655.25,18687.25,12.0,11.5,11.0,220.0,10.0,0.5,15.0,15.0,2.5,2024-01-08 18:56:00+00:00,2024-01-08 18:56:00+00:00,2024-01-08 19:11:00+00:00,2024-01-08 19:41:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49910.0
362673,362674,362674,362674,closed,target,18706.25,18718.25,18706.5,18718.0,18686.25,18718.25,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,0.75,2024-01-09 16:16:00+00:00,2024-01-09 16:16:00+00:00,2024-01-09 16:17:00+00:00,2024-01-09 17:01:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50130.0
362682,362683,362708,362708,closed,target,18726.75,18738.75,18727.0,18738.5,18706.75,18738.75,12.0,11.5,11.0,220.0,10.0,0.5,26.0,26.0,11.5,2024-01-09 16:25:00+00:00,2024-01-09 16:25:00+00:00,2024-01-09 16:51:00+00:00,2024-01-09 17:10:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50350.0
362727,362728,362734,362734,closed,stop,18780.25,18760.25,18780.5,18760.0,18760.25,18792.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,7.0,7.0,21.25,2024-01-09 17:10:00+00:00,2024-01-09 17:10:00+00:00,2024-01-09 17:17:00+00:00,2024-01-09 17:55:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,49930.0
365498,365499,365499,365499,closed,target,18783.75,18795.75,18784.0,18795.5,18763.75,18795.75,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,2.5,2024-01-11 17:51:00+00:00,2024-01-11 17:51:00+00:00,2024-01-11 17:52:00+00:00,2024-01-11 18:36:00+00:00,compression_breakout_long_midday_efa5bc083a32,1,market,0.0,45,1,20,12,50150.0
