detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
358518,358519,358519,358519,closed,timeout,18464.0,18459.75,18464.25,18459.5,18444.0,18476.0,-4.25,-4.75,-5.25,-105.0,10.0,0.5,1.0,1.0,7.5,2024-01-04 15:15:00+00:00,2024-01-04 15:15:00+00:00,2024-01-04 15:16:00+00:00,2024-01-04 15:16:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49895.0
358521,358522,358522,358522,closed,timeout,18468.5,18462.25,18468.75,18462.0,18448.5,18480.5,-6.25,-6.75,-7.25,-145.0,10.0,0.5,1.0,1.0,9.0,2024-01-04 15:18:00+00:00,2024-01-04 15:18:00+00:00,2024-01-04 15:19:00+00:00,2024-01-04 15:19:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49750.0
361203,361204,361204,361204,closed,timeout,18453.25,18459.25,18453.5,18459.0,18433.25,18465.25,6.0,5.5,5.0,100.0,10.0,0.5,1.0,1.0,6.75,2024-01-08 14:30:00+00:00,2024-01-08 14:30:00+00:00,2024-01-08 14:31:00+00:00,2024-01-08 14:31:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49850.0
361219,361220,361220,361220,closed,timeout,18527.75,18528.25,18528.0,18528.0,18507.75,18539.75,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,5.5,2024-01-08 14:46:00+00:00,2024-01-08 14:46:00+00:00,2024-01-08 14:47:00+00:00,2024-01-08 14:47:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49840.0
361221,361222,361222,361222,closed,timeout,18531.5,18523.25,18531.75,18523.0,18511.5,18543.5,-8.25,-8.75,-9.25,-185.0,10.0,0.5,1.0,1.0,8.5,2024-01-08 14:48:00+00:00,2024-01-08 14:48:00+00:00,2024-01-08 14:49:00+00:00,2024-01-08 14:49:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49655.0
361238,361239,361239,361239,closed,timeout,18582.25,18579.25,18582.5,18579.0,18562.25,18594.25,-3.0,-3.5,-4.0,-80.0,10.0,0.5,1.0,1.0,7.25,2024-01-08 15:05:00+00:00,2024-01-08 15:05:00+00:00,2024-01-08 15:06:00+00:00,2024-01-08 15:06:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49575.0
362613,362614,362614,362614,closed,timeout,18679.25,18679.75,18679.5,18679.5,18659.25,18691.25,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,2.0,2024-01-09 15:16:00+00:00,2024-01-09 15:16:00+00:00,2024-01-09 15:17:00+00:00,2024-01-09 15:17:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49565.0
365298,365299,365299,365299,closed,timeout,18943.75,18940.5,18944.0,18940.25,18923.75,18955.75,-3.25,-3.75,-4.25,-85.0,10.0,0.5,1.0,1.0,10.0,2024-01-11 14:31:00+00:00,2024-01-11 14:31:00+00:00,2024-01-11 14:32:00+00:00,2024-01-11 14:32:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49480.0
365358,365359,365359,365359,closed,target,18849.75,18861.75,18850.0,18861.5,18829.75,18861.75,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,3.75,2024-01-11 15:31:00+00:00,2024-01-11 15:31:00+00:00,2024-01-11 15:32:00+00:00,2024-01-11 15:32:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49700.0
366662,366663,366663,366663,closed,timeout,18949.25,18945.0,18949.5,18944.75,18929.25,18961.25,-4.25,-4.75,-5.25,-105.0,10.0,0.5,1.0,1.0,15.25,2024-01-12 14:30:00+00:00,2024-01-12 14:30:00+00:00,2024-01-12 14:31:00+00:00,2024-01-12 14:31:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49595.0
368094,368095,368095,368095,closed,timeout,18904.5,18905.25,18904.75,18905.0,18884.5,18916.5,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.5,2024-01-15 15:37:00+00:00,2024-01-15 15:37:00+00:00,2024-01-15 15:38:00+00:00,2024-01-15 15:38:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49590.0
368105,368106,368106,368106,closed,timeout,18909.0,18909.0,18909.25,18908.75,18889.0,18921.0,0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,1.75,2024-01-15 15:48:00+00:00,2024-01-15 15:48:00+00:00,2024-01-15 15:49:00+00:00,2024-01-15 15:49:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49570.0
368113,368114,368114,368114,closed,timeout,18913.75,18914.75,18914.0,18914.5,18893.75,18925.75,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.25,2024-01-15 15:56:00+00:00,2024-01-15 15:56:00+00:00,2024-01-15 15:57:00+00:00,2024-01-15 15:57:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49570.0
369222,369223,369223,369223,closed,timeout,18940.25,18934.5,18940.5,18934.25,18920.25,18952.25,-5.75,-6.25,-6.75,-135.0,10.0,0.5,1.0,1.0,9.5,2024-01-16 15:25:00+00:00,2024-01-16 15:25:00+00:00,2024-01-16 15:26:00+00:00,2024-01-16 15:26:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49435.0
369245,369246,369246,369246,closed,timeout,18966.0,18968.75,18966.25,18968.5,18946.0,18978.0,2.75,2.25,1.75,35.0,10.0,0.5,1.0,1.0,1.75,2024-01-16 15:48:00+00:00,2024-01-16 15:48:00+00:00,2024-01-16 15:49:00+00:00,2024-01-16 15:49:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49470.0
371976,371977,371977,371977,closed,timeout,19011.75,19019.25,19012.0,19019.0,18991.75,19023.75,7.5,7.0,6.5,130.0,10.0,0.5,1.0,1.0,0.5,2024-01-18 15:49:00+00:00,2024-01-18 15:49:00+00:00,2024-01-18 15:50:00+00:00,2024-01-18 15:50:00+00:00,compression_breakout_long_open_6d6ab2088dcc,1,market,0.0,1,1,20,12,49600.0
