detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354900,354901,354901,354901,closed,timeout,18964.0,18962.25,18963.75,18962.5,18984.0,18952.0,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 00:27:00+00:00,2024-01-02 00:27:00+00:00,2024-01-02 00:28:00+00:00,2024-01-02 00:28:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,50015.0
355252,355253,355253,355253,closed,timeout,18951.0,18951.75,18950.75,18952.0,18971.0,18939.0,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 06:19:00+00:00,2024-01-02 06:19:00+00:00,2024-01-02 06:20:00+00:00,2024-01-02 06:20:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,49980.0
355411,355412,355412,355412,closed,timeout,18967.25,18968.0,18967.0,18968.25,18987.25,18955.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 08:58:00+00:00,2024-01-02 08:58:00+00:00,2024-01-02 08:59:00+00:00,2024-01-02 08:59:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,49945.0
355531,355532,355532,355532,closed,timeout,18915.0,18910.25,18914.75,18910.5,18935.0,18903.0,4.75,4.25,3.75,75.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 10:58:00+00:00,2024-01-02 10:58:00+00:00,2024-01-02 10:59:00+00:00,2024-01-02 10:59:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,50020.0
355547,355548,355548,355548,closed,timeout,18881.25,18874.5,18881.0,18874.75,18901.25,18869.25,6.75,6.25,5.75,115.0,10.0,0.5,1.0,1.0,3.25,2024-01-02 11:14:00+00:00,2024-01-02 11:14:00+00:00,2024-01-02 11:15:00+00:00,2024-01-02 11:15:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,50135.0
355548,355549,355549,355549,closed,target,18874.0,18862.0,18873.75,18862.25,18894.0,18862.0,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 11:15:00+00:00,2024-01-02 11:15:00+00:00,2024-01-02 11:16:00+00:00,2024-01-02 11:16:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,50355.0
355561,355562,355562,355562,closed,timeout,18821.0,18826.25,18820.75,18826.5,18841.0,18809.0,-5.25,-5.75,-6.25,-125.0,10.0,0.5,1.0,1.0,7.75,2024-01-02 11:28:00+00:00,2024-01-02 11:28:00+00:00,2024-01-02 11:29:00+00:00,2024-01-02 11:29:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,50230.0
355563,355564,355564,355564,closed,timeout,18819.0,18817.75,18818.75,18818.0,18839.0,18807.0,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 11:30:00+00:00,2024-01-02 11:30:00+00:00,2024-01-02 11:31:00+00:00,2024-01-02 11:31:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,50235.0
355566,355567,355567,355567,closed,timeout,18812.5,18817.5,18812.25,18817.75,18832.5,18800.5,-5.0,-5.5,-6.0,-120.0,10.0,0.5,1.0,1.0,8.5,2024-01-02 11:33:00+00:00,2024-01-02 11:33:00+00:00,2024-01-02 11:34:00+00:00,2024-01-02 11:34:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,50115.0
355568,355569,355569,355569,closed,timeout,18807.25,18798.5,18807.0,18798.75,18827.25,18795.25,8.75,8.25,7.75,155.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 11:35:00+00:00,2024-01-02 11:35:00+00:00,2024-01-02 11:36:00+00:00,2024-01-02 11:36:00+00:00,compression_breakout_short_all_0564025dc3f7,-1,market,0.0,1,1,20,12,50270.0
