detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356017,356018,356018,356018,closed,timeout,18627.5,18621.5,18627.25,18621.75,18647.5,18619.5,6.0,5.5,5.0,100.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 19:04:00+00:00,2024-01-02 19:04:00+00:00,2024-01-02 19:05:00+00:00,2024-01-02 19:05:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,50100.0
356018,356019,356019,356019,closed,timeout,18621.75,18622.0,18621.5,18622.25,18641.75,18613.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,4.5,2024-01-02 19:05:00+00:00,2024-01-02 19:05:00+00:00,2024-01-02 19:06:00+00:00,2024-01-02 19:06:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,50075.0
356020,356021,356021,356021,closed,timeout,18614.5,18611.5,18614.25,18611.75,18634.5,18606.5,3.0,2.5,2.0,40.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 19:07:00+00:00,2024-01-02 19:07:00+00:00,2024-01-02 19:08:00+00:00,2024-01-02 19:08:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,50115.0
357438,357439,357439,357439,closed,timeout,18531.75,18533.25,18531.5,18533.5,18551.75,18523.75,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,6.75,2024-01-03 20:00:00+00:00,2024-01-03 20:00:00+00:00,2024-01-03 20:01:00+00:00,2024-01-03 20:01:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,50065.0
357456,357457,357457,357457,closed,timeout,18495.5,18500.25,18495.25,18500.5,18515.5,18487.5,-4.75,-5.25,-5.75,-115.0,10.0,0.5,1.0,1.0,8.25,2024-01-03 20:18:00+00:00,2024-01-03 20:18:00+00:00,2024-01-03 20:19:00+00:00,2024-01-03 20:19:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49950.0
360172,360173,360173,360173,closed,timeout,18359.25,18359.5,18359.0,18359.75,18379.25,18351.25,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,2.0,2024-01-05 20:04:00+00:00,2024-01-05 20:04:00+00:00,2024-01-05 20:05:00+00:00,2024-01-05 20:05:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49925.0
377649,377650,377650,377650,closed,timeout,19584.5,19595.5,19584.25,19595.75,19604.5,19576.5,-11.0,-11.5,-12.0,-240.0,10.0,0.5,1.0,1.0,16.75,2024-01-24 19:22:00+00:00,2024-01-24 19:22:00+00:00,2024-01-24 19:23:00+00:00,2024-01-24 19:23:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49685.0
379001,379002,379002,379002,closed,timeout,19489.75,19492.25,19489.5,19492.5,19509.75,19481.75,-2.5,-3.0,-3.5,-70.0,10.0,0.5,1.0,1.0,6.0,2024-01-25 19:09:00+00:00,2024-01-25 19:09:00+00:00,2024-01-25 19:10:00+00:00,2024-01-25 19:10:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49615.0
380451,380452,380452,380452,closed,timeout,19471.5,19475.0,19471.25,19475.25,19491.5,19463.5,-3.5,-4.0,-4.5,-90.0,10.0,0.5,1.0,1.0,5.0,2024-01-26 20:34:00+00:00,2024-01-26 20:34:00+00:00,2024-01-26 20:35:00+00:00,2024-01-26 20:35:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49525.0
380456,380457,380457,380457,closed,timeout,19468.0,19464.0,19467.75,19464.25,19488.0,19460.0,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.0,2024-01-26 20:39:00+00:00,2024-01-26 20:39:00+00:00,2024-01-26 20:40:00+00:00,2024-01-26 20:40:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49585.0
380457,380458,380458,380458,closed,timeout,19463.75,19464.0,19463.5,19464.25,19483.75,19455.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,2.25,2024-01-26 20:40:00+00:00,2024-01-26 20:40:00+00:00,2024-01-26 20:41:00+00:00,2024-01-26 20:41:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49560.0
384511,384512,384512,384512,closed,target,19320.25,19312.25,19320.0,19312.5,19340.25,19312.25,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,6.5,2024-01-31 20:00:00+00:00,2024-01-31 20:00:00+00:00,2024-01-31 20:01:00+00:00,2024-01-31 20:01:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49700.0
388620,388621,388621,388621,closed,timeout,19630.5,19625.75,19630.25,19626.0,19650.5,19622.5,4.75,4.25,3.75,75.0,10.0,0.5,1.0,1.0,1.75,2024-02-05 20:14:00+00:00,2024-02-05 20:14:00+00:00,2024-02-05 20:15:00+00:00,2024-02-05 20:15:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49775.0
389929,389930,389930,389930,closed,timeout,19507.75,19509.25,19507.5,19509.5,19527.75,19499.75,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,5.0,2024-02-06 19:18:00+00:00,2024-02-06 19:18:00+00:00,2024-02-06 19:19:00+00:00,2024-02-06 19:19:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49725.0
396730,396731,396731,396731,closed,timeout,19587.5,19586.5,19587.25,19586.75,19607.5,19579.5,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,7.5,2024-02-13 19:02:00+00:00,2024-02-13 19:02:00+00:00,2024-02-13 19:03:00+00:00,2024-02-13 19:03:00+00:00,compression_breakout_short_late_00570dd05a89,-1,market,0.0,1,1,20,8,49725.0
