detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355948,355949,355949,355949,closed,target,18677.0,18669.0,18676.75,18669.25,18697.0,18669.0,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 17:55:00+00:00,2024-01-02 17:55:00+00:00,2024-01-02 17:56:00+00:00,2024-01-02 17:58:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50140.0
355949,355950,355952,355952,closed,target,18667.5,18659.5,18667.25,18659.75,18687.5,18659.5,8.0,7.5,7.0,140.0,10.0,0.5,3.0,3.0,4.75,2024-01-02 17:56:00+00:00,2024-01-02 17:56:00+00:00,2024-01-02 17:59:00+00:00,2024-01-02 17:59:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50280.0
355952,355953,355955,355955,closed,timeout,18660.25,18662.0,18660.0,18662.25,18680.25,18652.25,-1.75,-2.25,-2.75,-55.0,10.0,0.5,3.0,3.0,4.25,2024-01-02 17:59:00+00:00,2024-01-02 17:59:00+00:00,2024-01-02 18:02:00+00:00,2024-01-02 18:02:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50225.0
355956,355957,355959,355959,closed,timeout,18655.25,18658.5,18655.0,18658.75,18675.25,18647.25,-3.25,-3.75,-4.25,-85.0,10.0,0.5,3.0,3.0,5.25,2024-01-02 18:03:00+00:00,2024-01-02 18:03:00+00:00,2024-01-02 18:06:00+00:00,2024-01-02 18:06:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50140.0
355962,355963,355965,355965,closed,timeout,18650.5,18657.5,18650.25,18657.75,18670.5,18642.5,-7.0,-7.5,-8.0,-160.0,10.0,0.5,3.0,3.0,8.0,2024-01-02 18:09:00+00:00,2024-01-02 18:09:00+00:00,2024-01-02 18:12:00+00:00,2024-01-02 18:12:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,49980.0
357339,357340,357342,357342,closed,timeout,18532.0,18530.0,18531.75,18530.25,18552.0,18524.0,2.0,1.5,1.0,20.0,10.0,0.5,3.0,3.0,1.75,2024-01-03 18:21:00+00:00,2024-01-03 18:21:00+00:00,2024-01-03 18:24:00+00:00,2024-01-03 18:24:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50000.0
358626,358627,358627,358627,closed,target,18454.75,18446.75,18454.5,18447.0,18474.75,18446.75,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,3.5,2024-01-04 17:03:00+00:00,2024-01-04 17:03:00+00:00,2024-01-04 17:04:00+00:00,2024-01-04 17:06:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50140.0
359957,359958,359960,359960,closed,timeout,18462.5,18467.5,18462.25,18467.75,18482.5,18454.5,-5.0,-5.5,-6.0,-120.0,10.0,0.5,3.0,3.0,11.25,2024-01-05 16:29:00+00:00,2024-01-05 16:29:00+00:00,2024-01-05 16:32:00+00:00,2024-01-05 16:32:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50020.0
368138,368139,368141,368141,closed,timeout,18906.5,18907.0,18906.25,18907.25,18926.5,18898.5,-0.5,-1.0,-1.5,-30.0,10.0,0.5,3.0,3.0,2.5,2024-01-15 16:21:00+00:00,2024-01-15 16:21:00+00:00,2024-01-15 16:24:00+00:00,2024-01-15 16:24:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,49990.0
368170,368171,368173,368173,closed,timeout,18907.75,18902.5,18907.5,18902.75,18927.75,18899.75,5.25,4.75,4.25,85.0,10.0,0.5,3.0,3.0,1.0,2024-01-15 16:53:00+00:00,2024-01-15 16:53:00+00:00,2024-01-15 16:56:00+00:00,2024-01-15 16:56:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50075.0
368178,368179,368181,368181,closed,timeout,18898.5,18904.25,18898.25,18904.5,18918.5,18890.5,-5.75,-6.25,-6.75,-135.0,10.0,0.5,3.0,3.0,6.5,2024-01-15 17:01:00+00:00,2024-01-15 17:01:00+00:00,2024-01-15 17:04:00+00:00,2024-01-15 17:04:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,49940.0
369311,369312,369312,369312,closed,target,18910.25,18902.25,18910.0,18902.5,18930.25,18902.25,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,1.5,2024-01-16 16:54:00+00:00,2024-01-16 16:54:00+00:00,2024-01-16 16:55:00+00:00,2024-01-16 16:57:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50080.0
369312,369313,369315,369315,closed,target,18897.5,18889.5,18897.25,18889.75,18917.5,18889.5,8.0,7.5,7.0,140.0,10.0,0.5,3.0,3.0,11.25,2024-01-16 16:55:00+00:00,2024-01-16 16:55:00+00:00,2024-01-16 16:58:00+00:00,2024-01-16 16:58:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50220.0
369430,369431,369431,369431,closed,target,18847.0,18839.0,18846.75,18839.25,18867.0,18839.0,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,0.75,2024-01-16 18:53:00+00:00,2024-01-16 18:53:00+00:00,2024-01-16 18:54:00+00:00,2024-01-16 18:56:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50360.0
369431,369432,369434,369434,closed,timeout,18839.25,18841.5,18839.0,18841.75,18859.25,18831.25,-2.25,-2.75,-3.25,-65.0,10.0,0.5,3.0,3.0,6.25,2024-01-16 18:54:00+00:00,2024-01-16 18:54:00+00:00,2024-01-16 18:57:00+00:00,2024-01-16 18:57:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50295.0
370763,370764,370764,370764,closed,target,18713.75,18705.75,18713.5,18706.0,18733.75,18705.75,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,2.5,2024-01-17 18:21:00+00:00,2024-01-17 18:21:00+00:00,2024-01-17 18:22:00+00:00,2024-01-17 18:24:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50435.0
370764,370765,370767,370767,closed,target,18706.25,18698.25,18706.0,18698.5,18726.25,18698.25,8.0,7.5,7.0,140.0,10.0,0.5,3.0,3.0,5.5,2024-01-17 18:22:00+00:00,2024-01-17 18:22:00+00:00,2024-01-17 18:25:00+00:00,2024-01-17 18:25:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50575.0
370774,370775,370777,370777,closed,timeout,18696.25,18696.0,18696.0,18696.25,18716.25,18688.25,0.25,-0.25,-0.75,-15.0,10.0,0.5,3.0,3.0,9.75,2024-01-17 18:32:00+00:00,2024-01-17 18:32:00+00:00,2024-01-17 18:35:00+00:00,2024-01-17 18:35:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50560.0
372059,372060,372061,372061,closed,target,18950.75,18942.75,18950.5,18943.0,18970.75,18942.75,8.0,7.5,7.0,140.0,10.0,0.5,2.0,2.0,2.25,2024-01-18 17:12:00+00:00,2024-01-18 17:12:00+00:00,2024-01-18 17:14:00+00:00,2024-01-18 17:15:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50700.0
372126,372127,372129,372129,closed,timeout,18894.5,18895.25,18894.25,18895.5,18914.5,18886.5,-0.75,-1.25,-1.75,-35.0,10.0,0.5,3.0,3.0,9.5,2024-01-18 18:19:00+00:00,2024-01-18 18:19:00+00:00,2024-01-18 18:22:00+00:00,2024-01-18 18:22:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50665.0
377582,377583,377583,377583,closed,target,19681.75,19673.75,19681.5,19674.0,19701.75,19673.75,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,2.5,2024-01-24 18:15:00+00:00,2024-01-24 18:15:00+00:00,2024-01-24 18:16:00+00:00,2024-01-24 18:18:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50805.0
378957,378958,378960,378960,closed,timeout,19554.75,19570.5,19554.5,19570.75,19574.75,19546.75,-15.75,-16.25,-16.75,-335.0,10.0,0.5,3.0,3.0,18.5,2024-01-25 18:25:00+00:00,2024-01-25 18:25:00+00:00,2024-01-25 18:28:00+00:00,2024-01-25 18:28:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50470.0
380286,380287,380287,380287,closed,target,19474.5,19466.5,19474.25,19466.75,19494.5,19466.5,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,5.0,2024-01-26 17:49:00+00:00,2024-01-26 17:49:00+00:00,2024-01-26 17:50:00+00:00,2024-01-26 17:52:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50610.0
380287,380288,380290,380290,closed,timeout,19463.75,19462.0,19463.5,19462.25,19483.75,19455.75,1.75,1.25,0.75,15.0,10.0,0.5,3.0,3.0,4.75,2024-01-26 17:50:00+00:00,2024-01-26 17:50:00+00:00,2024-01-26 17:53:00+00:00,2024-01-26 17:53:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50625.0
380345,380346,380348,380348,closed,timeout,19453.5,19456.75,19453.25,19457.0,19473.5,19445.5,-3.25,-3.75,-4.25,-85.0,10.0,0.5,3.0,3.0,7.0,2024-01-26 18:48:00+00:00,2024-01-26 18:48:00+00:00,2024-01-26 18:51:00+00:00,2024-01-26 18:51:00+00:00,compression_breakout_short_midday_fa7b7d2655ec,-1,market,0.0,3,1,20,8,50540.0
