detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355759,355760,355762,355762,closed,target,18708.25,18704.25,18708.0,18704.5,18728.25,18704.25,4.0,3.5,3.0,60.0,10.0,0.5,3.0,3.0,15.25,2024-01-02 14:46:00+00:00,2024-01-02 14:46:00+00:00,2024-01-02 14:49:00+00:00,2024-01-02 14:56:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,50060.0
355762,355763,355763,355763,closed,target,18688.25,18684.25,18688.0,18684.5,18708.25,18684.25,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 14:49:00+00:00,2024-01-02 14:49:00+00:00,2024-01-02 14:50:00+00:00,2024-01-02 14:59:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,50120.0
355763,355764,355765,355765,closed,stop,18678.75,18698.75,18678.5,18699.0,18698.75,18674.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,2.0,2.0,20.5,2024-01-02 14:50:00+00:00,2024-01-02 14:50:00+00:00,2024-01-02 14:52:00+00:00,2024-01-02 15:00:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,49700.0
355768,355769,355770,355770,closed,target,18674.75,18670.75,18674.5,18671.0,18694.75,18670.75,4.0,3.5,3.0,60.0,10.0,0.5,2.0,2.0,9.25,2024-01-02 14:55:00+00:00,2024-01-02 14:55:00+00:00,2024-01-02 14:57:00+00:00,2024-01-02 15:05:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,49760.0
355770,355771,355772,355772,closed,stop,18663.75,18683.75,18663.5,18684.0,18683.75,18659.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,2.0,2.0,25.75,2024-01-02 14:57:00+00:00,2024-01-02 14:57:00+00:00,2024-01-02 14:59:00+00:00,2024-01-02 15:07:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,49340.0
355811,355812,355818,355818,closed,stop,18637.75,18657.75,18637.5,18658.0,18657.75,18633.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,7.0,7.0,21.25,2024-01-02 15:38:00+00:00,2024-01-02 15:38:00+00:00,2024-01-02 15:45:00+00:00,2024-01-02 15:48:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,48920.0
357160,357161,357164,357164,closed,stop,18498.75,18518.75,18498.5,18519.0,18518.75,18494.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,4.0,4.0,28.0,2024-01-03 15:22:00+00:00,2024-01-03 15:22:00+00:00,2024-01-03 15:26:00+00:00,2024-01-03 15:32:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,48500.0
370546,370547,370547,370547,closed,target,18693.5,18689.5,18693.25,18689.75,18713.5,18689.5,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,2.0,2024-01-17 14:44:00+00:00,2024-01-17 14:44:00+00:00,2024-01-17 14:45:00+00:00,2024-01-17 14:54:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,48560.0
370563,370564,370565,370565,closed,stop,18632.5,18652.5,18632.25,18652.75,18652.5,18628.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,2.0,2.0,21.75,2024-01-17 15:01:00+00:00,2024-01-17 15:01:00+00:00,2024-01-17 15:03:00+00:00,2024-01-17 15:11:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,48140.0
374704,374705,374705,374705,closed,target,19399.5,19395.5,19399.25,19395.75,19419.5,19395.5,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.75,2024-01-22 15:47:00+00:00,2024-01-22 15:47:00+00:00,2024-01-22 15:48:00+00:00,2024-01-22 15:57:00+00:00,compression_breakout_short_open_dc47874f8303,-1,market,0.0,10,1,20,4,48200.0
