detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354905,354906,354925,354925,closed,timeout,18960.5,18968.25,18960.75,18968.0,18948.5,18992.5,7.75,7.25,6.75,135.0,10.0,0.5,20.0,20.0,0.25,2024-01-02 00:32:00+00:00,2024-01-02 00:32:00+00:00,2024-01-02 00:52:00+00:00,2024-01-02 00:52:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,50135.0
355402,355403,355418,355418,closed,stop,18970.25,18958.25,18970.5,18958.0,18958.25,19002.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,16.0,16.0,14.0,2024-01-02 08:49:00+00:00,2024-01-02 08:49:00+00:00,2024-01-02 09:05:00+00:00,2024-01-02 09:09:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,49875.0
355431,355432,355451,355451,closed,timeout,18943.75,18938.0,18944.0,18937.75,18931.75,18975.75,-5.75,-6.25,-6.75,-135.0,10.0,0.5,20.0,20.0,6.5,2024-01-02 09:18:00+00:00,2024-01-02 09:18:00+00:00,2024-01-02 09:38:00+00:00,2024-01-02 09:38:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,49740.0
355505,355506,355525,355525,closed,timeout,18930.25,18922.25,18930.5,18922.0,18918.25,18962.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,20.0,20.0,8.25,2024-01-02 10:32:00+00:00,2024-01-02 10:32:00+00:00,2024-01-02 10:52:00+00:00,2024-01-02 10:52:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,49560.0
355535,355536,355541,355541,closed,stop,18910.0,18898.0,18910.25,18897.75,18898.0,18942.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,6.0,6.0,17.5,2024-01-02 11:02:00+00:00,2024-01-02 11:02:00+00:00,2024-01-02 11:08:00+00:00,2024-01-02 11:22:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,49300.0
355545,355546,355547,355547,closed,stop,18893.25,18881.25,18893.5,18881.0,18881.25,18925.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,15.75,2024-01-02 11:12:00+00:00,2024-01-02 11:12:00+00:00,2024-01-02 11:14:00+00:00,2024-01-02 11:32:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,49040.0
355558,355559,355561,355561,closed,stop,18844.0,18832.0,18844.25,18831.75,18832.0,18876.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,24.75,2024-01-02 11:25:00+00:00,2024-01-02 11:25:00+00:00,2024-01-02 11:28:00+00:00,2024-01-02 11:45:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,48780.0
355645,355646,355651,355651,closed,stop,18779.5,18767.5,18779.75,18767.25,18767.5,18811.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,6.0,6.0,21.5,2024-01-02 12:52:00+00:00,2024-01-02 12:52:00+00:00,2024-01-02 12:58:00+00:00,2024-01-02 13:12:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,48520.0
355749,355750,355750,355750,closed,stop,18782.5,18770.5,18782.75,18770.25,18770.5,18814.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,1.0,1.0,20.0,2024-01-02 14:36:00+00:00,2024-01-02 14:36:00+00:00,2024-01-02 14:37:00+00:00,2024-01-02 14:56:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,48260.0
355958,355959,355963,355963,closed,stop,18658.25,18646.25,18658.5,18646.0,18646.25,18690.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,5.0,5.0,14.0,2024-01-02 18:05:00+00:00,2024-01-02 18:05:00+00:00,2024-01-02 18:10:00+00:00,2024-01-02 18:25:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,48000.0
356014,356015,356017,356017,closed,stop,18640.5,18628.5,18640.75,18628.25,18628.5,18672.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,14.0,2024-01-02 19:01:00+00:00,2024-01-02 19:01:00+00:00,2024-01-02 19:04:00+00:00,2024-01-02 19:21:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,47740.0
356024,356025,356044,356044,closed,timeout,18622.25,18643.75,18622.5,18643.5,18610.25,18654.25,21.5,21.0,20.5,410.0,10.0,0.5,20.0,20.0,1.75,2024-01-02 19:11:00+00:00,2024-01-02 19:11:00+00:00,2024-01-02 19:31:00+00:00,2024-01-02 19:31:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,48150.0
356054,356055,356066,356066,closed,stop,18627.75,18615.75,18628.0,18615.5,18615.75,18659.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,12.0,12.0,14.0,2024-01-02 19:41:00+00:00,2024-01-02 19:41:00+00:00,2024-01-02 19:53:00+00:00,2024-01-02 20:01:00+00:00,exhaustion_reversal_long_all_8b6a0ee0278c,1,market,0.0,20,1,12,32,47890.0
