detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355958,355959,355959,355959,closed,timeout,18658.25,18658.5,18658.5,18658.25,18654.25,18690.25,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 18:05:00+00:00,2024-01-02 18:05:00+00:00,2024-01-02 18:06:00+00:00,2024-01-02 18:06:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,49985.0
357242,357243,357243,357243,closed,timeout,18512.5,18518.25,18512.75,18518.0,18508.5,18544.5,5.75,5.25,4.75,95.0,10.0,0.5,1.0,1.0,1.5,2024-01-03 16:44:00+00:00,2024-01-03 16:44:00+00:00,2024-01-03 16:45:00+00:00,2024-01-03 16:45:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50080.0
360000,360001,360001,360001,closed,timeout,18410.75,18410.0,18411.0,18409.75,18406.75,18442.75,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,3.0,2024-01-05 17:12:00+00:00,2024-01-05 17:12:00+00:00,2024-01-05 17:13:00+00:00,2024-01-05 17:13:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50045.0
360002,360003,360003,360003,closed,timeout,18414.25,18415.0,18414.5,18414.75,18410.25,18446.25,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.5,2024-01-05 17:14:00+00:00,2024-01-05 17:14:00+00:00,2024-01-05 17:15:00+00:00,2024-01-05 17:15:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50040.0
360004,360005,360005,360005,closed,timeout,18417.25,18422.75,18417.5,18422.5,18413.25,18449.25,5.5,5.0,4.5,90.0,10.0,0.5,1.0,1.0,0.75,2024-01-05 17:16:00+00:00,2024-01-05 17:16:00+00:00,2024-01-05 17:17:00+00:00,2024-01-05 17:17:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50130.0
360053,360054,360054,360054,closed,timeout,18389.5,18397.0,18389.75,18396.75,18385.5,18421.5,7.5,7.0,6.5,130.0,10.0,0.5,1.0,1.0,2.25,2024-01-05 18:05:00+00:00,2024-01-05 18:05:00+00:00,2024-01-05 18:06:00+00:00,2024-01-05 18:06:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50260.0
360066,360067,360067,360067,closed,stop,18378.75,18374.75,18379.0,18374.5,18374.75,18410.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.5,2024-01-05 18:18:00+00:00,2024-01-05 18:18:00+00:00,2024-01-05 18:19:00+00:00,2024-01-05 18:19:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50160.0
361379,361380,361380,361380,closed,timeout,18623.25,18622.0,18623.5,18621.75,18619.25,18655.25,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,2.0,2024-01-08 17:26:00+00:00,2024-01-08 17:26:00+00:00,2024-01-08 17:27:00+00:00,2024-01-08 17:27:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50115.0
362735,362736,362736,362736,closed,timeout,18762.0,18762.75,18762.25,18762.5,18758.0,18794.0,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,1.75,2024-01-09 17:18:00+00:00,2024-01-09 17:18:00+00:00,2024-01-09 17:19:00+00:00,2024-01-09 17:19:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50110.0
362813,362814,362814,362814,closed,timeout,18751.0,18751.75,18751.25,18751.5,18747.0,18783.0,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,3.5,2024-01-09 18:36:00+00:00,2024-01-09 18:36:00+00:00,2024-01-09 18:37:00+00:00,2024-01-09 18:37:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50105.0
364040,364041,364041,364041,closed,timeout,18803.75,18810.0,18804.0,18809.75,18799.75,18835.75,6.25,5.75,5.25,105.0,10.0,0.5,1.0,1.0,0.5,2024-01-10 16:18:00+00:00,2024-01-10 16:18:00+00:00,2024-01-10 16:19:00+00:00,2024-01-10 16:19:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50210.0
364076,364077,364077,364077,closed,timeout,18806.75,18813.5,18807.0,18813.25,18802.75,18838.75,6.75,6.25,5.75,115.0,10.0,0.5,1.0,1.0,0.25,2024-01-10 16:54:00+00:00,2024-01-10 16:54:00+00:00,2024-01-10 16:55:00+00:00,2024-01-10 16:55:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50325.0
365406,365407,365407,365407,closed,stop,18732.0,18728.0,18732.25,18727.75,18728.0,18764.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.25,2024-01-11 16:19:00+00:00,2024-01-11 16:19:00+00:00,2024-01-11 16:20:00+00:00,2024-01-11 16:20:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50225.0
366792,366793,366793,366793,closed,stop,18887.75,18883.75,18888.0,18883.5,18883.75,18919.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,9.25,2024-01-12 16:40:00+00:00,2024-01-12 16:40:00+00:00,2024-01-12 16:41:00+00:00,2024-01-12 16:41:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50125.0
368129,368130,368130,368130,closed,timeout,18910.75,18911.0,18911.0,18910.75,18906.75,18942.75,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,0.75,2024-01-15 16:12:00+00:00,2024-01-15 16:12:00+00:00,2024-01-15 16:13:00+00:00,2024-01-15 16:13:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50110.0
368164,368165,368165,368165,closed,timeout,18911.75,18911.5,18912.0,18911.25,18907.75,18943.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,1.0,2024-01-15 16:47:00+00:00,2024-01-15 16:47:00+00:00,2024-01-15 16:48:00+00:00,2024-01-15 16:48:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50085.0
369263,369264,369264,369264,closed,timeout,18914.25,18928.0,18914.5,18927.75,18910.25,18946.25,13.75,13.25,12.75,255.0,10.0,0.5,1.0,1.0,0.25,2024-01-16 16:06:00+00:00,2024-01-16 16:06:00+00:00,2024-01-16 16:07:00+00:00,2024-01-16 16:07:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50340.0
369327,369328,369328,369328,closed,timeout,18863.0,18871.75,18863.25,18871.5,18859.0,18895.0,8.75,8.25,7.75,155.0,10.0,0.5,1.0,1.0,4.0,2024-01-16 17:10:00+00:00,2024-01-16 17:10:00+00:00,2024-01-16 17:11:00+00:00,2024-01-16 17:11:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50495.0
369351,369352,369352,369352,closed,stop,18858.25,18854.25,18858.5,18854.0,18854.25,18890.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,8.0,2024-01-16 17:34:00+00:00,2024-01-16 17:34:00+00:00,2024-01-16 17:35:00+00:00,2024-01-16 17:35:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50395.0
369421,369422,369422,369422,closed,stop,18865.25,18861.25,18865.5,18861.0,18861.25,18897.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-16 18:44:00+00:00,2024-01-16 18:44:00+00:00,2024-01-16 18:45:00+00:00,2024-01-16 18:45:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50295.0
369433,369434,369434,369434,closed,timeout,18842.25,18841.5,18842.5,18841.25,18838.25,18874.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,3.5,2024-01-16 18:56:00+00:00,2024-01-16 18:56:00+00:00,2024-01-16 18:57:00+00:00,2024-01-16 18:57:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50260.0
370712,370713,370713,370713,closed,stop,18730.75,18726.75,18731.0,18726.5,18726.75,18762.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.5,2024-01-17 17:30:00+00:00,2024-01-17 17:30:00+00:00,2024-01-17 17:31:00+00:00,2024-01-17 17:31:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50160.0
372032,372033,372033,372033,closed,timeout,19020.25,19018.0,19020.5,19017.75,19016.25,19052.25,-2.25,-2.75,-3.25,-65.0,10.0,0.5,1.0,1.0,3.75,2024-01-18 16:45:00+00:00,2024-01-18 16:45:00+00:00,2024-01-18 16:46:00+00:00,2024-01-18 16:46:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50095.0
372053,372054,372054,372054,closed,timeout,18969.0,18973.5,18969.25,18973.25,18965.0,19001.0,4.5,4.0,3.5,70.0,10.0,0.5,1.0,1.0,2.0,2024-01-18 17:06:00+00:00,2024-01-18 17:06:00+00:00,2024-01-18 17:07:00+00:00,2024-01-18 17:07:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50165.0
372057,372058,372058,372058,closed,stop,18961.25,18957.25,18961.5,18957.0,18957.25,18993.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-18 17:10:00+00:00,2024-01-18 17:10:00+00:00,2024-01-18 17:11:00+00:00,2024-01-18 17:11:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50065.0
372061,372062,372062,372062,closed,timeout,18948.0,18954.0,18948.25,18953.75,18944.0,18980.0,6.0,5.5,5.0,100.0,10.0,0.5,1.0,1.0,1.0,2024-01-18 17:14:00+00:00,2024-01-18 17:14:00+00:00,2024-01-18 17:15:00+00:00,2024-01-18 17:15:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50165.0
372115,372116,372116,372116,closed,timeout,18907.0,18912.25,18907.25,18912.0,18903.0,18939.0,5.25,4.75,4.25,85.0,10.0,0.5,1.0,1.0,0.25,2024-01-18 18:08:00+00:00,2024-01-18 18:08:00+00:00,2024-01-18 18:09:00+00:00,2024-01-18 18:09:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50250.0
373392,373393,373393,373393,closed,timeout,19175.75,19178.25,19176.0,19178.0,19171.75,19207.75,2.5,2.0,1.5,30.0,10.0,0.5,1.0,1.0,2.25,2024-01-19 16:40:00+00:00,2024-01-19 16:40:00+00:00,2024-01-19 16:41:00+00:00,2024-01-19 16:41:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50280.0
376105,376106,376106,376106,closed,timeout,19389.75,19392.5,19390.0,19392.25,19385.75,19421.75,2.75,2.25,1.75,35.0,10.0,0.5,1.0,1.0,0.5,2024-01-23 16:23:00+00:00,2024-01-23 16:23:00+00:00,2024-01-23 16:24:00+00:00,2024-01-23 16:24:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50315.0
377457,377458,377458,377458,closed,stop,19653.5,19649.5,19653.75,19649.25,19649.5,19685.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,12.0,2024-01-24 16:10:00+00:00,2024-01-24 16:10:00+00:00,2024-01-24 16:11:00+00:00,2024-01-24 16:11:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50215.0
377461,377462,377462,377462,closed,stop,19643.0,19639.0,19643.25,19638.75,19639.0,19675.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.0,2024-01-24 16:14:00+00:00,2024-01-24 16:14:00+00:00,2024-01-24 16:15:00+00:00,2024-01-24 16:15:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50115.0
377570,377571,377571,377571,closed,stop,19704.25,19700.25,19704.5,19700.0,19700.25,19736.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-24 18:03:00+00:00,2024-01-24 18:03:00+00:00,2024-01-24 18:04:00+00:00,2024-01-24 18:04:00+00:00,exhaustion_reversal_long_midday_8346db7cf1cc,1,market,0.0,1,1,4,32,50015.0
