detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355749,355750,355751,355751,closed,stop,18782.5,18762.5,18782.75,18762.25,18762.5,18814.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,2.0,2.0,24.5,2024-01-02 14:36:00+00:00,2024-01-02 14:36:00+00:00,2024-01-02 14:38:00+00:00,2024-01-02 14:46:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,49580.0
357157,357158,357167,357167,closed,timeout,18514.25,18526.5,18514.5,18526.25,18494.25,18546.25,12.25,11.75,11.25,225.0,10.0,0.5,10.0,10.0,16.75,2024-01-03 15:19:00+00:00,2024-01-03 15:19:00+00:00,2024-01-03 15:29:00+00:00,2024-01-03 15:29:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,49805.0
365383,365384,365393,365393,closed,timeout,18794.0,18793.0,18794.25,18792.75,18774.0,18826.0,-1.0,-1.5,-2.0,-40.0,10.0,0.5,10.0,10.0,15.25,2024-01-11 15:56:00+00:00,2024-01-11 15:56:00+00:00,2024-01-11 16:06:00+00:00,2024-01-11 16:06:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,49765.0
368070,368071,368080,368080,closed,timeout,18888.5,18890.0,18888.75,18889.75,18868.5,18920.5,1.5,1.0,0.5,10.0,10.0,0.5,10.0,10.0,7.0,2024-01-15 15:13:00+00:00,2024-01-15 15:13:00+00:00,2024-01-15 15:23:00+00:00,2024-01-15 15:23:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,49775.0
370541,370542,370546,370546,closed,stop,18707.75,18687.75,18708.0,18687.5,18687.75,18739.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,5.0,5.0,25.75,2024-01-17 14:39:00+00:00,2024-01-17 14:39:00+00:00,2024-01-17 14:44:00+00:00,2024-01-17 14:49:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,49355.0
371934,371935,371944,371944,closed,timeout,18942.0,18961.75,18942.25,18961.5,18922.0,18974.0,19.75,19.25,18.75,375.0,10.0,0.5,10.0,10.0,9.25,2024-01-18 15:07:00+00:00,2024-01-18 15:07:00+00:00,2024-01-18 15:17:00+00:00,2024-01-18 15:17:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,49730.0
374643,374644,374651,374651,closed,target,19454.0,19486.0,19454.25,19485.75,19434.0,19486.0,32.0,31.5,31.0,620.0,10.0,0.5,8.0,8.0,0.5,2024-01-22 14:46:00+00:00,2024-01-22 14:46:00+00:00,2024-01-22 14:54:00+00:00,2024-01-22 14:56:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,50350.0
374663,374664,374673,374673,closed,timeout,19455.25,19478.0,19455.5,19477.75,19435.25,19487.25,22.75,22.25,21.75,435.0,10.0,0.5,10.0,10.0,0.25,2024-01-22 15:06:00+00:00,2024-01-22 15:06:00+00:00,2024-01-22 15:16:00+00:00,2024-01-22 15:16:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,50785.0
374689,374690,374699,374699,closed,timeout,19417.5,19421.25,19417.75,19421.0,19397.5,19449.5,3.75,3.25,2.75,55.0,10.0,0.5,10.0,10.0,18.5,2024-01-22 15:32:00+00:00,2024-01-22 15:32:00+00:00,2024-01-22 15:42:00+00:00,2024-01-22 15:42:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,50840.0
375998,375999,376001,376001,closed,target,19370.0,19402.0,19370.25,19401.75,19350.0,19402.0,32.0,31.5,31.0,620.0,10.0,0.5,3.0,3.0,1.25,2024-01-23 14:36:00+00:00,2024-01-23 14:36:00+00:00,2024-01-23 14:39:00+00:00,2024-01-23 14:46:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,51460.0
376049,376050,376059,376059,closed,timeout,19384.5,19400.0,19384.75,19399.75,19364.5,19416.5,15.5,15.0,14.5,290.0,10.0,0.5,10.0,10.0,2.5,2024-01-23 15:27:00+00:00,2024-01-23 15:27:00+00:00,2024-01-23 15:37:00+00:00,2024-01-23 15:37:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,51750.0
377364,377365,377374,377374,closed,timeout,19594.5,19598.5,19594.75,19598.25,19574.5,19626.5,4.0,3.5,3.0,60.0,10.0,0.5,10.0,10.0,16.0,2024-01-24 14:37:00+00:00,2024-01-24 14:37:00+00:00,2024-01-24 14:47:00+00:00,2024-01-24 14:47:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,51810.0
378789,378790,378799,378799,closed,timeout,19635.75,19658.25,19636.0,19658.0,19615.75,19667.75,22.5,22.0,21.5,430.0,10.0,0.5,10.0,10.0,9.25,2024-01-25 15:37:00+00:00,2024-01-25 15:37:00+00:00,2024-01-25 15:47:00+00:00,2024-01-25 15:47:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,52240.0
381488,381489,381498,381498,closed,timeout,19477.75,19507.5,19478.0,19507.25,19457.75,19509.75,29.75,29.25,28.75,575.0,10.0,0.5,10.0,10.0,3.25,2024-01-29 15:06:00+00:00,2024-01-29 15:06:00+00:00,2024-01-29 15:16:00+00:00,2024-01-29 15:16:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,52815.0
382851,382852,382861,382861,closed,timeout,19579.0,19592.0,19579.25,19591.75,19559.0,19611.0,13.0,12.5,12.0,240.0,10.0,0.5,10.0,10.0,10.0,2024-01-30 15:05:00+00:00,2024-01-30 15:05:00+00:00,2024-01-30 15:15:00+00:00,2024-01-30 15:15:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,53055.0
384197,384198,384207,384207,closed,timeout,19304.5,19327.0,19304.75,19326.75,19284.5,19336.5,22.5,22.0,21.5,430.0,10.0,0.5,10.0,10.0,11.5,2024-01-31 14:46:00+00:00,2024-01-31 14:46:00+00:00,2024-01-31 14:56:00+00:00,2024-01-31 14:56:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,53485.0
385546,385547,385556,385556,closed,timeout,19248.25,19257.5,19248.5,19257.25,19228.25,19280.25,9.25,8.75,8.25,165.0,10.0,0.5,10.0,10.0,13.0,2024-02-01 14:30:00+00:00,2024-02-01 14:30:00+00:00,2024-02-01 14:40:00+00:00,2024-02-01 14:40:00+00:00,exhaustion_reversal_long_open_26ec1137cf66,1,market,0.0,10,1,20,32,53650.0
