detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355749,355750,355751,355751,closed,stop,18782.5,18762.5,18782.75,18762.25,18762.5,18794.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,2.0,2.0,24.5,2024-01-02 14:36:00+00:00,2024-01-02 14:36:00+00:00,2024-01-02 14:38:00+00:00,2024-01-02 14:46:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,49580.0
357157,357158,357164,357164,closed,target,18514.25,18526.25,18514.5,18526.0,18494.25,18526.25,12.0,11.5,11.0,220.0,10.0,0.5,7.0,7.0,16.75,2024-01-03 15:19:00+00:00,2024-01-03 15:19:00+00:00,2024-01-03 15:26:00+00:00,2024-01-03 15:29:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,49800.0
365383,365384,365384,365384,closed,target,18794.0,18806.0,18794.25,18805.75,18774.0,18806.0,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,0.25,2024-01-11 15:56:00+00:00,2024-01-11 15:56:00+00:00,2024-01-11 15:57:00+00:00,2024-01-11 16:06:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,50020.0
368070,368071,368080,368080,closed,timeout,18888.5,18890.0,18888.75,18889.75,18868.5,18900.5,1.5,1.0,0.5,10.0,10.0,0.5,10.0,10.0,7.0,2024-01-15 15:13:00+00:00,2024-01-15 15:13:00+00:00,2024-01-15 15:23:00+00:00,2024-01-15 15:23:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,50030.0
370541,370542,370543,370543,closed,target,18707.75,18719.75,18708.0,18719.5,18687.75,18719.75,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,4.0,2024-01-17 14:39:00+00:00,2024-01-17 14:39:00+00:00,2024-01-17 14:41:00+00:00,2024-01-17 14:49:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,50250.0
371934,371935,371939,371939,closed,target,18942.0,18954.0,18942.25,18953.75,18922.0,18954.0,12.0,11.5,11.0,220.0,10.0,0.5,5.0,5.0,9.25,2024-01-18 15:07:00+00:00,2024-01-18 15:07:00+00:00,2024-01-18 15:12:00+00:00,2024-01-18 15:17:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,50470.0
374643,374644,374644,374644,closed,target,19454.0,19466.0,19454.25,19465.75,19434.0,19466.0,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,0.5,2024-01-22 14:46:00+00:00,2024-01-22 14:46:00+00:00,2024-01-22 14:47:00+00:00,2024-01-22 14:56:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,50690.0
374663,374664,374664,374664,closed,target,19455.25,19467.25,19455.5,19467.0,19435.25,19467.25,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,0.25,2024-01-22 15:06:00+00:00,2024-01-22 15:06:00+00:00,2024-01-22 15:07:00+00:00,2024-01-22 15:16:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,50910.0
374689,374690,374697,374697,closed,target,19417.5,19429.5,19417.75,19429.25,19397.5,19429.5,12.0,11.5,11.0,220.0,10.0,0.5,8.0,8.0,18.5,2024-01-22 15:32:00+00:00,2024-01-22 15:32:00+00:00,2024-01-22 15:40:00+00:00,2024-01-22 15:42:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,51130.0
375998,375999,375999,375999,closed,target,19370.0,19382.0,19370.25,19381.75,19350.0,19382.0,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,1.25,2024-01-23 14:36:00+00:00,2024-01-23 14:36:00+00:00,2024-01-23 14:37:00+00:00,2024-01-23 14:46:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,51350.0
376049,376050,376050,376050,closed,target,19384.5,19396.5,19384.75,19396.25,19364.5,19396.5,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,2.5,2024-01-23 15:27:00+00:00,2024-01-23 15:27:00+00:00,2024-01-23 15:28:00+00:00,2024-01-23 15:37:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,51570.0
377364,377365,377374,377374,closed,timeout,19594.5,19598.5,19594.75,19598.25,19574.5,19606.5,4.0,3.5,3.0,60.0,10.0,0.5,10.0,10.0,16.0,2024-01-24 14:37:00+00:00,2024-01-24 14:37:00+00:00,2024-01-24 14:47:00+00:00,2024-01-24 14:47:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,51630.0
378789,378790,378793,378793,closed,target,19635.75,19647.75,19636.0,19647.5,19615.75,19647.75,12.0,11.5,11.0,220.0,10.0,0.5,4.0,4.0,9.25,2024-01-25 15:37:00+00:00,2024-01-25 15:37:00+00:00,2024-01-25 15:41:00+00:00,2024-01-25 15:47:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,51850.0
381488,381489,381492,381492,closed,target,19477.75,19489.75,19478.0,19489.5,19457.75,19489.75,12.0,11.5,11.0,220.0,10.0,0.5,4.0,4.0,3.25,2024-01-29 15:06:00+00:00,2024-01-29 15:06:00+00:00,2024-01-29 15:10:00+00:00,2024-01-29 15:16:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,52070.0
382851,382852,382854,382854,closed,target,19579.0,19591.0,19579.25,19590.75,19559.0,19591.0,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,10.0,2024-01-30 15:05:00+00:00,2024-01-30 15:05:00+00:00,2024-01-30 15:08:00+00:00,2024-01-30 15:15:00+00:00,exhaustion_reversal_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,52290.0
