detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355193,355194,355194,355194,closed,timeout,18956.0,18955.75,18955.75,18956.0,18964.0,18924.0,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 05:20:00+00:00,2024-01-02 05:20:00+00:00,2024-01-02 05:21:00+00:00,2024-01-02 05:21:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,49985.0
355308,355309,355309,355309,closed,timeout,18958.5,18960.0,18958.25,18960.25,18966.5,18926.5,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 07:15:00+00:00,2024-01-02 07:15:00+00:00,2024-01-02 07:16:00+00:00,2024-01-02 07:16:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,49935.0
355315,355316,355316,355316,closed,timeout,18961.5,18961.25,18961.25,18961.5,18969.5,18929.5,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 07:22:00+00:00,2024-01-02 07:22:00+00:00,2024-01-02 07:23:00+00:00,2024-01-02 07:23:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,49920.0
355515,355516,355516,355516,closed,timeout,18936.5,18934.25,18936.25,18934.5,18944.5,18904.5,2.25,1.75,1.25,25.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 10:42:00+00:00,2024-01-02 10:42:00+00:00,2024-01-02 10:43:00+00:00,2024-01-02 10:43:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,49945.0
355714,355715,355715,355715,closed,timeout,18793.75,18794.25,18793.5,18794.5,18801.75,18761.75,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 14:01:00+00:00,2024-01-02 14:01:00+00:00,2024-01-02 14:02:00+00:00,2024-01-02 14:02:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,49915.0
355776,355777,355777,355777,closed,timeout,18720.5,18720.75,18720.25,18721.0,18728.5,18688.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,8.0,2024-01-02 15:03:00+00:00,2024-01-02 15:03:00+00:00,2024-01-02 15:04:00+00:00,2024-01-02 15:04:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,49890.0
355846,355847,355847,355847,closed,timeout,18692.0,18683.25,18691.75,18683.5,18700.0,18660.0,8.75,8.25,7.75,155.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 16:13:00+00:00,2024-01-02 16:13:00+00:00,2024-01-02 16:14:00+00:00,2024-01-02 16:14:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,50045.0
356126,356127,356127,356127,closed,stop,18633.25,18641.25,18633.0,18641.5,18641.25,18601.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,9.0,2024-01-02 20:53:00+00:00,2024-01-02 20:53:00+00:00,2024-01-02 20:54:00+00:00,2024-01-02 20:54:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,49865.0
356256,356257,356257,356257,closed,timeout,18668.75,18667.75,18668.5,18668.0,18676.75,18636.75,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.25,2024-01-03 00:18:00+00:00,2024-01-03 00:18:00+00:00,2024-01-03 00:19:00+00:00,2024-01-03 00:19:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,49865.0
356425,356426,356426,356426,closed,timeout,18648.0,18648.0,18647.75,18648.25,18656.0,18616.0,-0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,0.75,2024-01-03 03:07:00+00:00,2024-01-03 03:07:00+00:00,2024-01-03 03:08:00+00:00,2024-01-03 03:08:00+00:00,exhaustion_reversal_short_all_0fb2613c5b2c,-1,market,0.0,1,1,8,32,49845.0
