detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356126,356127,356127,356127,closed,stop,18633.25,18641.25,18633.0,18641.5,18641.25,18621.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,9.0,2024-01-02 20:53:00+00:00,2024-01-02 20:53:00+00:00,2024-01-02 20:54:00+00:00,2024-01-02 20:54:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49820.0
357474,357475,357475,357475,closed,timeout,18514.75,18512.5,18514.5,18512.75,18522.75,18502.75,2.25,1.75,1.25,25.0,10.0,0.5,1.0,1.0,3.75,2024-01-03 20:36:00+00:00,2024-01-03 20:36:00+00:00,2024-01-03 20:37:00+00:00,2024-01-03 20:37:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49845.0
357475,357476,357476,357476,closed,timeout,18512.25,18505.75,18512.0,18506.0,18520.25,18500.25,6.5,6.0,5.5,110.0,10.0,0.5,1.0,1.0,2.75,2024-01-03 20:37:00+00:00,2024-01-03 20:37:00+00:00,2024-01-03 20:38:00+00:00,2024-01-03 20:38:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49955.0
358841,358842,358842,358842,closed,timeout,18436.5,18431.0,18436.25,18431.25,18444.5,18424.5,5.5,5.0,4.5,90.0,10.0,0.5,1.0,1.0,2.5,2024-01-04 20:38:00+00:00,2024-01-04 20:38:00+00:00,2024-01-04 20:39:00+00:00,2024-01-04 20:39:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,50045.0
361489,361490,361490,361490,closed,timeout,18688.0,18689.75,18687.75,18690.0,18696.0,18676.0,-1.75,-2.25,-2.75,-55.0,10.0,0.5,1.0,1.0,3.5,2024-01-08 19:16:00+00:00,2024-01-08 19:16:00+00:00,2024-01-08 19:17:00+00:00,2024-01-08 19:17:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49990.0
362920,362921,362921,362921,closed,timeout,18777.25,18772.5,18777.0,18772.75,18785.25,18765.25,4.75,4.25,3.75,75.0,10.0,0.5,1.0,1.0,0.25,2024-01-09 20:23:00+00:00,2024-01-09 20:23:00+00:00,2024-01-09 20:24:00+00:00,2024-01-09 20:24:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,50065.0
365626,365627,365627,365627,closed,timeout,18917.0,18916.25,18916.75,18916.5,18925.0,18905.0,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,3.5,2024-01-11 19:59:00+00:00,2024-01-11 19:59:00+00:00,2024-01-11 20:00:00+00:00,2024-01-11 20:00:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,50060.0
370841,370842,370842,370842,closed,timeout,18755.75,18758.5,18755.5,18758.75,18763.75,18743.75,-2.75,-3.25,-3.75,-75.0,10.0,0.5,1.0,1.0,3.75,2024-01-17 19:39:00+00:00,2024-01-17 19:39:00+00:00,2024-01-17 19:40:00+00:00,2024-01-17 19:40:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49985.0
370917,370918,370918,370918,closed,stop,18812.75,18820.75,18812.5,18821.0,18820.75,18800.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,9.25,2024-01-17 20:55:00+00:00,2024-01-17 20:55:00+00:00,2024-01-17 20:56:00+00:00,2024-01-17 20:56:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49805.0
372173,372174,372174,372174,closed,timeout,18971.75,18971.75,18971.5,18972.0,18979.75,18959.75,-0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,3.5,2024-01-18 19:06:00+00:00,2024-01-18 19:06:00+00:00,2024-01-18 19:07:00+00:00,2024-01-18 19:07:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49785.0
372188,372189,372189,372189,closed,timeout,18996.5,19001.25,18996.25,19001.5,19004.5,18984.5,-4.75,-5.25,-5.75,-115.0,10.0,0.5,1.0,1.0,6.0,2024-01-18 19:21:00+00:00,2024-01-18 19:21:00+00:00,2024-01-18 19:22:00+00:00,2024-01-18 19:22:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49670.0
372280,372281,372281,372281,closed,timeout,19059.5,19058.25,19059.25,19058.5,19067.5,19047.5,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,1.5,2024-01-18 20:53:00+00:00,2024-01-18 20:53:00+00:00,2024-01-18 20:54:00+00:00,2024-01-18 20:54:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49675.0
373533,373534,373534,373534,closed,timeout,19334.25,19334.75,19334.0,19335.0,19342.25,19322.25,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,2.5,2024-01-19 19:01:00+00:00,2024-01-19 19:01:00+00:00,2024-01-19 19:02:00+00:00,2024-01-19 19:02:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49645.0
373541,373542,373542,373542,closed,timeout,19354.25,19352.5,19354.0,19352.75,19362.25,19342.25,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.75,2024-01-19 19:09:00+00:00,2024-01-19 19:09:00+00:00,2024-01-19 19:10:00+00:00,2024-01-19 19:10:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49660.0
374930,374931,374931,374931,closed,timeout,19408.0,19403.0,19407.75,19403.25,19416.0,19396.0,5.0,4.5,4.0,80.0,10.0,0.5,1.0,1.0,0.75,2024-01-22 19:33:00+00:00,2024-01-22 19:33:00+00:00,2024-01-22 19:34:00+00:00,2024-01-22 19:34:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49740.0
374987,374988,374988,374988,closed,timeout,19426.5,19424.0,19426.25,19424.25,19434.5,19414.5,2.5,2.0,1.5,30.0,10.0,0.5,1.0,1.0,2.75,2024-01-22 20:30:00+00:00,2024-01-22 20:30:00+00:00,2024-01-22 20:31:00+00:00,2024-01-22 20:31:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49770.0
376338,376339,376339,376339,closed,timeout,19458.0,19449.25,19457.75,19449.5,19466.0,19446.0,8.75,8.25,7.75,155.0,10.0,0.5,1.0,1.0,0.25,2024-01-23 20:16:00+00:00,2024-01-23 20:16:00+00:00,2024-01-23 20:17:00+00:00,2024-01-23 20:17:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49925.0
379049,379050,379050,379050,closed,timeout,19541.25,19540.25,19541.0,19540.5,19549.25,19529.25,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,4.75,2024-01-25 19:57:00+00:00,2024-01-25 19:57:00+00:00,2024-01-25 19:58:00+00:00,2024-01-25 19:58:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49925.0
379054,379055,379055,379055,closed,timeout,19543.75,19546.25,19543.5,19546.5,19551.75,19531.75,-2.5,-3.0,-3.5,-70.0,10.0,0.5,1.0,1.0,3.25,2024-01-25 20:02:00+00:00,2024-01-25 20:02:00+00:00,2024-01-25 20:03:00+00:00,2024-01-25 20:03:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49855.0
379089,379090,379090,379090,closed,target,19563.75,19551.75,19563.5,19552.0,19571.75,19551.75,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,1.0,2024-01-25 20:37:00+00:00,2024-01-25 20:37:00+00:00,2024-01-25 20:38:00+00:00,2024-01-25 20:38:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,50075.0
380400,380401,380401,380401,closed,timeout,19490.75,19492.25,19490.5,19492.5,19498.75,19478.75,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,3.5,2024-01-26 19:43:00+00:00,2024-01-26 19:43:00+00:00,2024-01-26 19:44:00+00:00,2024-01-26 19:44:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,50025.0
380403,380404,380404,380404,closed,stop,19494.25,19502.25,19494.0,19502.5,19502.25,19482.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,12.5,2024-01-26 19:46:00+00:00,2024-01-26 19:46:00+00:00,2024-01-26 19:47:00+00:00,2024-01-26 19:47:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49845.0
380405,380406,380406,380406,closed,timeout,19501.25,19503.5,19501.0,19503.75,19509.25,19489.25,-2.25,-2.75,-3.25,-65.0,10.0,0.5,1.0,1.0,4.75,2024-01-26 19:48:00+00:00,2024-01-26 19:48:00+00:00,2024-01-26 19:49:00+00:00,2024-01-26 19:49:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49780.0
380407,380408,380408,380408,closed,timeout,19500.5,19504.0,19500.25,19504.25,19508.5,19488.5,-3.5,-4.0,-4.5,-90.0,10.0,0.5,1.0,1.0,5.5,2024-01-26 19:50:00+00:00,2024-01-26 19:50:00+00:00,2024-01-26 19:51:00+00:00,2024-01-26 19:51:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49690.0
381741,381742,381742,381742,closed,timeout,19558.0,19554.25,19557.75,19554.5,19566.0,19546.0,3.75,3.25,2.75,55.0,10.0,0.5,1.0,1.0,1.0,2024-01-29 19:19:00+00:00,2024-01-29 19:19:00+00:00,2024-01-29 19:20:00+00:00,2024-01-29 19:20:00+00:00,exhaustion_reversal_short_late_cca8d74f2694,-1,market,0.0,1,1,8,12,49745.0
