detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355846,355847,355847,355847,closed,target,18692.0,18688.0,18691.75,18688.25,18712.0,18688.0,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 16:13:00+00:00,2024-01-02 16:13:00+00:00,2024-01-02 16:14:00+00:00,2024-01-02 16:18:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,50060.0
357204,357205,357206,357206,closed,target,18545.75,18541.75,18545.5,18542.0,18565.75,18541.75,4.0,3.5,3.0,60.0,10.0,0.5,2.0,2.0,6.25,2024-01-03 16:06:00+00:00,2024-01-03 16:06:00+00:00,2024-01-03 16:08:00+00:00,2024-01-03 16:11:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,50120.0
357321,357322,357322,357322,closed,target,18547.25,18543.25,18547.0,18543.5,18567.25,18543.25,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.25,2024-01-03 18:03:00+00:00,2024-01-03 18:03:00+00:00,2024-01-03 18:04:00+00:00,2024-01-03 18:08:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,50180.0
358581,358582,358583,358583,closed,target,18518.25,18514.25,18518.0,18514.5,18538.25,18514.25,4.0,3.5,3.0,60.0,10.0,0.5,2.0,2.0,4.25,2024-01-04 16:18:00+00:00,2024-01-04 16:18:00+00:00,2024-01-04 16:20:00+00:00,2024-01-04 16:23:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,50240.0
358583,358584,358588,358588,closed,timeout,18514.0,18516.75,18513.75,18517.0,18534.0,18510.0,-2.75,-3.25,-3.75,-75.0,10.0,0.5,5.0,5.0,5.75,2024-01-04 16:20:00+00:00,2024-01-04 16:20:00+00:00,2024-01-04 16:25:00+00:00,2024-01-04 16:25:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,50165.0
360084,360085,360088,360088,closed,stop,18424.25,18444.25,18424.0,18444.5,18444.25,18420.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,4.0,4.0,21.5,2024-01-05 18:36:00+00:00,2024-01-05 18:36:00+00:00,2024-01-05 18:40:00+00:00,2024-01-05 18:41:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,49745.0
361355,361356,361360,361360,closed,timeout,18618.5,18633.5,18618.25,18633.75,18638.5,18614.5,-15.0,-15.5,-16.0,-320.0,10.0,0.5,5.0,5.0,18.75,2024-01-08 17:02:00+00:00,2024-01-08 17:02:00+00:00,2024-01-08 17:07:00+00:00,2024-01-08 17:07:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,49425.0
361390,361391,361395,361395,closed,timeout,18638.25,18653.25,18638.0,18653.5,18658.25,18634.25,-15.0,-15.5,-16.0,-320.0,10.0,0.5,5.0,5.0,17.25,2024-01-08 17:37:00+00:00,2024-01-08 17:37:00+00:00,2024-01-08 17:42:00+00:00,2024-01-08 17:42:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,49105.0
362665,362666,362666,362666,closed,target,18697.0,18693.0,18696.75,18693.25,18717.0,18693.0,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.0,2024-01-09 16:08:00+00:00,2024-01-09 16:08:00+00:00,2024-01-09 16:09:00+00:00,2024-01-09 16:13:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,49165.0
364069,364070,364071,364071,closed,target,18822.25,18818.25,18822.0,18818.5,18842.25,18818.25,4.0,3.5,3.0,60.0,10.0,0.5,2.0,2.0,1.5,2024-01-10 16:47:00+00:00,2024-01-10 16:47:00+00:00,2024-01-10 16:49:00+00:00,2024-01-10 16:52:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,49225.0
364100,364101,364105,364105,closed,timeout,18829.5,18830.5,18829.25,18830.75,18849.5,18825.5,-1.0,-1.5,-2.0,-40.0,10.0,0.5,5.0,5.0,6.5,2024-01-10 17:18:00+00:00,2024-01-10 17:18:00+00:00,2024-01-10 17:23:00+00:00,2024-01-10 17:23:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,49185.0
365464,365465,365465,365465,closed,target,18748.25,18744.25,18748.0,18744.5,18768.25,18744.25,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,3.5,2024-01-11 17:17:00+00:00,2024-01-11 17:17:00+00:00,2024-01-11 17:18:00+00:00,2024-01-11 17:22:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,49245.0
365494,365495,365499,365499,closed,stop,18770.5,18790.5,18770.25,18790.75,18790.5,18766.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,5.0,5.0,28.5,2024-01-11 17:47:00+00:00,2024-01-11 17:47:00+00:00,2024-01-11 17:52:00+00:00,2024-01-11 17:52:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,48825.0
365514,365515,365515,365515,closed,target,18810.0,18806.0,18809.75,18806.25,18830.0,18806.0,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.0,2024-01-11 18:07:00+00:00,2024-01-11 18:07:00+00:00,2024-01-11 18:08:00+00:00,2024-01-11 18:12:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,48885.0
366765,366766,366770,366770,closed,stop,18915.0,18935.0,18914.75,18935.25,18935.0,18911.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,5.0,5.0,20.75,2024-01-12 16:13:00+00:00,2024-01-12 16:13:00+00:00,2024-01-12 16:18:00+00:00,2024-01-12 16:18:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,48465.0
369396,369397,369398,369398,closed,target,18878.25,18874.25,18878.0,18874.5,18898.25,18874.25,4.0,3.5,3.0,60.0,10.0,0.5,2.0,2.0,3.5,2024-01-16 18:19:00+00:00,2024-01-16 18:19:00+00:00,2024-01-16 18:21:00+00:00,2024-01-16 18:24:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,48525.0
370635,370636,370636,370636,closed,target,18747.75,18743.75,18747.5,18744.0,18767.75,18743.75,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.75,2024-01-17 16:13:00+00:00,2024-01-17 16:13:00+00:00,2024-01-17 16:14:00+00:00,2024-01-17 16:18:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,48585.0
372009,372010,372010,372010,closed,target,19018.25,19014.25,19018.0,19014.5,19038.25,19014.25,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.75,2024-01-18 16:22:00+00:00,2024-01-18 16:22:00+00:00,2024-01-18 16:23:00+00:00,2024-01-18 16:27:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,48645.0
372024,372025,372028,372028,closed,target,19037.25,19033.25,19037.0,19033.5,19057.25,19033.25,4.0,3.5,3.0,60.0,10.0,0.5,4.0,4.0,6.5,2024-01-18 16:37:00+00:00,2024-01-18 16:37:00+00:00,2024-01-18 16:41:00+00:00,2024-01-18 16:42:00+00:00,exhaustion_reversal_short_midday_124e344457cb,-1,market,0.0,5,1,20,4,48705.0
