detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355776,355777,355777,355777,closed,timeout,18720.5,18720.75,18720.25,18721.0,18732.5,18688.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,8.0,2024-01-02 15:03:00+00:00,2024-01-02 15:03:00+00:00,2024-01-02 15:04:00+00:00,2024-01-02 15:04:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,49975.0
358480,358481,358481,358481,closed,timeout,18426.0,18423.75,18425.75,18424.0,18438.0,18394.0,2.25,1.75,1.25,25.0,10.0,0.5,1.0,1.0,9.5,2024-01-04 14:37:00+00:00,2024-01-04 14:37:00+00:00,2024-01-04 14:38:00+00:00,2024-01-04 14:38:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,50000.0
358556,358557,358557,358557,closed,timeout,18472.75,18468.75,18472.5,18469.0,18484.75,18440.75,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.0,2024-01-04 15:53:00+00:00,2024-01-04 15:53:00+00:00,2024-01-04 15:54:00+00:00,2024-01-04 15:54:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,50060.0
359844,359845,359845,359845,closed,timeout,18423.75,18425.75,18423.5,18426.0,18435.75,18391.75,-2.0,-2.5,-3.0,-60.0,10.0,0.5,1.0,1.0,6.5,2024-01-05 14:36:00+00:00,2024-01-05 14:36:00+00:00,2024-01-05 14:37:00+00:00,2024-01-05 14:37:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,50000.0
359847,359848,359848,359848,closed,timeout,18422.0,18405.75,18421.75,18406.0,18434.0,18390.0,16.25,15.75,15.25,305.0,10.0,0.5,1.0,1.0,5.25,2024-01-05 14:39:00+00:00,2024-01-05 14:39:00+00:00,2024-01-05 14:40:00+00:00,2024-01-05 14:40:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,50305.0
359874,359875,359875,359875,closed,stop,18477.75,18489.75,18477.5,18490.0,18489.75,18445.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,1.0,1.0,17.25,2024-01-05 15:06:00+00:00,2024-01-05 15:06:00+00:00,2024-01-05 15:07:00+00:00,2024-01-05 15:07:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,50045.0
359877,359878,359878,359878,closed,timeout,18479.75,18489.75,18479.5,18490.0,18491.75,18447.75,-10.0,-10.5,-11.0,-220.0,10.0,0.5,1.0,1.0,11.25,2024-01-05 15:09:00+00:00,2024-01-05 15:09:00+00:00,2024-01-05 15:10:00+00:00,2024-01-05 15:10:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,49825.0
359879,359880,359880,359880,closed,timeout,18484.0,18481.0,18483.75,18481.25,18496.0,18452.0,3.0,2.5,2.0,40.0,10.0,0.5,1.0,1.0,4.25,2024-01-05 15:11:00+00:00,2024-01-05 15:11:00+00:00,2024-01-05 15:12:00+00:00,2024-01-05 15:12:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,49865.0
361234,361235,361235,361235,closed,timeout,18564.5,18554.25,18564.25,18554.5,18576.5,18532.5,10.25,9.75,9.25,185.0,10.0,0.5,1.0,1.0,2.75,2024-01-08 15:01:00+00:00,2024-01-08 15:01:00+00:00,2024-01-08 15:02:00+00:00,2024-01-08 15:02:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,50050.0
362598,362599,362599,362599,closed,timeout,18642.25,18645.0,18642.0,18645.25,18654.25,18610.25,-2.75,-3.25,-3.75,-75.0,10.0,0.5,1.0,1.0,8.5,2024-01-09 15:01:00+00:00,2024-01-09 15:01:00+00:00,2024-01-09 15:02:00+00:00,2024-01-09 15:02:00+00:00,exhaustion_reversal_short_open_78d401e4f0c9,-1,market,0.0,1,1,12,32,49975.0
