detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354894,354895,354909,354909,closed,timeout,18966.75,18965.75,18967.0,18965.5,18946.75,18986.75,-1.0,-1.5,-2.0,-40.0,10.0,0.5,15.0,15.0,7.25,2024-01-02 00:21:00+00:00,2024-01-02 00:21:00+00:00,2024-01-02 00:36:00+00:00,2024-01-02 00:36:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49960.0
354963,354964,354978,354978,closed,timeout,18970.25,18956.0,18970.5,18955.75,18950.25,18990.25,-14.25,-14.75,-15.25,-305.0,10.0,0.5,15.0,15.0,18.5,2024-01-02 01:30:00+00:00,2024-01-02 01:30:00+00:00,2024-01-02 01:45:00+00:00,2024-01-02 01:45:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49655.0
355074,355075,355089,355089,closed,timeout,18947.75,18948.5,18948.0,18948.25,18927.75,18967.75,0.75,0.25,-0.25,-5.0,10.0,0.5,15.0,15.0,2.25,2024-01-02 03:21:00+00:00,2024-01-02 03:21:00+00:00,2024-01-02 03:36:00+00:00,2024-01-02 03:36:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49650.0
355107,355108,355122,355122,closed,timeout,18944.25,18946.0,18944.5,18945.75,18924.25,18964.25,1.75,1.25,0.75,15.0,10.0,0.5,15.0,15.0,0.25,2024-01-02 03:54:00+00:00,2024-01-02 03:54:00+00:00,2024-01-02 04:09:00+00:00,2024-01-02 04:09:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49665.0
355182,355183,355197,355197,closed,timeout,18949.5,18956.25,18949.75,18956.0,18929.5,18969.5,6.75,6.25,5.75,115.0,10.0,0.5,15.0,15.0,0.5,2024-01-02 05:09:00+00:00,2024-01-02 05:09:00+00:00,2024-01-02 05:24:00+00:00,2024-01-02 05:24:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49780.0
355268,355269,355283,355283,closed,timeout,18951.0,18952.5,18951.25,18952.25,18931.0,18971.0,1.5,1.0,0.5,10.0,10.0,0.5,15.0,15.0,2.75,2024-01-02 06:35:00+00:00,2024-01-02 06:35:00+00:00,2024-01-02 06:50:00+00:00,2024-01-02 06:50:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49790.0
355337,355338,355352,355352,closed,timeout,18956.5,18959.5,18956.75,18959.25,18936.5,18976.5,3.0,2.5,2.0,40.0,10.0,0.5,15.0,15.0,3.75,2024-01-02 07:44:00+00:00,2024-01-02 07:44:00+00:00,2024-01-02 07:59:00+00:00,2024-01-02 07:59:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49830.0
355414,355415,355424,355424,closed,stop,18967.75,18947.75,18968.0,18947.5,18947.75,18987.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,10.0,10.0,20.5,2024-01-02 09:01:00+00:00,2024-01-02 09:01:00+00:00,2024-01-02 09:11:00+00:00,2024-01-02 09:16:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49410.0
355430,355431,355445,355445,closed,timeout,18941.5,18944.25,18941.75,18944.0,18921.5,18961.5,2.75,2.25,1.75,35.0,10.0,0.5,15.0,15.0,2.25,2024-01-02 09:17:00+00:00,2024-01-02 09:17:00+00:00,2024-01-02 09:32:00+00:00,2024-01-02 09:32:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49445.0
355466,355467,355481,355481,closed,timeout,18933.75,18935.25,18934.0,18935.0,18913.75,18953.75,1.5,1.0,0.5,10.0,10.0,0.5,15.0,15.0,4.0,2024-01-02 09:53:00+00:00,2024-01-02 09:53:00+00:00,2024-01-02 10:08:00+00:00,2024-01-02 10:08:00+00:00,failed_break_rejection_long_all_06f60cb10658,1,market,0.0,15,1,20,20,49455.0
