detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356054,356055,356055,356055,closed,timeout,18627.75,18625.25,18628.0,18625.0,18607.75,18659.75,-2.5,-3.0,-3.5,-70.0,10.0,0.5,1.0,1.0,3.5,2024-01-02 19:41:00+00:00,2024-01-02 19:41:00+00:00,2024-01-02 19:42:00+00:00,2024-01-02 19:42:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49930.0
357379,357380,357380,357380,closed,timeout,18519.75,18520.75,18520.0,18520.5,18499.75,18551.75,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,9.25,2024-01-03 19:01:00+00:00,2024-01-03 19:01:00+00:00,2024-01-03 19:02:00+00:00,2024-01-03 19:02:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49930.0
357460,357461,357461,357461,closed,timeout,18497.25,18505.5,18497.5,18505.25,18477.25,18529.25,8.25,7.75,7.25,145.0,10.0,0.5,1.0,1.0,0.25,2024-01-03 20:22:00+00:00,2024-01-03 20:22:00+00:00,2024-01-03 20:23:00+00:00,2024-01-03 20:23:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,50075.0
357486,357487,357487,357487,closed,timeout,18490.0,18491.75,18490.25,18491.5,18470.0,18522.0,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.25,2024-01-03 20:48:00+00:00,2024-01-03 20:48:00+00:00,2024-01-03 20:49:00+00:00,2024-01-03 20:49:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,50090.0
358747,358748,358748,358748,closed,timeout,18443.5,18437.5,18443.75,18437.25,18423.5,18475.5,-6.0,-6.5,-7.0,-140.0,10.0,0.5,1.0,1.0,7.5,2024-01-04 19:04:00+00:00,2024-01-04 19:04:00+00:00,2024-01-04 19:05:00+00:00,2024-01-04 19:05:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49950.0
358749,358750,358750,358750,closed,timeout,18438.5,18437.5,18438.75,18437.25,18418.5,18470.5,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,5.5,2024-01-04 19:06:00+00:00,2024-01-04 19:06:00+00:00,2024-01-04 19:07:00+00:00,2024-01-04 19:07:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49910.0
358768,358769,358769,358769,closed,timeout,18422.75,18425.75,18423.0,18425.5,18402.75,18454.75,3.0,2.5,2.0,40.0,10.0,0.5,1.0,1.0,3.75,2024-01-04 19:25:00+00:00,2024-01-04 19:25:00+00:00,2024-01-04 19:26:00+00:00,2024-01-04 19:26:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49950.0
358855,358856,358856,358856,closed,timeout,18402.75,18391.75,18403.0,18391.5,18382.75,18434.75,-11.0,-11.5,-12.0,-240.0,10.0,0.5,1.0,1.0,11.75,2024-01-04 20:52:00+00:00,2024-01-04 20:52:00+00:00,2024-01-04 20:53:00+00:00,2024-01-04 20:53:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49710.0
358857,358858,358858,358858,closed,timeout,18392.25,18390.0,18392.5,18389.75,18372.25,18424.25,-2.25,-2.75,-3.25,-65.0,10.0,0.5,1.0,1.0,6.5,2024-01-04 20:54:00+00:00,2024-01-04 20:54:00+00:00,2024-01-04 20:55:00+00:00,2024-01-04 20:55:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49645.0
360197,360198,360198,360198,closed,timeout,18352.25,18360.25,18352.5,18360.0,18332.25,18384.25,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,0.25,2024-01-05 20:29:00+00:00,2024-01-05 20:29:00+00:00,2024-01-05 20:30:00+00:00,2024-01-05 20:30:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49785.0
361546,361547,361547,361547,closed,timeout,18716.25,18716.75,18716.5,18716.5,18696.25,18748.25,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,4.5,2024-01-08 20:13:00+00:00,2024-01-08 20:13:00+00:00,2024-01-08 20:14:00+00:00,2024-01-08 20:14:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49775.0
362853,362854,362854,362854,closed,timeout,18772.25,18767.25,18772.5,18767.0,18752.25,18804.25,-5.0,-5.5,-6.0,-120.0,10.0,0.5,1.0,1.0,13.5,2024-01-09 19:16:00+00:00,2024-01-09 19:16:00+00:00,2024-01-09 19:17:00+00:00,2024-01-09 19:17:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49655.0
362854,362855,362855,362855,closed,timeout,18767.0,18770.5,18767.25,18770.25,18747.0,18799.0,3.5,3.0,2.5,50.0,10.0,0.5,1.0,1.0,1.5,2024-01-09 19:17:00+00:00,2024-01-09 19:17:00+00:00,2024-01-09 19:18:00+00:00,2024-01-09 19:18:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49705.0
362882,362883,362883,362883,closed,timeout,18754.0,18752.5,18754.25,18752.25,18734.0,18786.0,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,2.75,2024-01-09 19:45:00+00:00,2024-01-09 19:45:00+00:00,2024-01-09 19:46:00+00:00,2024-01-09 19:46:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49655.0
362940,362941,362941,362941,closed,timeout,18745.5,18743.0,18745.75,18742.75,18725.5,18777.5,-2.5,-3.0,-3.5,-70.0,10.0,0.5,1.0,1.0,5.75,2024-01-09 20:43:00+00:00,2024-01-09 20:43:00+00:00,2024-01-09 20:44:00+00:00,2024-01-09 20:44:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49585.0
362946,362947,362947,362947,closed,timeout,18743.0,18736.0,18743.25,18735.75,18723.0,18775.0,-7.0,-7.5,-8.0,-160.0,10.0,0.5,1.0,1.0,7.75,2024-01-09 20:49:00+00:00,2024-01-09 20:49:00+00:00,2024-01-09 20:50:00+00:00,2024-01-09 20:50:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49425.0
362948,362949,362949,362949,closed,timeout,18745.75,18754.25,18746.0,18754.0,18725.75,18777.75,8.5,8.0,7.5,150.0,10.0,0.5,1.0,1.0,2.75,2024-01-09 20:51:00+00:00,2024-01-09 20:51:00+00:00,2024-01-09 20:52:00+00:00,2024-01-09 20:52:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49575.0
364278,364279,364279,364279,closed,timeout,18903.25,18908.5,18903.5,18908.25,18883.25,18935.25,5.25,4.75,4.25,85.0,10.0,0.5,1.0,1.0,3.0,2024-01-10 20:16:00+00:00,2024-01-10 20:16:00+00:00,2024-01-10 20:17:00+00:00,2024-01-10 20:17:00+00:00,failed_break_rejection_long_late_1d7be316e3d0,1,market,0.0,1,1,20,32,49660.0
