detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355999,356000,356003,356003,closed,stop,18670.25,18666.25,18670.5,18666.0,18666.25,18702.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,4.0,4.0,6.25,2024-01-02 18:46:00+00:00,2024-01-02 18:46:00+00:00,2024-01-02 18:50:00+00:00,2024-01-02 19:31:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49900.0
356011,356012,356012,356012,closed,stop,18636.75,18632.75,18637.0,18632.5,18632.75,18668.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.5,2024-01-02 18:58:00+00:00,2024-01-02 18:58:00+00:00,2024-01-02 18:59:00+00:00,2024-01-02 19:43:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49800.0
357236,357237,357238,357238,closed,stop,18523.75,18519.75,18524.0,18519.5,18519.75,18555.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,12.25,2024-01-03 16:38:00+00:00,2024-01-03 16:38:00+00:00,2024-01-03 16:40:00+00:00,2024-01-03 17:23:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49700.0
357240,357241,357257,357257,closed,stop,18505.0,18501.0,18505.25,18500.75,18501.0,18537.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,17.0,17.0,5.75,2024-01-03 16:42:00+00:00,2024-01-03 16:42:00+00:00,2024-01-03 16:59:00+00:00,2024-01-03 17:27:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49600.0
357273,357274,357274,357274,closed,stop,18498.5,18494.5,18498.75,18494.25,18494.5,18530.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.75,2024-01-03 17:15:00+00:00,2024-01-03 17:15:00+00:00,2024-01-03 17:16:00+00:00,2024-01-03 18:00:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49500.0
358627,358628,358632,358632,closed,stop,18453.5,18449.5,18453.75,18449.25,18449.5,18485.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,4.25,2024-01-04 17:04:00+00:00,2024-01-04 17:04:00+00:00,2024-01-04 17:09:00+00:00,2024-01-04 17:49:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49400.0
358641,358642,358659,358659,closed,stop,18447.25,18443.25,18447.5,18443.0,18443.25,18479.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,18.0,18.0,4.25,2024-01-04 17:18:00+00:00,2024-01-04 17:18:00+00:00,2024-01-04 17:36:00+00:00,2024-01-04 18:03:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49300.0
358736,358737,358737,358737,closed,stop,18458.5,18454.5,18458.75,18454.25,18454.5,18490.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.0,2024-01-04 18:53:00+00:00,2024-01-04 18:53:00+00:00,2024-01-04 18:54:00+00:00,2024-01-04 19:38:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49200.0
358740,358741,358743,358743,closed,stop,18448.25,18444.25,18448.5,18444.0,18444.25,18480.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,3.0,3.0,5.25,2024-01-04 18:57:00+00:00,2024-01-04 18:57:00+00:00,2024-01-04 19:00:00+00:00,2024-01-04 19:42:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49100.0
359970,359971,359971,359971,closed,stop,18461.0,18457.0,18461.25,18456.75,18457.0,18493.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.5,2024-01-05 16:42:00+00:00,2024-01-05 16:42:00+00:00,2024-01-05 16:43:00+00:00,2024-01-05 17:27:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49000.0
359973,359974,359977,359977,closed,stop,18447.5,18443.5,18447.75,18443.25,18443.5,18479.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,4.0,4.0,8.25,2024-01-05 16:45:00+00:00,2024-01-05 16:45:00+00:00,2024-01-05 16:49:00+00:00,2024-01-05 17:30:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48900.0
359978,359979,359996,359996,closed,stop,18440.25,18436.25,18440.5,18436.0,18436.25,18472.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,18.0,18.0,13.25,2024-01-05 16:50:00+00:00,2024-01-05 16:50:00+00:00,2024-01-05 17:08:00+00:00,2024-01-05 17:35:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48800.0
359999,360000,360000,360000,closed,stop,18407.25,18403.25,18407.5,18403.0,18403.25,18439.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.5,2024-01-05 17:11:00+00:00,2024-01-05 17:11:00+00:00,2024-01-05 17:12:00+00:00,2024-01-05 17:56:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48700.0
360018,360019,360019,360019,closed,stop,18398.25,18394.25,18398.5,18394.0,18394.25,18430.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.5,2024-01-05 17:30:00+00:00,2024-01-05 17:30:00+00:00,2024-01-05 17:31:00+00:00,2024-01-05 18:15:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48600.0
361306,361307,361307,361307,closed,stop,18588.0,18584.0,18588.25,18583.75,18584.0,18620.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-08 16:13:00+00:00,2024-01-08 16:13:00+00:00,2024-01-08 16:14:00+00:00,2024-01-08 16:58:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48500.0
362737,362738,362778,362778,closed,target,18759.0,18791.0,18759.25,18790.75,18755.0,18791.0,32.0,31.5,31.0,620.0,10.0,0.5,41.0,41.0,4.0,2024-01-09 17:20:00+00:00,2024-01-09 17:20:00+00:00,2024-01-09 18:01:00+00:00,2024-01-09 18:05:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49120.0
362803,362804,362808,362808,closed,stop,18775.0,18771.0,18775.25,18770.75,18771.0,18807.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,31.75,2024-01-09 18:26:00+00:00,2024-01-09 18:26:00+00:00,2024-01-09 18:31:00+00:00,2024-01-09 19:11:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49020.0
365398,365399,365399,365399,closed,stop,18783.5,18779.5,18783.75,18779.25,18779.5,18815.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.25,2024-01-11 16:11:00+00:00,2024-01-11 16:11:00+00:00,2024-01-11 16:12:00+00:00,2024-01-11 16:56:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48920.0
365428,365429,365430,365430,closed,stop,18727.0,18723.0,18727.25,18722.75,18723.0,18759.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,6.75,2024-01-11 16:41:00+00:00,2024-01-11 16:41:00+00:00,2024-01-11 16:43:00+00:00,2024-01-11 17:26:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48820.0
366792,366793,366793,366793,closed,stop,18887.75,18883.75,18888.0,18883.5,18883.75,18919.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,9.25,2024-01-12 16:40:00+00:00,2024-01-12 16:40:00+00:00,2024-01-12 16:41:00+00:00,2024-01-12 17:25:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48720.0
366810,366811,366814,366814,closed,stop,18868.25,18864.25,18868.5,18864.0,18864.25,18900.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,4.0,4.0,10.0,2024-01-12 16:58:00+00:00,2024-01-12 16:58:00+00:00,2024-01-12 17:02:00+00:00,2024-01-12 17:43:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48620.0
366814,366815,366831,366831,closed,target,18863.25,18895.25,18863.5,18895.0,18859.25,18895.25,32.0,31.5,31.0,620.0,10.0,0.5,17.0,17.0,1.5,2024-01-12 17:02:00+00:00,2024-01-12 17:02:00+00:00,2024-01-12 17:19:00+00:00,2024-01-12 17:47:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49240.0
369296,369297,369297,369297,closed,stop,18932.25,18928.25,18932.5,18928.0,18928.25,18964.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.0,2024-01-16 16:39:00+00:00,2024-01-16 16:39:00+00:00,2024-01-16 16:40:00+00:00,2024-01-16 17:24:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49140.0
369321,369322,369322,369322,closed,stop,18885.75,18881.75,18886.0,18881.5,18881.75,18917.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,18.5,2024-01-16 17:04:00+00:00,2024-01-16 17:04:00+00:00,2024-01-16 17:05:00+00:00,2024-01-16 17:49:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,49040.0
369377,369378,369378,369378,closed,stop,18838.75,18834.75,18839.0,18834.5,18834.75,18870.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.25,2024-01-16 18:00:00+00:00,2024-01-16 18:00:00+00:00,2024-01-16 18:01:00+00:00,2024-01-16 18:45:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48940.0
369435,369436,369443,369443,closed,stop,18837.25,18833.25,18837.5,18833.0,18833.25,18869.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,8.0,8.0,5.75,2024-01-16 18:58:00+00:00,2024-01-16 18:58:00+00:00,2024-01-16 19:06:00+00:00,2024-01-16 19:43:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48840.0
370689,370690,370690,370690,closed,stop,18747.0,18743.0,18747.25,18742.75,18743.0,18779.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.0,2024-01-17 17:07:00+00:00,2024-01-17 17:07:00+00:00,2024-01-17 17:08:00+00:00,2024-01-17 17:52:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48740.0
370693,370694,370705,370705,closed,stop,18746.25,18742.25,18746.5,18742.0,18742.25,18778.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,12.0,12.0,7.0,2024-01-17 17:11:00+00:00,2024-01-17 17:11:00+00:00,2024-01-17 17:23:00+00:00,2024-01-17 17:56:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48640.0
370707,370708,370709,370709,closed,stop,18736.5,18732.5,18736.75,18732.25,18732.5,18768.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,5.25,2024-01-17 17:25:00+00:00,2024-01-17 17:25:00+00:00,2024-01-17 17:27:00+00:00,2024-01-17 18:10:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48540.0
370711,370712,370713,370713,closed,stop,18728.75,18724.75,18729.0,18724.5,18724.75,18760.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,5.5,2024-01-17 17:29:00+00:00,2024-01-17 17:29:00+00:00,2024-01-17 17:31:00+00:00,2024-01-17 18:14:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48440.0
370757,370758,370758,370758,closed,stop,18727.75,18723.75,18728.0,18723.5,18723.75,18759.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,11.0,2024-01-17 18:15:00+00:00,2024-01-17 18:15:00+00:00,2024-01-17 18:16:00+00:00,2024-01-17 19:00:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48340.0
370758,370759,370759,370759,closed,stop,18725.75,18721.75,18726.0,18721.5,18721.75,18757.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.0,2024-01-17 18:16:00+00:00,2024-01-17 18:16:00+00:00,2024-01-17 18:17:00+00:00,2024-01-17 19:01:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48240.0
370775,370776,370777,370777,closed,stop,18701.25,18697.25,18701.5,18697.0,18697.25,18733.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,5.5,2024-01-17 18:33:00+00:00,2024-01-17 18:33:00+00:00,2024-01-17 18:35:00+00:00,2024-01-17 19:18:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48140.0
370786,370787,370790,370790,closed,stop,18691.25,18687.25,18691.5,18687.0,18687.25,18723.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,4.0,4.0,8.5,2024-01-17 18:44:00+00:00,2024-01-17 18:44:00+00:00,2024-01-17 18:48:00+00:00,2024-01-17 19:29:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,48040.0
372053,372054,372056,372056,closed,stop,18969.0,18965.0,18969.25,18964.75,18965.0,19001.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,3.0,3.0,15.5,2024-01-18 17:06:00+00:00,2024-01-18 17:06:00+00:00,2024-01-18 17:09:00+00:00,2024-01-18 17:51:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47940.0
372061,372062,372070,372070,closed,stop,18948.0,18944.0,18948.25,18943.75,18944.0,18980.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,9.0,9.0,4.25,2024-01-18 17:14:00+00:00,2024-01-18 17:14:00+00:00,2024-01-18 17:23:00+00:00,2024-01-18 17:59:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47840.0
372115,372116,372120,372120,closed,stop,18907.0,18903.0,18907.25,18902.75,18903.0,18939.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,9.0,2024-01-18 18:08:00+00:00,2024-01-18 18:08:00+00:00,2024-01-18 18:13:00+00:00,2024-01-18 18:53:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47740.0
372130,372131,372133,372133,closed,stop,18899.75,18895.75,18900.0,18895.5,18895.75,18931.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,3.0,3.0,7.5,2024-01-18 18:23:00+00:00,2024-01-18 18:23:00+00:00,2024-01-18 18:26:00+00:00,2024-01-18 19:08:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47640.0
373388,373389,373389,373389,closed,stop,19186.5,19182.5,19186.75,19182.25,19182.5,19218.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,9.0,2024-01-19 16:36:00+00:00,2024-01-19 16:36:00+00:00,2024-01-19 16:37:00+00:00,2024-01-19 17:21:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47540.0
373392,373393,373395,373395,closed,stop,19175.75,19171.75,19176.0,19171.5,19171.75,19207.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,3.0,3.0,6.75,2024-01-19 16:40:00+00:00,2024-01-19 16:40:00+00:00,2024-01-19 16:43:00+00:00,2024-01-19 17:25:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47440.0
374785,374786,374786,374786,closed,stop,19418.25,19414.25,19418.5,19414.0,19414.25,19450.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.25,2024-01-22 17:08:00+00:00,2024-01-22 17:08:00+00:00,2024-01-22 17:09:00+00:00,2024-01-22 17:53:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47340.0
374839,374840,374840,374840,closed,stop,19410.5,19406.5,19410.75,19406.25,19406.5,19442.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,8.75,2024-01-22 18:02:00+00:00,2024-01-22 18:02:00+00:00,2024-01-22 18:03:00+00:00,2024-01-22 18:47:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47240.0
374841,374842,374843,374843,closed,stop,19406.0,19402.0,19406.25,19401.75,19402.0,19438.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,2.0,2.0,5.25,2024-01-22 18:04:00+00:00,2024-01-22 18:04:00+00:00,2024-01-22 18:06:00+00:00,2024-01-22 18:49:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47140.0
374858,374859,374859,374859,closed,stop,19397.5,19393.5,19397.75,19393.25,19393.5,19429.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.75,2024-01-22 18:21:00+00:00,2024-01-22 18:21:00+00:00,2024-01-22 18:22:00+00:00,2024-01-22 19:06:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47040.0
376102,376103,376103,376103,closed,stop,19385.5,19381.5,19385.75,19381.25,19381.5,19417.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.0,2024-01-23 16:20:00+00:00,2024-01-23 16:20:00+00:00,2024-01-23 16:21:00+00:00,2024-01-23 17:05:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,46940.0
377461,377462,377462,377462,closed,stop,19643.0,19639.0,19643.25,19638.75,19639.0,19675.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.0,2024-01-24 16:14:00+00:00,2024-01-24 16:14:00+00:00,2024-01-24 16:15:00+00:00,2024-01-24 16:59:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,46840.0
377463,377464,377497,377497,closed,target,19635.5,19667.5,19635.75,19667.25,19631.5,19667.5,32.0,31.5,31.0,620.0,10.0,0.5,34.0,34.0,0.25,2024-01-24 16:16:00+00:00,2024-01-24 16:16:00+00:00,2024-01-24 16:50:00+00:00,2024-01-24 17:01:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47460.0
377568,377569,377569,377569,closed,stop,19717.0,19713.0,19717.25,19712.75,19713.0,19749.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,19.5,2024-01-24 18:01:00+00:00,2024-01-24 18:01:00+00:00,2024-01-24 18:02:00+00:00,2024-01-24 18:46:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47360.0
377570,377571,377571,377571,closed,stop,19704.25,19700.25,19704.5,19700.0,19700.25,19736.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-24 18:03:00+00:00,2024-01-24 18:03:00+00:00,2024-01-24 18:04:00+00:00,2024-01-24 18:48:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47260.0
377586,377587,377595,377595,closed,target,19668.5,19700.5,19668.75,19700.25,19664.5,19700.5,32.0,31.5,31.0,620.0,10.0,0.5,9.0,9.0,2.25,2024-01-24 18:19:00+00:00,2024-01-24 18:19:00+00:00,2024-01-24 18:28:00+00:00,2024-01-24 19:04:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47880.0
377613,377614,377618,377618,closed,stop,19643.75,19639.75,19644.0,19639.5,19639.75,19675.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,6.25,2024-01-24 18:46:00+00:00,2024-01-24 18:46:00+00:00,2024-01-24 18:51:00+00:00,2024-01-24 19:31:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47780.0
378877,378878,378878,378878,closed,stop,19648.25,19644.25,19648.5,19644.0,19644.25,19680.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,13.0,2024-01-25 17:05:00+00:00,2024-01-25 17:05:00+00:00,2024-01-25 17:06:00+00:00,2024-01-25 17:50:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47680.0
378881,378882,378882,378882,closed,stop,19623.75,19619.75,19624.0,19619.5,19619.75,19655.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.5,2024-01-25 17:09:00+00:00,2024-01-25 17:09:00+00:00,2024-01-25 17:10:00+00:00,2024-01-25 17:54:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47580.0
378893,378894,378894,378894,closed,stop,19616.0,19612.0,19616.25,19611.75,19612.0,19648.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.5,2024-01-25 17:21:00+00:00,2024-01-25 17:21:00+00:00,2024-01-25 17:22:00+00:00,2024-01-25 18:06:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47480.0
378908,378909,378909,378909,closed,stop,19590.5,19586.5,19590.75,19586.25,19586.5,19622.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.75,2024-01-25 17:36:00+00:00,2024-01-25 17:36:00+00:00,2024-01-25 17:37:00+00:00,2024-01-25 18:21:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47380.0
378952,378953,378957,378957,closed,stop,19561.5,19557.5,19561.75,19557.25,19557.5,19593.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,8.0,2024-01-25 18:20:00+00:00,2024-01-25 18:20:00+00:00,2024-01-25 18:25:00+00:00,2024-01-25 19:05:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47280.0
378968,378969,378969,378969,closed,stop,19551.75,19547.75,19552.0,19547.5,19547.75,19583.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.5,2024-01-25 18:36:00+00:00,2024-01-25 18:36:00+00:00,2024-01-25 18:37:00+00:00,2024-01-25 19:21:00+00:00,failed_break_rejection_long_midday_769022bc1b78,1,market,0.0,45,1,4,32,47180.0
