detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354931,354932,354934,354934,closed,timeout,18967.5,18968.25,18967.25,18968.5,18979.5,18935.5,-0.75,-1.25,-1.75,-35.0,10.0,0.5,3.0,3.0,1.75,2024-01-02 00:58:00+00:00,2024-01-02 00:58:00+00:00,2024-01-02 01:01:00+00:00,2024-01-02 01:01:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49965.0
355193,355194,355196,355196,closed,timeout,18956.0,18955.25,18955.75,18955.5,18968.0,18924.0,0.75,0.25,-0.25,-5.0,10.0,0.5,3.0,3.0,1.25,2024-01-02 05:20:00+00:00,2024-01-02 05:20:00+00:00,2024-01-02 05:23:00+00:00,2024-01-02 05:23:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49960.0
355226,355227,355229,355229,closed,timeout,18959.25,18959.25,18959.0,18959.5,18971.25,18927.25,-0.0,-0.5,-1.0,-20.0,10.0,0.5,3.0,3.0,1.0,2024-01-02 05:53:00+00:00,2024-01-02 05:53:00+00:00,2024-01-02 05:56:00+00:00,2024-01-02 05:56:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49940.0
355356,355357,355359,355359,closed,timeout,18966.75,18972.5,18966.5,18972.75,18978.75,18934.75,-5.75,-6.25,-6.75,-135.0,10.0,0.5,3.0,3.0,6.0,2024-01-02 08:03:00+00:00,2024-01-02 08:03:00+00:00,2024-01-02 08:06:00+00:00,2024-01-02 08:06:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49805.0
355378,355379,355381,355381,closed,timeout,18972.5,18973.25,18972.25,18973.5,18984.5,18940.5,-0.75,-1.25,-1.75,-35.0,10.0,0.5,3.0,3.0,2.5,2024-01-02 08:25:00+00:00,2024-01-02 08:25:00+00:00,2024-01-02 08:28:00+00:00,2024-01-02 08:28:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49770.0
355386,355387,355389,355389,closed,timeout,18977.0,18977.0,18976.75,18977.25,18989.0,18945.0,-0.0,-0.5,-1.0,-20.0,10.0,0.5,3.0,3.0,0.75,2024-01-02 08:33:00+00:00,2024-01-02 08:33:00+00:00,2024-01-02 08:36:00+00:00,2024-01-02 08:36:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49750.0
355515,355516,355518,355518,closed,timeout,18936.5,18936.0,18936.25,18936.25,18948.5,18904.5,0.5,-0.0,-0.5,-10.0,10.0,0.5,3.0,3.0,1.0,2024-01-02 10:42:00+00:00,2024-01-02 10:42:00+00:00,2024-01-02 10:45:00+00:00,2024-01-02 10:45:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49740.0
355723,355724,355726,355726,closed,timeout,18795.5,18800.5,18795.25,18800.75,18807.5,18763.5,-5.0,-5.5,-6.0,-120.0,10.0,0.5,3.0,3.0,6.0,2024-01-02 14:10:00+00:00,2024-01-02 14:10:00+00:00,2024-01-02 14:13:00+00:00,2024-01-02 14:13:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49620.0
355738,355739,355741,355741,closed,timeout,18811.5,18804.25,18811.25,18804.5,18823.5,18779.5,7.25,6.75,6.25,125.0,10.0,0.5,3.0,3.0,3.75,2024-01-02 14:25:00+00:00,2024-01-02 14:25:00+00:00,2024-01-02 14:28:00+00:00,2024-01-02 14:28:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49745.0
355854,355855,355857,355857,closed,timeout,18691.25,18692.75,18691.0,18693.0,18703.25,18659.25,-1.5,-2.0,-2.5,-50.0,10.0,0.5,3.0,3.0,10.5,2024-01-02 16:21:00+00:00,2024-01-02 16:21:00+00:00,2024-01-02 16:24:00+00:00,2024-01-02 16:24:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49695.0
356045,356046,356048,356048,closed,timeout,18639.0,18637.5,18638.75,18637.75,18651.0,18607.0,1.5,1.0,0.5,10.0,10.0,0.5,3.0,3.0,1.5,2024-01-02 19:32:00+00:00,2024-01-02 19:32:00+00:00,2024-01-02 19:35:00+00:00,2024-01-02 19:35:00+00:00,failed_break_rejection_short_all_6ef6a1fc55e2,-1,market,0.0,3,1,12,32,49705.0
