detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354931,354932,354936,354936,closed,timeout,18967.5,18973.0,18967.25,18973.25,18979.5,18935.5,-5.5,-6.0,-6.5,-130.0,10.0,0.5,5.0,5.0,6.0,2024-01-02 00:58:00+00:00,2024-01-02 00:58:00+00:00,2024-01-02 01:03:00+00:00,2024-01-02 01:03:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49870.0
355193,355194,355198,355198,closed,timeout,18956.0,18955.75,18955.75,18956.0,18968.0,18924.0,0.25,-0.25,-0.75,-15.0,10.0,0.5,5.0,5.0,1.75,2024-01-02 05:20:00+00:00,2024-01-02 05:20:00+00:00,2024-01-02 05:25:00+00:00,2024-01-02 05:25:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49855.0
355226,355227,355231,355231,closed,timeout,18959.25,18958.75,18959.0,18959.0,18971.25,18927.25,0.5,-0.0,-0.5,-10.0,10.0,0.5,5.0,5.0,1.25,2024-01-02 05:53:00+00:00,2024-01-02 05:53:00+00:00,2024-01-02 05:58:00+00:00,2024-01-02 05:58:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49845.0
355356,355357,355361,355361,closed,timeout,18966.75,18965.75,18966.5,18966.0,18978.75,18934.75,1.0,0.5,0.0,0.0,10.0,0.5,5.0,5.0,6.5,2024-01-02 08:03:00+00:00,2024-01-02 08:03:00+00:00,2024-01-02 08:08:00+00:00,2024-01-02 08:08:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49845.0
355378,355379,355383,355383,closed,timeout,18972.5,18974.0,18972.25,18974.25,18984.5,18940.5,-1.5,-2.0,-2.5,-50.0,10.0,0.5,5.0,5.0,3.5,2024-01-02 08:25:00+00:00,2024-01-02 08:25:00+00:00,2024-01-02 08:30:00+00:00,2024-01-02 08:30:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49795.0
355386,355387,355391,355391,closed,timeout,18977.0,18975.25,18976.75,18975.5,18989.0,18945.0,1.75,1.25,0.75,15.0,10.0,0.5,5.0,5.0,0.75,2024-01-02 08:33:00+00:00,2024-01-02 08:33:00+00:00,2024-01-02 08:38:00+00:00,2024-01-02 08:38:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49810.0
355515,355516,355520,355520,closed,timeout,18936.5,18932.75,18936.25,18933.0,18948.5,18904.5,3.75,3.25,2.75,55.0,10.0,0.5,5.0,5.0,1.0,2024-01-02 10:42:00+00:00,2024-01-02 10:42:00+00:00,2024-01-02 10:47:00+00:00,2024-01-02 10:47:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49865.0
355723,355724,355728,355728,closed,timeout,18795.5,18802.5,18795.25,18802.75,18807.5,18763.5,-7.0,-7.5,-8.0,-160.0,10.0,0.5,5.0,5.0,11.75,2024-01-02 14:10:00+00:00,2024-01-02 14:10:00+00:00,2024-01-02 14:15:00+00:00,2024-01-02 14:15:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49705.0
355738,355739,355743,355743,closed,timeout,18811.5,18803.25,18811.25,18803.5,18823.5,18779.5,8.25,7.75,7.25,145.0,10.0,0.5,5.0,5.0,3.75,2024-01-02 14:25:00+00:00,2024-01-02 14:25:00+00:00,2024-01-02 14:30:00+00:00,2024-01-02 14:30:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49850.0
355854,355855,355859,355859,closed,timeout,18691.25,18692.25,18691.0,18692.5,18703.25,18659.25,-1.0,-1.5,-2.0,-40.0,10.0,0.5,5.0,5.0,10.5,2024-01-02 16:21:00+00:00,2024-01-02 16:21:00+00:00,2024-01-02 16:26:00+00:00,2024-01-02 16:26:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49810.0
356045,356046,356050,356050,closed,timeout,18639.0,18634.0,18638.75,18634.25,18651.0,18607.0,5.0,4.5,4.0,80.0,10.0,0.5,5.0,5.0,1.5,2024-01-02 19:32:00+00:00,2024-01-02 19:32:00+00:00,2024-01-02 19:37:00+00:00,2024-01-02 19:37:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49890.0
356239,356240,356244,356244,closed,timeout,18666.0,18665.0,18665.75,18665.25,18678.0,18634.0,1.0,0.5,0.0,0.0,10.0,0.5,5.0,5.0,0.75,2024-01-03 00:01:00+00:00,2024-01-03 00:01:00+00:00,2024-01-03 00:06:00+00:00,2024-01-03 00:06:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49890.0
356267,356268,356272,356272,closed,timeout,18668.75,18667.5,18668.5,18667.75,18680.75,18636.75,1.25,0.75,0.25,5.0,10.0,0.5,5.0,5.0,0.25,2024-01-03 00:29:00+00:00,2024-01-03 00:29:00+00:00,2024-01-03 00:34:00+00:00,2024-01-03 00:34:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49895.0
356352,356353,356357,356357,closed,timeout,18655.5,18653.25,18655.25,18653.5,18667.5,18623.5,2.25,1.75,1.25,25.0,10.0,0.5,5.0,5.0,3.5,2024-01-03 01:54:00+00:00,2024-01-03 01:54:00+00:00,2024-01-03 01:59:00+00:00,2024-01-03 01:59:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49920.0
356425,356426,356430,356430,closed,timeout,18648.0,18649.75,18647.75,18650.0,18660.0,18616.0,-1.75,-2.25,-2.75,-55.0,10.0,0.5,5.0,5.0,2.75,2024-01-03 03:07:00+00:00,2024-01-03 03:07:00+00:00,2024-01-03 03:12:00+00:00,2024-01-03 03:12:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49865.0
356572,356573,356577,356577,closed,timeout,18645.0,18644.75,18644.75,18645.0,18657.0,18613.0,0.25,-0.25,-0.75,-15.0,10.0,0.5,5.0,5.0,0.75,2024-01-03 05:34:00+00:00,2024-01-03 05:34:00+00:00,2024-01-03 05:39:00+00:00,2024-01-03 05:39:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49850.0
356626,356627,356631,356631,closed,timeout,18653.25,18654.0,18653.0,18654.25,18665.25,18621.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,5.0,5.0,2.0,2024-01-03 06:28:00+00:00,2024-01-03 06:28:00+00:00,2024-01-03 06:33:00+00:00,2024-01-03 06:33:00+00:00,failed_break_rejection_short_all_e8100f4509d9,-1,market,0.0,5,1,12,32,49815.0
