detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355854,355855,355855,355855,closed,timeout,18691.25,18693.75,18691.0,18694.0,18703.25,18687.25,-2.5,-3.0,-3.5,-70.0,10.0,0.5,1.0,1.0,8.5,2024-01-02 16:21:00+00:00,2024-01-02 16:21:00+00:00,2024-01-02 16:22:00+00:00,2024-01-02 16:22:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,49930.0
357201,357202,357202,357202,closed,target,18554.25,18550.25,18554.0,18550.5,18566.25,18550.25,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,3.0,2024-01-03 16:03:00+00:00,2024-01-03 16:03:00+00:00,2024-01-03 16:04:00+00:00,2024-01-03 16:04:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,49990.0
357294,357295,357295,357295,closed,timeout,18525.25,18522.5,18525.0,18522.75,18537.25,18521.25,2.75,2.25,1.75,35.0,10.0,0.5,1.0,1.0,2.25,2024-01-03 17:36:00+00:00,2024-01-03 17:36:00+00:00,2024-01-03 17:37:00+00:00,2024-01-03 17:37:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,50025.0
357301,357302,357302,357302,closed,target,18527.5,18523.5,18527.25,18523.75,18539.5,18523.5,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.0,2024-01-03 17:43:00+00:00,2024-01-03 17:43:00+00:00,2024-01-03 17:44:00+00:00,2024-01-03 17:44:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,50085.0
357319,357320,357320,357320,closed,stop,18545.25,18557.25,18545.0,18557.5,18557.25,18541.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,1.0,1.0,15.75,2024-01-03 18:01:00+00:00,2024-01-03 18:01:00+00:00,2024-01-03 18:02:00+00:00,2024-01-03 18:02:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,49825.0
358576,358577,358577,358577,closed,timeout,18500.0,18508.0,18499.75,18508.25,18512.0,18496.0,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,9.0,2024-01-04 16:13:00+00:00,2024-01-04 16:13:00+00:00,2024-01-04 16:14:00+00:00,2024-01-04 16:14:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,49645.0
358579,358580,358580,358580,closed,timeout,18514.0,18520.75,18513.75,18521.0,18526.0,18510.0,-6.75,-7.25,-7.75,-155.0,10.0,0.5,1.0,1.0,8.75,2024-01-04 16:16:00+00:00,2024-01-04 16:16:00+00:00,2024-01-04 16:17:00+00:00,2024-01-04 16:17:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,49490.0
361355,361356,361356,361356,closed,timeout,18618.5,18624.75,18618.25,18625.0,18630.5,18614.5,-6.25,-6.75,-7.25,-145.0,10.0,0.5,1.0,1.0,10.5,2024-01-08 17:02:00+00:00,2024-01-08 17:02:00+00:00,2024-01-08 17:03:00+00:00,2024-01-08 17:03:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,49345.0
361408,361409,361409,361409,closed,timeout,18657.75,18656.5,18657.5,18656.75,18669.75,18653.75,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,0.75,2024-01-08 17:55:00+00:00,2024-01-08 17:55:00+00:00,2024-01-08 17:56:00+00:00,2024-01-08 17:56:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,49350.0
361472,361473,361473,361473,closed,timeout,18677.0,18682.75,18676.75,18683.0,18689.0,18673.0,-5.75,-6.25,-6.75,-135.0,10.0,0.5,1.0,1.0,7.25,2024-01-08 18:59:00+00:00,2024-01-08 18:59:00+00:00,2024-01-08 19:00:00+00:00,2024-01-08 19:00:00+00:00,failed_break_rejection_short_midday_2e6e62e3c344,-1,market,0.0,1,1,12,4,49215.0
