detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354914,354915,354959,354959,closed,timeout,18968.25,18973.5,18968.5,18973.25,18948.25,18988.25,5.25,4.75,4.25,85.0,10.0,0.5,45.0,45.0,3.5,2024-01-02 00:41:00+00:00,2024-01-02 00:41:00+00:00,2024-01-02 01:26:00+00:00,2024-01-02 01:26:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,50085.0
355067,355068,355112,355112,closed,timeout,18953.5,18948.0,18953.75,18947.75,18933.5,18973.5,-5.5,-6.0,-6.5,-130.0,10.0,0.5,45.0,45.0,10.25,2024-01-02 03:14:00+00:00,2024-01-02 03:14:00+00:00,2024-01-02 03:59:00+00:00,2024-01-02 03:59:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,49955.0
355126,355127,355171,355171,closed,timeout,18949.0,18949.0,18949.25,18948.75,18929.0,18969.0,0.0,-0.5,-1.0,-20.0,10.0,0.5,45.0,45.0,2.5,2024-01-02 04:13:00+00:00,2024-01-02 04:13:00+00:00,2024-01-02 04:58:00+00:00,2024-01-02 04:58:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,49935.0
355187,355188,355232,355232,closed,timeout,18955.75,18959.0,18956.0,18958.75,18935.75,18975.75,3.25,2.75,2.25,45.0,10.0,0.5,45.0,45.0,2.25,2024-01-02 05:14:00+00:00,2024-01-02 05:14:00+00:00,2024-01-02 05:59:00+00:00,2024-01-02 05:59:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,49980.0
355306,355307,355351,355351,closed,timeout,18959.5,18960.0,18959.75,18959.75,18939.5,18979.5,0.5,0.0,-0.5,-10.0,10.0,0.5,45.0,45.0,6.75,2024-01-02 07:13:00+00:00,2024-01-02 07:13:00+00:00,2024-01-02 07:58:00+00:00,2024-01-02 07:58:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,49970.0
355355,355356,355400,355400,closed,timeout,18967.25,18971.0,18967.5,18970.75,18947.25,18987.25,3.75,3.25,2.75,55.0,10.0,0.5,45.0,45.0,3.75,2024-01-02 08:02:00+00:00,2024-01-02 08:02:00+00:00,2024-01-02 08:47:00+00:00,2024-01-02 08:47:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,50025.0
355514,355515,355531,355531,closed,stop,18937.25,18917.25,18937.5,18917.0,18917.25,18957.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,17.0,17.0,22.5,2024-01-02 10:41:00+00:00,2024-01-02 10:41:00+00:00,2024-01-02 10:58:00+00:00,2024-01-02 11:26:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,49605.0
355685,355686,355726,355726,closed,target,18780.5,18800.5,18780.75,18800.25,18760.5,18800.5,20.0,19.5,19.0,380.0,10.0,0.5,41.0,41.0,8.25,2024-01-02 13:32:00+00:00,2024-01-02 13:32:00+00:00,2024-01-02 14:13:00+00:00,2024-01-02 14:17:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,49985.0
355727,355728,355744,355744,closed,stop,18803.25,18783.25,18803.5,18783.0,18783.25,18823.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,17.0,17.0,21.5,2024-01-02 14:14:00+00:00,2024-01-02 14:14:00+00:00,2024-01-02 14:31:00+00:00,2024-01-02 14:59:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,49565.0
355838,355839,355845,355845,closed,target,18671.5,18691.5,18671.75,18691.25,18651.5,18691.5,20.0,19.5,19.0,380.0,10.0,0.5,7.0,7.0,13.5,2024-01-02 16:05:00+00:00,2024-01-02 16:05:00+00:00,2024-01-02 16:12:00+00:00,2024-01-02 16:50:00+00:00,momentum_long_all_154773c30397,1,market,0.0,45,1,20,20,49945.0
