detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354914,354915,354959,354959,closed,timeout,18968.25,18973.5,18968.5,18973.25,18948.25,19000.25,5.25,4.75,4.25,85.0,10.0,0.5,45.0,45.0,3.5,2024-01-02 00:41:00+00:00,2024-01-02 00:41:00+00:00,2024-01-02 01:26:00+00:00,2024-01-02 01:26:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,50085.0
355067,355068,355112,355112,closed,timeout,18953.5,18948.0,18953.75,18947.75,18933.5,18985.5,-5.5,-6.0,-6.5,-130.0,10.0,0.5,45.0,45.0,10.25,2024-01-02 03:14:00+00:00,2024-01-02 03:14:00+00:00,2024-01-02 03:59:00+00:00,2024-01-02 03:59:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49955.0
355126,355127,355171,355171,closed,timeout,18949.0,18949.0,18949.25,18948.75,18929.0,18981.0,0.0,-0.5,-1.0,-20.0,10.0,0.5,45.0,45.0,2.5,2024-01-02 04:13:00+00:00,2024-01-02 04:13:00+00:00,2024-01-02 04:58:00+00:00,2024-01-02 04:58:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49935.0
355187,355188,355232,355232,closed,timeout,18955.75,18959.0,18956.0,18958.75,18935.75,18987.75,3.25,2.75,2.25,45.0,10.0,0.5,45.0,45.0,2.25,2024-01-02 05:14:00+00:00,2024-01-02 05:14:00+00:00,2024-01-02 05:59:00+00:00,2024-01-02 05:59:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49980.0
355306,355307,355351,355351,closed,timeout,18959.5,18960.0,18959.75,18959.75,18939.5,18991.5,0.5,0.0,-0.5,-10.0,10.0,0.5,45.0,45.0,6.75,2024-01-02 07:13:00+00:00,2024-01-02 07:13:00+00:00,2024-01-02 07:58:00+00:00,2024-01-02 07:58:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49970.0
355355,355356,355400,355400,closed,timeout,18967.25,18971.0,18967.5,18970.75,18947.25,18999.25,3.75,3.25,2.75,55.0,10.0,0.5,45.0,45.0,3.75,2024-01-02 08:02:00+00:00,2024-01-02 08:02:00+00:00,2024-01-02 08:47:00+00:00,2024-01-02 08:47:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,50025.0
355514,355515,355531,355531,closed,stop,18937.25,18917.25,18937.5,18917.0,18917.25,18969.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,17.0,17.0,22.5,2024-01-02 10:41:00+00:00,2024-01-02 10:41:00+00:00,2024-01-02 10:58:00+00:00,2024-01-02 11:26:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49605.0
355685,355686,355730,355730,closed,timeout,18780.5,18803.25,18780.75,18803.0,18760.5,18812.5,22.75,22.25,21.75,435.0,10.0,0.5,45.0,45.0,8.25,2024-01-02 13:32:00+00:00,2024-01-02 13:32:00+00:00,2024-01-02 14:17:00+00:00,2024-01-02 14:17:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,50040.0
355730,355731,355744,355744,closed,stop,18803.0,18783.0,18803.25,18782.75,18783.0,18835.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,14.0,14.0,21.25,2024-01-02 14:17:00+00:00,2024-01-02 14:17:00+00:00,2024-01-02 14:31:00+00:00,2024-01-02 15:02:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49620.0
355838,355839,355864,355864,closed,target,18671.5,18703.5,18671.75,18703.25,18651.5,18703.5,32.0,31.5,31.0,620.0,10.0,0.5,26.0,26.0,13.5,2024-01-02 16:05:00+00:00,2024-01-02 16:05:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 16:50:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,50240.0
355864,355865,355909,355909,closed,timeout,18707.75,18717.0,18708.0,18716.75,18687.75,18739.75,9.25,8.75,8.25,165.0,10.0,0.5,45.0,45.0,7.25,2024-01-02 16:31:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 17:16:00+00:00,2024-01-02 17:16:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,50405.0
355934,355935,355940,355940,closed,stop,18725.5,18705.5,18725.75,18705.25,18705.5,18757.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,20.25,2024-01-02 17:41:00+00:00,2024-01-02 17:41:00+00:00,2024-01-02 17:47:00+00:00,2024-01-02 18:26:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49985.0
355974,355975,356007,356007,closed,stop,18669.5,18649.5,18669.75,18649.25,18649.5,18701.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,33.0,33.0,21.25,2024-01-02 18:21:00+00:00,2024-01-02 18:21:00+00:00,2024-01-02 18:54:00+00:00,2024-01-02 19:06:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49565.0
356043,356044,356063,356063,closed,stop,18639.75,18619.75,18640.0,18619.5,18619.75,18671.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,20.0,20.0,20.25,2024-01-02 19:30:00+00:00,2024-01-02 19:30:00+00:00,2024-01-02 19:50:00+00:00,2024-01-02 20:15:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,49145.0
356254,356255,356299,356299,closed,timeout,18668.75,18659.25,18669.0,18659.0,18648.75,18700.75,-9.5,-10.0,-10.5,-210.0,10.0,0.5,45.0,45.0,12.75,2024-01-03 00:16:00+00:00,2024-01-03 00:16:00+00:00,2024-01-03 01:01:00+00:00,2024-01-03 01:01:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48935.0
356354,356355,356399,356399,closed,timeout,18657.25,18645.75,18657.5,18645.5,18637.25,18689.25,-11.5,-12.0,-12.5,-250.0,10.0,0.5,45.0,45.0,16.25,2024-01-03 01:56:00+00:00,2024-01-03 01:56:00+00:00,2024-01-03 02:41:00+00:00,2024-01-03 02:41:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48685.0
356424,356425,356469,356469,closed,timeout,18648.5,18646.25,18648.75,18646.0,18628.5,18680.5,-2.25,-2.75,-3.25,-65.0,10.0,0.5,45.0,45.0,6.0,2024-01-03 03:06:00+00:00,2024-01-03 03:06:00+00:00,2024-01-03 03:51:00+00:00,2024-01-03 03:51:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48620.0
356557,356558,356602,356602,closed,timeout,18639.5,18647.25,18639.75,18647.0,18619.5,18671.5,7.75,7.25,6.75,135.0,10.0,0.5,45.0,45.0,5.75,2024-01-03 05:19:00+00:00,2024-01-03 05:19:00+00:00,2024-01-03 06:04:00+00:00,2024-01-03 06:04:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48755.0
356617,356618,356662,356662,closed,timeout,18648.25,18650.5,18648.5,18650.25,18628.25,18680.25,2.25,1.75,1.25,25.0,10.0,0.5,45.0,45.0,1.5,2024-01-03 06:19:00+00:00,2024-01-03 06:19:00+00:00,2024-01-03 07:04:00+00:00,2024-01-03 07:04:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48780.0
356715,356716,356760,356760,closed,timeout,18654.0,18642.75,18654.25,18642.5,18634.0,18686.0,-11.25,-11.75,-12.25,-245.0,10.0,0.5,45.0,45.0,12.5,2024-01-03 07:57:00+00:00,2024-01-03 07:57:00+00:00,2024-01-03 08:42:00+00:00,2024-01-03 08:42:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48535.0
356804,356805,356821,356821,closed,stop,18619.75,18599.75,18620.0,18599.5,18599.75,18651.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,17.0,17.0,22.5,2024-01-03 09:26:00+00:00,2024-01-03 09:26:00+00:00,2024-01-03 09:43:00+00:00,2024-01-03 10:11:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48115.0
356873,356874,356918,356918,closed,timeout,18606.0,18599.25,18606.25,18599.0,18586.0,18638.0,-6.75,-7.25,-7.75,-155.0,10.0,0.5,45.0,45.0,11.25,2024-01-03 10:35:00+00:00,2024-01-03 10:35:00+00:00,2024-01-03 11:20:00+00:00,2024-01-03 11:20:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47960.0
357035,357036,357080,357080,closed,timeout,18562.5,18565.5,18562.75,18565.25,18542.5,18594.5,3.0,2.5,2.0,40.0,10.0,0.5,45.0,45.0,6.75,2024-01-03 13:17:00+00:00,2024-01-03 13:17:00+00:00,2024-01-03 14:02:00+00:00,2024-01-03 14:02:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48000.0
357197,357198,357238,357238,closed,stop,18532.0,18512.0,18532.25,18511.75,18512.0,18564.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,41.0,41.0,20.5,2024-01-03 15:59:00+00:00,2024-01-03 15:59:00+00:00,2024-01-03 16:40:00+00:00,2024-01-03 16:44:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47580.0
357287,357288,357319,357319,closed,target,18515.5,18547.5,18515.75,18547.25,18495.5,18547.5,32.0,31.5,31.0,620.0,10.0,0.5,32.0,32.0,3.75,2024-01-03 17:29:00+00:00,2024-01-03 17:29:00+00:00,2024-01-03 18:01:00+00:00,2024-01-03 18:14:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,48200.0
357319,357320,357350,357350,closed,stop,18545.25,18525.25,18545.5,18525.0,18525.25,18577.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,31.0,31.0,21.5,2024-01-03 18:01:00+00:00,2024-01-03 18:01:00+00:00,2024-01-03 18:32:00+00:00,2024-01-03 18:46:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47780.0
357405,357406,357438,357438,closed,stop,18550.75,18530.75,18551.0,18530.5,18530.75,18582.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,33.0,33.0,21.75,2024-01-03 19:27:00+00:00,2024-01-03 19:27:00+00:00,2024-01-03 20:00:00+00:00,2024-01-03 20:12:00+00:00,momentum_long_all_9302dbd39778,1,market,0.0,45,1,20,32,47360.0
