detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356043,356044,356044,356044,closed,timeout,18639.75,18643.75,18640.0,18643.5,18635.75,18671.75,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 19:30:00+00:00,2024-01-02 19:30:00+00:00,2024-01-02 19:31:00+00:00,2024-01-02 19:31:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50060.0
356044,356045,356045,356045,closed,stop,18643.25,18639.25,18643.5,18639.0,18639.25,18675.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.0,2024-01-02 19:31:00+00:00,2024-01-02 19:31:00+00:00,2024-01-02 19:32:00+00:00,2024-01-02 19:32:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49960.0
356105,356106,356106,356106,closed,stop,18598.25,18594.25,18598.5,18594.0,18594.25,18630.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.5,2024-01-02 20:32:00+00:00,2024-01-02 20:32:00+00:00,2024-01-02 20:33:00+00:00,2024-01-02 20:33:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49860.0
356106,356107,356107,356107,closed,timeout,18599.25,18597.75,18599.5,18597.5,18595.25,18631.25,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,4.0,2024-01-02 20:33:00+00:00,2024-01-02 20:33:00+00:00,2024-01-02 20:34:00+00:00,2024-01-02 20:34:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49810.0
356107,356108,356108,356108,closed,stop,18598.0,18594.0,18598.25,18593.75,18594.0,18630.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,8.25,2024-01-02 20:34:00+00:00,2024-01-02 20:34:00+00:00,2024-01-02 20:35:00+00:00,2024-01-02 20:35:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49710.0
356121,356122,356122,356122,closed,timeout,18600.75,18604.0,18601.0,18603.75,18596.75,18632.75,3.25,2.75,2.25,45.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 20:48:00+00:00,2024-01-02 20:48:00+00:00,2024-01-02 20:49:00+00:00,2024-01-02 20:49:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49755.0
356122,356123,356123,356123,closed,timeout,18604.25,18606.25,18604.5,18606.0,18600.25,18636.25,2.0,1.5,1.0,20.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 20:49:00+00:00,2024-01-02 20:49:00+00:00,2024-01-02 20:50:00+00:00,2024-01-02 20:50:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49775.0
356123,356124,356124,356124,closed,timeout,18607.0,18632.25,18607.25,18632.0,18603.0,18639.0,25.25,24.75,24.25,485.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 20:50:00+00:00,2024-01-02 20:50:00+00:00,2024-01-02 20:51:00+00:00,2024-01-02 20:51:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50260.0
356124,356125,356125,356125,closed,stop,18632.75,18628.75,18633.0,18628.5,18628.75,18664.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.25,2024-01-02 20:51:00+00:00,2024-01-02 20:51:00+00:00,2024-01-02 20:52:00+00:00,2024-01-02 20:52:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50160.0
356125,356126,356126,356126,closed,stop,18636.5,18632.5,18636.75,18632.25,18632.5,18668.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.75,2024-01-02 20:52:00+00:00,2024-01-02 20:52:00+00:00,2024-01-02 20:53:00+00:00,2024-01-02 20:53:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50060.0
356126,356127,356127,356127,closed,timeout,18633.25,18637.0,18633.5,18636.75,18629.25,18665.25,3.75,3.25,2.75,55.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 20:53:00+00:00,2024-01-02 20:53:00+00:00,2024-01-02 20:54:00+00:00,2024-01-02 20:54:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50115.0
356127,356128,356128,356128,closed,stop,18637.0,18633.0,18637.25,18632.75,18633.0,18669.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.25,2024-01-02 20:54:00+00:00,2024-01-02 20:54:00+00:00,2024-01-02 20:55:00+00:00,2024-01-02 20:55:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50015.0
356128,356129,356129,356129,closed,timeout,18636.5,18645.75,18636.75,18645.5,18632.5,18668.5,9.25,8.75,8.25,165.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 20:55:00+00:00,2024-01-02 20:55:00+00:00,2024-01-02 20:56:00+00:00,2024-01-02 20:56:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50180.0
356129,356130,356130,356130,closed,timeout,18645.75,18653.75,18646.0,18653.5,18641.75,18677.75,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 20:56:00+00:00,2024-01-02 20:56:00+00:00,2024-01-02 20:57:00+00:00,2024-01-02 20:57:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50320.0
356130,356131,356131,356131,closed,timeout,18653.75,18658.0,18654.0,18657.75,18649.75,18685.75,4.25,3.75,3.25,65.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 20:57:00+00:00,2024-01-02 20:57:00+00:00,2024-01-02 20:58:00+00:00,2024-01-02 20:58:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50385.0
356131,356132,356132,356132,closed,timeout,18658.25,18665.0,18658.5,18664.75,18654.25,18690.25,6.75,6.25,5.75,115.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 20:58:00+00:00,2024-01-02 20:58:00+00:00,2024-01-02 20:59:00+00:00,2024-01-02 20:59:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50500.0
356132,356133,356133,356133,closed,stop,18665.25,18661.25,18665.5,18661.0,18661.25,18697.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,11.0,2024-01-02 20:59:00+00:00,2024-01-02 20:59:00+00:00,2024-01-02 21:00:00+00:00,2024-01-02 21:00:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50400.0
357405,357406,357406,357406,closed,timeout,18550.75,18556.25,18551.0,18556.0,18546.75,18582.75,5.5,5.0,4.5,90.0,10.0,0.5,1.0,1.0,3.25,2024-01-03 19:27:00+00:00,2024-01-03 19:27:00+00:00,2024-01-03 19:28:00+00:00,2024-01-03 19:28:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50490.0
357406,357407,357407,357407,closed,timeout,18556.0,18562.5,18556.25,18562.25,18552.0,18588.0,6.5,6.0,5.5,110.0,10.0,0.5,1.0,1.0,3.0,2024-01-03 19:28:00+00:00,2024-01-03 19:28:00+00:00,2024-01-03 19:29:00+00:00,2024-01-03 19:29:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50600.0
357407,357408,357408,357408,closed,stop,18562.75,18558.75,18563.0,18558.5,18558.75,18594.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,9.75,2024-01-03 19:29:00+00:00,2024-01-03 19:29:00+00:00,2024-01-03 19:30:00+00:00,2024-01-03 19:30:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50500.0
357408,357409,357409,357409,closed,timeout,18559.5,18566.25,18559.75,18566.0,18555.5,18591.5,6.75,6.25,5.75,115.0,10.0,0.5,1.0,1.0,0.25,2024-01-03 19:30:00+00:00,2024-01-03 19:30:00+00:00,2024-01-03 19:31:00+00:00,2024-01-03 19:31:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50615.0
357409,357410,357410,357410,closed,stop,18565.75,18561.75,18566.0,18561.5,18561.75,18597.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.0,2024-01-03 19:31:00+00:00,2024-01-03 19:31:00+00:00,2024-01-03 19:32:00+00:00,2024-01-03 19:32:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50515.0
357410,357411,357411,357411,closed,stop,18564.5,18560.5,18564.75,18560.25,18560.5,18596.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,20.25,2024-01-03 19:32:00+00:00,2024-01-03 19:32:00+00:00,2024-01-03 19:33:00+00:00,2024-01-03 19:33:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50415.0
357473,357474,357474,357474,closed,timeout,18516.5,18514.5,18516.75,18514.25,18512.5,18548.5,-2.0,-2.5,-3.0,-60.0,10.0,0.5,1.0,1.0,3.25,2024-01-03 20:35:00+00:00,2024-01-03 20:35:00+00:00,2024-01-03 20:36:00+00:00,2024-01-03 20:36:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50355.0
357474,357475,357475,357475,closed,stop,18514.75,18510.75,18515.0,18510.5,18510.75,18546.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.75,2024-01-03 20:36:00+00:00,2024-01-03 20:36:00+00:00,2024-01-03 20:37:00+00:00,2024-01-03 20:37:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50255.0
358812,358813,358813,358813,closed,timeout,18446.5,18449.0,18446.75,18448.75,18442.5,18478.5,2.5,2.0,1.5,30.0,10.0,0.5,1.0,1.0,2.25,2024-01-04 20:09:00+00:00,2024-01-04 20:09:00+00:00,2024-01-04 20:10:00+00:00,2024-01-04 20:10:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50285.0
358813,358814,358814,358814,closed,stop,18449.0,18445.0,18449.25,18444.75,18445.0,18481.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.75,2024-01-04 20:10:00+00:00,2024-01-04 20:10:00+00:00,2024-01-04 20:11:00+00:00,2024-01-04 20:11:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50185.0
358814,358815,358815,358815,closed,stop,18449.0,18445.0,18449.25,18444.75,18445.0,18481.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,11.25,2024-01-04 20:11:00+00:00,2024-01-04 20:11:00+00:00,2024-01-04 20:12:00+00:00,2024-01-04 20:12:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50085.0
360119,360120,360120,360120,closed,stop,18449.25,18445.25,18449.5,18445.0,18445.25,18481.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,9.5,2024-01-05 19:11:00+00:00,2024-01-05 19:11:00+00:00,2024-01-05 19:12:00+00:00,2024-01-05 19:12:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49985.0
360211,360212,360212,360212,closed,timeout,18371.5,18375.25,18371.75,18375.0,18367.5,18403.5,3.75,3.25,2.75,55.0,10.0,0.5,1.0,1.0,1.5,2024-01-05 20:43:00+00:00,2024-01-05 20:43:00+00:00,2024-01-05 20:44:00+00:00,2024-01-05 20:44:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50040.0
360213,360214,360214,360214,closed,timeout,18384.75,18392.0,18385.0,18391.75,18380.75,18416.75,7.25,6.75,6.25,125.0,10.0,0.5,1.0,1.0,0.75,2024-01-05 20:45:00+00:00,2024-01-05 20:45:00+00:00,2024-01-05 20:46:00+00:00,2024-01-05 20:46:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50165.0
360214,360215,360215,360215,closed,stop,18392.0,18388.0,18392.25,18387.75,18388.0,18424.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,11.0,2024-01-05 20:46:00+00:00,2024-01-05 20:46:00+00:00,2024-01-05 20:47:00+00:00,2024-01-05 20:47:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,50065.0
360218,360219,360219,360219,closed,stop,18394.75,18390.75,18395.0,18390.5,18390.75,18426.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.25,2024-01-05 20:50:00+00:00,2024-01-05 20:50:00+00:00,2024-01-05 20:51:00+00:00,2024-01-05 20:51:00+00:00,momentum_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49965.0
