detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355838,355839,355840,355840,closed,stop,18671.5,18659.5,18671.75,18659.25,18659.5,18703.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,13.5,2024-01-02 16:05:00+00:00,2024-01-02 16:05:00+00:00,2024-01-02 16:07:00+00:00,2024-01-02 16:50:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,49740.0
355842,355843,355864,355864,closed,target,18671.5,18703.5,18671.75,18703.25,18659.5,18703.5,32.0,31.5,31.0,620.0,10.0,0.5,22.0,22.0,2.0,2024-01-02 16:09:00+00:00,2024-01-02 16:09:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 16:54:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50360.0
355864,355865,355909,355909,closed,timeout,18707.75,18717.0,18708.0,18716.75,18695.75,18739.75,9.25,8.75,8.25,165.0,10.0,0.5,45.0,45.0,7.25,2024-01-02 16:31:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 17:16:00+00:00,2024-01-02 17:16:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50525.0
355934,355935,355939,355939,closed,stop,18725.5,18713.5,18725.75,18713.25,18713.5,18757.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,5.0,5.0,16.75,2024-01-02 17:41:00+00:00,2024-01-02 17:41:00+00:00,2024-01-02 17:46:00+00:00,2024-01-02 18:26:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50265.0
355974,355975,356004,356004,closed,stop,18669.5,18657.5,18669.75,18657.25,18657.5,18701.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,30.0,30.0,13.75,2024-01-02 18:21:00+00:00,2024-01-02 18:21:00+00:00,2024-01-02 18:51:00+00:00,2024-01-02 19:06:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50005.0
357198,357199,357227,357227,closed,stop,18536.75,18524.75,18537.0,18524.5,18524.75,18568.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,29.0,29.0,12.25,2024-01-03 16:00:00+00:00,2024-01-03 16:00:00+00:00,2024-01-03 16:29:00+00:00,2024-01-03 16:45:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,49745.0
357287,357288,357319,357319,closed,target,18515.5,18547.5,18515.75,18547.25,18503.5,18547.5,32.0,31.5,31.0,620.0,10.0,0.5,32.0,32.0,3.75,2024-01-03 17:29:00+00:00,2024-01-03 17:29:00+00:00,2024-01-03 18:01:00+00:00,2024-01-03 18:14:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50365.0
357319,357320,357339,357339,closed,stop,18545.25,18533.25,18545.5,18533.0,18533.25,18577.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,20.0,20.0,16.5,2024-01-03 18:01:00+00:00,2024-01-03 18:01:00+00:00,2024-01-03 18:21:00+00:00,2024-01-03 18:46:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50105.0
358576,358577,358595,358595,closed,stop,18500.0,18488.0,18500.25,18487.75,18488.0,18532.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,19.0,19.0,13.5,2024-01-04 16:13:00+00:00,2024-01-04 16:13:00+00:00,2024-01-04 16:32:00+00:00,2024-01-04 16:58:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,49845.0
360078,360079,360088,360088,closed,target,18412.25,18444.25,18412.5,18444.0,18400.25,18444.25,32.0,31.5,31.0,620.0,10.0,0.5,10.0,10.0,0.75,2024-01-05 18:30:00+00:00,2024-01-05 18:30:00+00:00,2024-01-05 18:40:00+00:00,2024-01-05 19:15:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50465.0
361332,361333,361334,361334,closed,stop,18609.0,18597.0,18609.25,18596.75,18597.0,18641.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,16.5,2024-01-08 16:39:00+00:00,2024-01-08 16:39:00+00:00,2024-01-08 16:41:00+00:00,2024-01-08 17:24:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50205.0
361353,361354,361395,361395,closed,target,18618.75,18650.75,18619.0,18650.5,18606.75,18650.75,32.0,31.5,31.0,620.0,10.0,0.5,42.0,42.0,3.25,2024-01-08 17:00:00+00:00,2024-01-08 17:00:00+00:00,2024-01-08 17:42:00+00:00,2024-01-08 17:45:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50825.0
361395,361396,361440,361440,closed,timeout,18653.25,18658.75,18653.5,18658.5,18641.25,18685.25,5.5,5.0,4.5,90.0,10.0,0.5,45.0,45.0,10.5,2024-01-08 17:42:00+00:00,2024-01-08 17:42:00+00:00,2024-01-08 18:27:00+00:00,2024-01-08 18:27:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,50915.0
361461,361462,361506,361506,closed,target,18673.5,18705.5,18673.75,18705.25,18661.5,18705.5,32.0,31.5,31.0,620.0,10.0,0.5,45.0,45.0,6.75,2024-01-08 18:48:00+00:00,2024-01-08 18:48:00+00:00,2024-01-08 19:33:00+00:00,2024-01-08 19:33:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,51535.0
362674,362675,362711,362711,closed,target,18721.0,18753.0,18721.25,18752.75,18709.0,18753.0,32.0,31.5,31.0,620.0,10.0,0.5,37.0,37.0,9.75,2024-01-09 16:17:00+00:00,2024-01-09 16:17:00+00:00,2024-01-09 16:54:00+00:00,2024-01-09 17:02:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,52155.0
362711,362712,362756,362756,closed,timeout,18751.25,18765.75,18751.5,18765.5,18739.25,18783.25,14.5,14.0,13.5,270.0,10.0,0.5,45.0,45.0,1.0,2024-01-09 16:54:00+00:00,2024-01-09 16:54:00+00:00,2024-01-09 17:39:00+00:00,2024-01-09 17:39:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,52425.0
362771,362772,362803,362803,closed,stop,18785.75,18773.75,18786.0,18773.5,18773.75,18817.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,32.0,32.0,16.75,2024-01-09 17:54:00+00:00,2024-01-09 17:54:00+00:00,2024-01-09 18:26:00+00:00,2024-01-09 18:39:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,52165.0
362828,362829,362853,362853,closed,stop,18779.25,18767.25,18779.5,18767.0,18767.25,18811.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,25.0,25.0,18.0,2024-01-09 18:51:00+00:00,2024-01-09 18:51:00+00:00,2024-01-09 19:16:00+00:00,2024-01-09 19:36:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,51905.0
364066,364067,364074,364074,closed,stop,18821.5,18809.5,18821.75,18809.25,18809.5,18853.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,8.0,8.0,18.0,2024-01-10 16:44:00+00:00,2024-01-10 16:44:00+00:00,2024-01-10 16:52:00+00:00,2024-01-10 17:29:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,51645.0
364097,364098,364109,364109,closed,stop,18833.75,18821.75,18834.0,18821.5,18821.75,18865.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,12.0,12.0,12.75,2024-01-10 17:15:00+00:00,2024-01-10 17:15:00+00:00,2024-01-10 17:27:00+00:00,2024-01-10 18:00:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,51385.0
364121,364122,364147,364147,closed,target,18839.0,18871.0,18839.25,18870.75,18827.0,18871.0,32.0,31.5,31.0,620.0,10.0,0.5,26.0,26.0,5.75,2024-01-10 17:39:00+00:00,2024-01-10 17:39:00+00:00,2024-01-10 18:05:00+00:00,2024-01-10 18:24:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,52005.0
364175,364176,364216,364216,closed,target,18858.5,18890.5,18858.75,18890.25,18846.5,18890.5,32.0,31.5,31.0,620.0,10.0,0.5,41.0,41.0,10.5,2024-01-10 18:33:00+00:00,2024-01-10 18:33:00+00:00,2024-01-10 19:14:00+00:00,2024-01-10 19:18:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,52625.0
365451,365452,365489,365489,closed,target,18732.75,18764.75,18733.0,18764.5,18720.75,18764.75,32.0,31.5,31.0,620.0,10.0,0.5,38.0,38.0,9.25,2024-01-11 17:04:00+00:00,2024-01-11 17:04:00+00:00,2024-01-11 17:42:00+00:00,2024-01-11 17:49:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,53245.0
365489,365490,365499,365499,closed,target,18763.75,18795.75,18764.0,18795.5,18751.75,18795.75,32.0,31.5,31.0,620.0,10.0,0.5,10.0,10.0,0.75,2024-01-11 17:42:00+00:00,2024-01-11 17:42:00+00:00,2024-01-11 17:52:00+00:00,2024-01-11 18:27:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,53865.0
365499,365500,365502,365502,closed,stop,18796.75,18784.75,18797.0,18784.5,18784.75,18828.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,13.5,2024-01-11 17:52:00+00:00,2024-01-11 17:52:00+00:00,2024-01-11 17:55:00+00:00,2024-01-11 18:37:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,53605.0
365514,365515,365516,365516,closed,stop,18810.0,18798.0,18810.25,18797.75,18798.0,18842.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,12.75,2024-01-11 18:07:00+00:00,2024-01-11 18:07:00+00:00,2024-01-11 18:09:00+00:00,2024-01-11 18:52:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,53345.0
365525,365526,365527,365527,closed,stop,18833.0,18821.0,18833.25,18820.75,18821.0,18865.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,13.75,2024-01-11 18:18:00+00:00,2024-01-11 18:18:00+00:00,2024-01-11 18:20:00+00:00,2024-01-11 19:03:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,53085.0
365564,365565,365576,365576,closed,stop,18873.25,18861.25,18873.5,18861.0,18861.25,18905.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,12.0,12.0,16.75,2024-01-11 18:57:00+00:00,2024-01-11 18:57:00+00:00,2024-01-11 19:09:00+00:00,2024-01-11 19:42:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,52825.0
366761,366762,366790,366790,closed,stop,18914.75,18902.75,18915.0,18902.5,18902.75,18946.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,29.0,29.0,38.5,2024-01-12 16:09:00+00:00,2024-01-12 16:09:00+00:00,2024-01-12 16:38:00+00:00,2024-01-12 16:54:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,52565.0
366831,366832,366838,366838,closed,stop,18892.0,18880.0,18892.25,18879.75,18880.0,18924.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,7.0,7.0,22.25,2024-01-12 17:19:00+00:00,2024-01-12 17:19:00+00:00,2024-01-12 17:26:00+00:00,2024-01-12 18:04:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,52305.0
366868,366869,366871,366871,closed,stop,18904.25,18892.25,18904.5,18892.0,18892.25,18936.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,18.75,2024-01-12 17:56:00+00:00,2024-01-12 17:56:00+00:00,2024-01-12 17:59:00+00:00,2024-01-12 18:41:00+00:00,momentum_long_midday_314f2fdb68b7,1,market,0.0,45,1,12,32,52045.0
