detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355838,355839,355864,355864,closed,target,18671.5,18703.5,18671.75,18703.25,18651.5,18703.5,32.0,31.5,31.0,620.0,10.0,0.5,26.0,26.0,13.5,2024-01-02 16:05:00+00:00,2024-01-02 16:05:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 16:50:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50620.0
355864,355865,355909,355909,closed,timeout,18707.75,18717.0,18708.0,18716.75,18687.75,18739.75,9.25,8.75,8.25,165.0,10.0,0.5,45.0,45.0,7.25,2024-01-02 16:31:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 17:16:00+00:00,2024-01-02 17:16:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50785.0
355934,355935,355940,355940,closed,stop,18725.5,18705.5,18725.75,18705.25,18705.5,18757.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,20.25,2024-01-02 17:41:00+00:00,2024-01-02 17:41:00+00:00,2024-01-02 17:47:00+00:00,2024-01-02 18:26:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50365.0
355974,355975,356007,356007,closed,stop,18669.5,18649.5,18669.75,18649.25,18649.5,18701.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,33.0,33.0,21.25,2024-01-02 18:21:00+00:00,2024-01-02 18:21:00+00:00,2024-01-02 18:54:00+00:00,2024-01-02 19:06:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,49945.0
357198,357199,357238,357238,closed,stop,18536.75,18516.75,18537.0,18516.5,18516.75,18568.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,40.0,40.0,25.25,2024-01-03 16:00:00+00:00,2024-01-03 16:00:00+00:00,2024-01-03 16:40:00+00:00,2024-01-03 16:45:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,49525.0
357287,357288,357319,357319,closed,target,18515.5,18547.5,18515.75,18547.25,18495.5,18547.5,32.0,31.5,31.0,620.0,10.0,0.5,32.0,32.0,3.75,2024-01-03 17:29:00+00:00,2024-01-03 17:29:00+00:00,2024-01-03 18:01:00+00:00,2024-01-03 18:14:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50145.0
357319,357320,357350,357350,closed,stop,18545.25,18525.25,18545.5,18525.0,18525.25,18577.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,31.0,31.0,21.5,2024-01-03 18:01:00+00:00,2024-01-03 18:01:00+00:00,2024-01-03 18:32:00+00:00,2024-01-03 18:46:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,49725.0
358576,358577,358614,358614,closed,stop,18500.0,18480.0,18500.25,18479.75,18480.0,18532.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,38.0,38.0,30.25,2024-01-04 16:13:00+00:00,2024-01-04 16:13:00+00:00,2024-01-04 16:51:00+00:00,2024-01-04 16:58:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,49305.0
360078,360079,360088,360088,closed,target,18412.25,18444.25,18412.5,18444.0,18392.25,18444.25,32.0,31.5,31.0,620.0,10.0,0.5,10.0,10.0,0.75,2024-01-05 18:30:00+00:00,2024-01-05 18:30:00+00:00,2024-01-05 18:40:00+00:00,2024-01-05 19:15:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,49925.0
361332,361333,361377,361377,closed,timeout,18609.0,18617.75,18609.25,18617.5,18589.0,18641.0,8.75,8.25,7.75,155.0,10.0,0.5,45.0,45.0,18.25,2024-01-08 16:39:00+00:00,2024-01-08 16:39:00+00:00,2024-01-08 17:24:00+00:00,2024-01-08 17:24:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50080.0
361388,361389,361433,361433,closed,timeout,18639.0,18654.75,18639.25,18654.5,18619.0,18671.0,15.75,15.25,14.75,295.0,10.0,0.5,45.0,45.0,2.75,2024-01-08 17:35:00+00:00,2024-01-08 17:35:00+00:00,2024-01-08 18:20:00+00:00,2024-01-08 18:20:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50375.0
361461,361462,361506,361506,closed,target,18673.5,18705.5,18673.75,18705.25,18653.5,18705.5,32.0,31.5,31.0,620.0,10.0,0.5,45.0,45.0,6.75,2024-01-08 18:48:00+00:00,2024-01-08 18:48:00+00:00,2024-01-08 19:33:00+00:00,2024-01-08 19:33:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50995.0
362674,362675,362711,362711,closed,target,18721.0,18753.0,18721.25,18752.75,18701.0,18753.0,32.0,31.5,31.0,620.0,10.0,0.5,37.0,37.0,9.75,2024-01-09 16:17:00+00:00,2024-01-09 16:17:00+00:00,2024-01-09 16:54:00+00:00,2024-01-09 17:02:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,51615.0
362711,362712,362756,362756,closed,timeout,18751.25,18765.75,18751.5,18765.5,18731.25,18783.25,14.5,14.0,13.5,270.0,10.0,0.5,45.0,45.0,1.0,2024-01-09 16:54:00+00:00,2024-01-09 16:54:00+00:00,2024-01-09 17:39:00+00:00,2024-01-09 17:39:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,51885.0
362771,362772,362808,362808,closed,stop,18785.75,18765.75,18786.0,18765.5,18765.75,18817.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,37.0,37.0,42.5,2024-01-09 17:54:00+00:00,2024-01-09 17:54:00+00:00,2024-01-09 18:31:00+00:00,2024-01-09 18:39:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,51465.0
362828,362829,362854,362854,closed,stop,18779.25,18759.25,18779.5,18759.0,18759.25,18811.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,26.0,26.0,20.5,2024-01-09 18:51:00+00:00,2024-01-09 18:51:00+00:00,2024-01-09 19:17:00+00:00,2024-01-09 19:36:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,51045.0
364066,364067,364075,364075,closed,stop,18821.5,18801.5,18821.75,18801.25,18801.5,18853.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,9.0,9.0,21.75,2024-01-10 16:44:00+00:00,2024-01-10 16:44:00+00:00,2024-01-10 16:53:00+00:00,2024-01-10 17:29:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50625.0
364097,364098,364142,364142,closed,timeout,18833.75,18852.0,18834.0,18851.75,18813.75,18865.75,18.25,17.75,17.25,345.0,10.0,0.5,45.0,45.0,12.75,2024-01-10 17:15:00+00:00,2024-01-10 17:15:00+00:00,2024-01-10 18:00:00+00:00,2024-01-10 18:00:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,50970.0
364175,364176,364216,364216,closed,target,18858.5,18890.5,18858.75,18890.25,18838.5,18890.5,32.0,31.5,31.0,620.0,10.0,0.5,41.0,41.0,10.5,2024-01-10 18:33:00+00:00,2024-01-10 18:33:00+00:00,2024-01-10 19:14:00+00:00,2024-01-10 19:18:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,51590.0
365451,365452,365489,365489,closed,target,18732.75,18764.75,18733.0,18764.5,18712.75,18764.75,32.0,31.5,31.0,620.0,10.0,0.5,38.0,38.0,9.25,2024-01-11 17:04:00+00:00,2024-01-11 17:04:00+00:00,2024-01-11 17:42:00+00:00,2024-01-11 17:49:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,52210.0
365489,365490,365499,365499,closed,target,18763.75,18795.75,18764.0,18795.5,18743.75,18795.75,32.0,31.5,31.0,620.0,10.0,0.5,10.0,10.0,0.75,2024-01-11 17:42:00+00:00,2024-01-11 17:42:00+00:00,2024-01-11 17:52:00+00:00,2024-01-11 18:27:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,52830.0
365499,365500,365505,365505,closed,stop,18796.75,18776.75,18797.0,18776.5,18776.75,18828.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,24.0,2024-01-11 17:52:00+00:00,2024-01-11 17:52:00+00:00,2024-01-11 17:58:00+00:00,2024-01-11 18:37:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,52410.0
365514,365515,365546,365546,closed,target,18810.0,18842.0,18810.25,18841.75,18790.0,18842.0,32.0,31.5,31.0,620.0,10.0,0.5,32.0,32.0,12.75,2024-01-11 18:07:00+00:00,2024-01-11 18:07:00+00:00,2024-01-11 18:39:00+00:00,2024-01-11 18:52:00+00:00,momentum_long_midday_9302dbd39778,1,market,0.0,45,1,20,32,53030.0
