detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
357197,357198,357199,357199,closed,target,18532.0,18544.0,18532.25,18543.75,18512.0,18544.0,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,2.75,2024-01-03 15:59:00+00:00,2024-01-03 15:59:00+00:00,2024-01-03 16:01:00+00:00,2024-01-03 16:04:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,50220.0
358512,358513,358517,358517,closed,target,18448.25,18460.25,18448.5,18460.0,18428.25,18460.25,12.0,11.5,11.0,220.0,10.0,0.5,5.0,5.0,9.0,2024-01-04 15:09:00+00:00,2024-01-04 15:09:00+00:00,2024-01-04 15:14:00+00:00,2024-01-04 15:14:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,50440.0
358521,358522,358526,358526,closed,timeout,18468.5,18454.5,18468.75,18454.25,18448.5,18480.5,-14.0,-14.5,-15.0,-300.0,10.0,0.5,5.0,5.0,18.25,2024-01-04 15:18:00+00:00,2024-01-04 15:18:00+00:00,2024-01-04 15:23:00+00:00,2024-01-04 15:23:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,50140.0
358553,358554,358558,358558,closed,timeout,18476.5,18477.25,18476.75,18477.0,18456.5,18488.5,0.75,0.25,-0.25,-5.0,10.0,0.5,5.0,5.0,11.25,2024-01-04 15:50:00+00:00,2024-01-04 15:50:00+00:00,2024-01-04 15:55:00+00:00,2024-01-04 15:55:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,50135.0
359838,359839,359839,359839,closed,target,18390.5,18402.5,18390.75,18402.25,18370.5,18402.5,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,12.0,2024-01-05 14:30:00+00:00,2024-01-05 14:30:00+00:00,2024-01-05 14:31:00+00:00,2024-01-05 14:35:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,50355.0
359839,359840,359841,359841,closed,target,18396.75,18408.75,18397.0,18408.5,18376.75,18408.75,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,11.0,2024-01-05 14:31:00+00:00,2024-01-05 14:31:00+00:00,2024-01-05 14:33:00+00:00,2024-01-05 14:36:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,50575.0
359841,359842,359842,359842,closed,target,18403.5,18415.5,18403.75,18415.25,18383.5,18415.5,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,5.25,2024-01-05 14:33:00+00:00,2024-01-05 14:33:00+00:00,2024-01-05 14:34:00+00:00,2024-01-05 14:38:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,50795.0
359842,359843,359843,359843,closed,target,18408.25,18420.25,18408.5,18420.0,18388.25,18420.25,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,3.25,2024-01-05 14:34:00+00:00,2024-01-05 14:34:00+00:00,2024-01-05 14:35:00+00:00,2024-01-05 14:39:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,51015.0
359843,359844,359848,359848,closed,stop,18427.0,18407.0,18427.25,18406.75,18407.0,18439.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,5.0,5.0,23.75,2024-01-05 14:35:00+00:00,2024-01-05 14:35:00+00:00,2024-01-05 14:40:00+00:00,2024-01-05 14:40:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,50595.0
359871,359872,359872,359872,closed,target,18474.25,18486.25,18474.5,18486.0,18454.25,18486.25,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,6.75,2024-01-05 15:03:00+00:00,2024-01-05 15:03:00+00:00,2024-01-05 15:04:00+00:00,2024-01-05 15:08:00+00:00,momentum_long_open_b15181741626,1,market,0.0,5,1,20,12,50815.0
