detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
357197,357198,357199,357199,closed,target,18532.0,18552.0,18532.25,18551.75,18512.0,18552.0,20.0,19.5,19.0,380.0,10.0,0.5,2.0,2.0,2.75,2024-01-03 15:59:00+00:00,2024-01-03 15:59:00+00:00,2024-01-03 16:01:00+00:00,2024-01-03 16:04:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50380.0
358512,358513,358517,358517,closed,timeout,18448.25,18454.75,18448.5,18454.5,18428.25,18468.25,6.5,6.0,5.5,110.0,10.0,0.5,5.0,5.0,9.0,2024-01-04 15:09:00+00:00,2024-01-04 15:09:00+00:00,2024-01-04 15:14:00+00:00,2024-01-04 15:14:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50490.0
358521,358522,358526,358526,closed,timeout,18468.5,18454.5,18468.75,18454.25,18448.5,18488.5,-14.0,-14.5,-15.0,-300.0,10.0,0.5,5.0,5.0,18.25,2024-01-04 15:18:00+00:00,2024-01-04 15:18:00+00:00,2024-01-04 15:23:00+00:00,2024-01-04 15:23:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50190.0
358553,358554,358558,358558,closed,timeout,18476.5,18477.25,18476.75,18477.0,18456.5,18496.5,0.75,0.25,-0.25,-5.0,10.0,0.5,5.0,5.0,11.25,2024-01-04 15:50:00+00:00,2024-01-04 15:50:00+00:00,2024-01-04 15:55:00+00:00,2024-01-04 15:55:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50185.0
359838,359839,359841,359841,closed,target,18390.5,18410.5,18390.75,18410.25,18370.5,18410.5,20.0,19.5,19.0,380.0,10.0,0.5,3.0,3.0,12.0,2024-01-05 14:30:00+00:00,2024-01-05 14:30:00+00:00,2024-01-05 14:33:00+00:00,2024-01-05 14:35:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50565.0
359841,359842,359843,359843,closed,target,18403.5,18423.5,18403.75,18423.25,18383.5,18423.5,20.0,19.5,19.0,380.0,10.0,0.5,2.0,2.0,5.25,2024-01-05 14:33:00+00:00,2024-01-05 14:33:00+00:00,2024-01-05 14:35:00+00:00,2024-01-05 14:38:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50945.0
359843,359844,359848,359848,closed,stop,18427.0,18407.0,18427.25,18406.75,18407.0,18447.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,5.0,5.0,23.75,2024-01-05 14:35:00+00:00,2024-01-05 14:35:00+00:00,2024-01-05 14:40:00+00:00,2024-01-05 14:40:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50525.0
359871,359872,359875,359875,closed,target,18474.25,18494.25,18474.5,18494.0,18454.25,18494.25,20.0,19.5,19.0,380.0,10.0,0.5,4.0,4.0,6.75,2024-01-05 15:03:00+00:00,2024-01-05 15:03:00+00:00,2024-01-05 15:07:00+00:00,2024-01-05 15:08:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50905.0
359875,359876,359880,359880,closed,timeout,18488.25,18481.0,18488.5,18480.75,18468.25,18508.25,-7.25,-7.75,-8.25,-165.0,10.0,0.5,5.0,5.0,11.0,2024-01-05 15:07:00+00:00,2024-01-05 15:07:00+00:00,2024-01-05 15:12:00+00:00,2024-01-05 15:12:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50740.0
359905,359906,359910,359910,closed,timeout,18503.0,18491.75,18503.25,18491.5,18483.0,18523.0,-11.25,-11.75,-12.25,-245.0,10.0,0.5,5.0,5.0,15.5,2024-01-05 15:37:00+00:00,2024-01-05 15:37:00+00:00,2024-01-05 15:42:00+00:00,2024-01-05 15:42:00+00:00,momentum_long_open_c3518efb2097,1,market,0.0,5,1,20,20,50495.0
