detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354893,354894,354894,354894,closed,timeout,18967.0,18966.75,18966.75,18967.0,18971.0,18935.0,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 00:20:00+00:00,2024-01-02 00:20:00+00:00,2024-01-02 00:21:00+00:00,2024-01-02 00:21:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49985.0
354894,354895,354895,354895,closed,timeout,18966.75,18966.0,18966.5,18966.25,18970.75,18934.75,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 00:21:00+00:00,2024-01-02 00:21:00+00:00,2024-01-02 00:22:00+00:00,2024-01-02 00:22:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49980.0
354895,354896,354896,354896,closed,timeout,18965.75,18966.25,18965.5,18966.5,18969.75,18933.75,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 00:22:00+00:00,2024-01-02 00:22:00+00:00,2024-01-02 00:23:00+00:00,2024-01-02 00:23:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49950.0
354896,354897,354897,354897,closed,timeout,18966.5,18965.25,18966.25,18965.5,18970.5,18934.5,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 00:23:00+00:00,2024-01-02 00:23:00+00:00,2024-01-02 00:24:00+00:00,2024-01-02 00:24:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49955.0
354897,354898,354898,354898,closed,timeout,18965.25,18966.5,18965.0,18966.75,18969.25,18933.25,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 00:24:00+00:00,2024-01-02 00:24:00+00:00,2024-01-02 00:25:00+00:00,2024-01-02 00:25:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49910.0
354900,354901,354901,354901,closed,timeout,18964.0,18962.25,18963.75,18962.5,18968.0,18932.0,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 00:27:00+00:00,2024-01-02 00:27:00+00:00,2024-01-02 00:28:00+00:00,2024-01-02 00:28:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49925.0
354901,354902,354902,354902,closed,timeout,18962.5,18962.0,18962.25,18962.25,18966.5,18930.5,0.5,-0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 00:28:00+00:00,2024-01-02 00:28:00+00:00,2024-01-02 00:29:00+00:00,2024-01-02 00:29:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49915.0
354902,354903,354903,354903,closed,timeout,18961.75,18961.0,18961.5,18961.25,18965.75,18929.75,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 00:29:00+00:00,2024-01-02 00:29:00+00:00,2024-01-02 00:30:00+00:00,2024-01-02 00:30:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49910.0
354903,354904,354904,354904,closed,timeout,18961.0,18960.25,18960.75,18960.5,18965.0,18929.0,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 00:30:00+00:00,2024-01-02 00:30:00+00:00,2024-01-02 00:31:00+00:00,2024-01-02 00:31:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49905.0
354904,354905,354905,354905,closed,timeout,18960.25,18960.75,18960.0,18961.0,18964.25,18928.25,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 00:31:00+00:00,2024-01-02 00:31:00+00:00,2024-01-02 00:32:00+00:00,2024-01-02 00:32:00+00:00,momentum_short_all_52f5612189e5,-1,market,0.0,1,1,4,32,49875.0
