detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356013,356014,356018,356018,closed,target,18637.75,18625.75,18637.5,18626.0,18657.75,18625.75,12.0,11.5,11.0,220.0,10.0,0.5,5.0,5.0,6.25,2024-01-02 19:00:00+00:00,2024-01-02 19:00:00+00:00,2024-01-02 19:05:00+00:00,2024-01-02 19:15:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50220.0
356018,356019,356021,356021,closed,target,18621.75,18609.75,18621.5,18610.0,18641.75,18609.75,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,4.5,2024-01-02 19:05:00+00:00,2024-01-02 19:05:00+00:00,2024-01-02 19:08:00+00:00,2024-01-02 19:20:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50440.0
356021,356022,356025,356025,closed,stop,18611.25,18631.25,18611.0,18631.5,18631.25,18599.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,4.0,4.0,22.0,2024-01-02 19:08:00+00:00,2024-01-02 19:08:00+00:00,2024-01-02 19:12:00+00:00,2024-01-02 19:23:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50020.0
356067,356068,356074,356074,closed,target,18606.75,18594.75,18606.5,18595.0,18626.75,18594.75,12.0,11.5,11.0,220.0,10.0,0.5,7.0,7.0,6.5,2024-01-02 19:54:00+00:00,2024-01-02 19:54:00+00:00,2024-01-02 20:01:00+00:00,2024-01-02 20:09:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50240.0
356074,356075,356077,356077,closed,target,18592.25,18580.25,18592.0,18580.5,18612.25,18580.25,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,5.0,2024-01-02 20:01:00+00:00,2024-01-02 20:01:00+00:00,2024-01-02 20:04:00+00:00,2024-01-02 20:16:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50460.0
356077,356078,356092,356092,closed,timeout,18574.5,18583.0,18574.25,18583.25,18594.5,18562.5,-8.5,-9.0,-9.5,-190.0,10.0,0.5,15.0,15.0,12.5,2024-01-02 20:04:00+00:00,2024-01-02 20:04:00+00:00,2024-01-02 20:19:00+00:00,2024-01-02 20:19:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50270.0
357384,357385,357385,357385,closed,stop,18477.5,18497.5,18477.25,18497.75,18497.5,18465.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,1.0,1.0,27.0,2024-01-03 19:06:00+00:00,2024-01-03 19:06:00+00:00,2024-01-03 19:07:00+00:00,2024-01-03 19:21:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,49850.0
357440,357441,357446,357446,closed,target,18518.0,18506.0,18517.75,18506.25,18538.0,18506.0,12.0,11.5,11.0,220.0,10.0,0.5,6.0,6.0,16.5,2024-01-03 20:02:00+00:00,2024-01-03 20:02:00+00:00,2024-01-03 20:08:00+00:00,2024-01-03 20:17:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50070.0
357446,357447,357447,357447,closed,target,18508.5,18496.5,18508.25,18496.75,18528.5,18496.5,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,1.5,2024-01-03 20:08:00+00:00,2024-01-03 20:08:00+00:00,2024-01-03 20:09:00+00:00,2024-01-03 20:23:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50290.0
357447,357448,357462,357462,closed,timeout,18498.25,18506.25,18498.0,18506.5,18518.25,18486.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,15.0,15.0,15.5,2024-01-03 20:09:00+00:00,2024-01-03 20:09:00+00:00,2024-01-03 20:24:00+00:00,2024-01-03 20:24:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50110.0
357489,357490,357494,357494,closed,stop,18472.5,18492.5,18472.25,18492.75,18492.5,18460.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,5.0,5.0,20.75,2024-01-03 20:51:00+00:00,2024-01-03 20:51:00+00:00,2024-01-03 20:56:00+00:00,2024-01-03 21:06:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,49690.0
358755,358756,358770,358770,closed,timeout,18429.5,18422.25,18429.25,18422.5,18449.5,18417.5,7.25,6.75,6.25,125.0,10.0,0.5,15.0,15.0,16.5,2024-01-04 19:12:00+00:00,2024-01-04 19:12:00+00:00,2024-01-04 19:27:00+00:00,2024-01-04 19:27:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,49815.0
358770,358771,358785,358785,closed,timeout,18422.25,18416.75,18422.0,18417.0,18442.25,18410.25,5.5,5.0,4.5,90.0,10.0,0.5,15.0,15.0,6.75,2024-01-04 19:27:00+00:00,2024-01-04 19:27:00+00:00,2024-01-04 19:42:00+00:00,2024-01-04 19:42:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,49905.0
358820,358821,358835,358835,closed,timeout,18420.25,18431.0,18420.0,18431.25,18440.25,18408.25,-10.75,-11.25,-11.75,-235.0,10.0,0.5,15.0,15.0,11.25,2024-01-04 20:17:00+00:00,2024-01-04 20:17:00+00:00,2024-01-04 20:32:00+00:00,2024-01-04 20:32:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,49670.0
358854,358855,358857,358857,closed,target,18399.75,18387.75,18399.5,18388.0,18419.75,18387.75,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,6.5,2024-01-04 20:51:00+00:00,2024-01-04 20:51:00+00:00,2024-01-04 20:54:00+00:00,2024-01-04 21:06:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,49890.0
358857,358858,358859,358859,closed,target,18392.25,18380.25,18392.0,18380.5,18412.25,18380.25,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,3.0,2024-01-04 20:54:00+00:00,2024-01-04 20:54:00+00:00,2024-01-04 20:56:00+00:00,2024-01-04 21:09:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50110.0
358859,358860,358874,358874,closed,timeout,18381.75,18384.75,18381.5,18385.0,18401.75,18369.75,-3.0,-3.5,-4.0,-80.0,10.0,0.5,15.0,15.0,19.25,2024-01-04 20:56:00+00:00,2024-01-04 20:56:00+00:00,2024-01-04 21:11:00+00:00,2024-01-04 21:11:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50030.0
360127,360128,360142,360142,closed,timeout,18414.75,18419.0,18414.5,18419.25,18434.75,18402.75,-4.25,-4.75,-5.25,-105.0,10.0,0.5,15.0,15.0,15.25,2024-01-05 19:19:00+00:00,2024-01-05 19:19:00+00:00,2024-01-05 19:34:00+00:00,2024-01-05 19:34:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,49925.0
360150,360151,360159,360159,closed,target,18399.75,18387.75,18399.5,18388.0,18419.75,18387.75,12.0,11.5,11.0,220.0,10.0,0.5,9.0,9.0,9.25,2024-01-05 19:42:00+00:00,2024-01-05 19:42:00+00:00,2024-01-05 19:51:00+00:00,2024-01-05 19:57:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50145.0
360159,360160,360160,360160,closed,target,18382.25,18370.25,18382.0,18370.5,18402.25,18370.25,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,1.0,2024-01-05 19:51:00+00:00,2024-01-05 19:51:00+00:00,2024-01-05 19:52:00+00:00,2024-01-05 20:06:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50365.0
360160,360161,360173,360173,closed,target,18368.25,18356.25,18368.0,18356.5,18388.25,18356.25,12.0,11.5,11.0,220.0,10.0,0.5,13.0,13.0,8.5,2024-01-05 19:52:00+00:00,2024-01-05 19:52:00+00:00,2024-01-05 20:05:00+00:00,2024-01-05 20:07:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50585.0
362851,362852,362853,362853,closed,target,18775.75,18763.75,18775.5,18764.0,18795.75,18763.75,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,5.75,2024-01-09 19:14:00+00:00,2024-01-09 19:14:00+00:00,2024-01-09 19:16:00+00:00,2024-01-09 19:29:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50805.0
362853,362854,362854,362854,closed,target,18772.25,18760.25,18772.0,18760.5,18792.25,18760.25,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,0.25,2024-01-09 19:16:00+00:00,2024-01-09 19:16:00+00:00,2024-01-09 19:17:00+00:00,2024-01-09 19:31:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,51025.0
362854,362855,362866,362866,closed,target,18767.0,18755.0,18766.75,18755.25,18787.0,18755.0,12.0,11.5,11.0,220.0,10.0,0.5,12.0,12.0,12.25,2024-01-09 19:17:00+00:00,2024-01-09 19:17:00+00:00,2024-01-09 19:29:00+00:00,2024-01-09 19:32:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,51245.0
362866,362867,362871,362871,closed,stop,18751.5,18771.5,18751.25,18771.75,18771.5,18739.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,5.0,5.0,22.25,2024-01-09 19:29:00+00:00,2024-01-09 19:29:00+00:00,2024-01-09 19:34:00+00:00,2024-01-09 19:44:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50825.0
362881,362882,362888,362888,closed,stop,18752.75,18772.75,18752.5,18773.0,18772.75,18740.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,7.0,7.0,20.5,2024-01-09 19:44:00+00:00,2024-01-09 19:44:00+00:00,2024-01-09 19:51:00+00:00,2024-01-09 19:59:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50405.0
362936,362937,362939,362939,closed,target,18756.0,18744.0,18755.75,18744.25,18776.0,18744.0,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,2.0,2024-01-09 20:39:00+00:00,2024-01-09 20:39:00+00:00,2024-01-09 20:42:00+00:00,2024-01-09 20:54:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50625.0
362939,362940,362946,362946,closed,target,18748.75,18736.75,18748.5,18737.0,18768.75,18736.75,12.0,11.5,11.0,220.0,10.0,0.5,7.0,7.0,2.0,2024-01-09 20:42:00+00:00,2024-01-09 20:42:00+00:00,2024-01-09 20:49:00+00:00,2024-01-09 20:57:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50845.0
362947,362948,362948,362948,closed,target,18736.5,18724.5,18736.25,18724.75,18756.5,18724.5,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,13.75,2024-01-09 20:50:00+00:00,2024-01-09 20:50:00+00:00,2024-01-09 20:51:00+00:00,2024-01-09 21:05:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,51065.0
364241,364242,364253,364253,closed,stop,18886.0,18906.0,18885.75,18906.25,18906.0,18874.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,12.0,12.0,22.25,2024-01-10 19:39:00+00:00,2024-01-10 19:39:00+00:00,2024-01-10 19:51:00+00:00,2024-01-10 19:54:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50645.0
364284,364285,364287,364287,closed,target,18882.0,18870.0,18881.75,18870.25,18902.0,18870.0,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,8.25,2024-01-10 20:22:00+00:00,2024-01-10 20:22:00+00:00,2024-01-10 20:25:00+00:00,2024-01-10 20:37:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50865.0
364287,364288,364289,364289,closed,stop,18870.0,18890.0,18869.75,18890.25,18890.0,18858.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,2.0,2.0,20.5,2024-01-10 20:25:00+00:00,2024-01-10 20:25:00+00:00,2024-01-10 20:27:00+00:00,2024-01-10 20:40:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50445.0
364306,364307,364312,364312,closed,target,18860.5,18848.5,18860.25,18848.75,18880.5,18848.5,12.0,11.5,11.0,220.0,10.0,0.5,6.0,6.0,12.0,2024-01-10 20:44:00+00:00,2024-01-10 20:44:00+00:00,2024-01-10 20:50:00+00:00,2024-01-10 20:59:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50665.0
364312,364313,364313,364313,closed,target,18850.0,18838.0,18849.75,18838.25,18870.0,18838.0,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,0.25,2024-01-10 20:50:00+00:00,2024-01-10 20:50:00+00:00,2024-01-10 20:51:00+00:00,2024-01-10 21:05:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50885.0
364313,364314,364317,364317,closed,stop,18843.5,18863.5,18843.25,18863.75,18863.5,18831.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,4.0,4.0,29.25,2024-01-10 20:51:00+00:00,2024-01-10 20:51:00+00:00,2024-01-10 20:55:00+00:00,2024-01-10 21:06:00+00:00,momentum_short_late_7f001f17319c,-1,market,0.0,15,1,20,12,50465.0
