detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355911,355912,355912,355912,closed,timeout,18701.25,18702.0,18701.0,18702.25,18705.25,18669.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 17:18:00+00:00,2024-01-02 17:18:00+00:00,2024-01-02 17:19:00+00:00,2024-01-02 17:19:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49965.0
355912,355913,355913,355913,closed,timeout,18701.75,18702.75,18701.5,18703.0,18705.75,18669.75,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,4.0,2024-01-02 17:19:00+00:00,2024-01-02 17:19:00+00:00,2024-01-02 17:20:00+00:00,2024-01-02 17:20:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49925.0
355913,355914,355914,355914,closed,stop,18702.5,18706.5,18702.25,18706.75,18706.5,18670.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,8.75,2024-01-02 17:20:00+00:00,2024-01-02 17:20:00+00:00,2024-01-02 17:21:00+00:00,2024-01-02 17:21:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49825.0
355942,355943,355943,355943,closed,timeout,18689.25,18692.75,18689.0,18693.0,18693.25,18657.25,-3.5,-4.0,-4.5,-90.0,10.0,0.5,1.0,1.0,4.0,2024-01-02 17:49:00+00:00,2024-01-02 17:49:00+00:00,2024-01-02 17:50:00+00:00,2024-01-02 17:50:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49735.0
355943,355944,355944,355944,closed,timeout,18692.25,18684.25,18692.0,18684.5,18696.25,18660.25,8.0,7.5,7.0,140.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 17:50:00+00:00,2024-01-02 17:50:00+00:00,2024-01-02 17:51:00+00:00,2024-01-02 17:51:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49875.0
355944,355945,355945,355945,closed,timeout,18684.5,18680.75,18684.25,18681.0,18688.5,18652.5,3.75,3.25,2.75,55.0,10.0,0.5,1.0,1.0,3.0,2024-01-02 17:51:00+00:00,2024-01-02 17:51:00+00:00,2024-01-02 17:52:00+00:00,2024-01-02 17:52:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49930.0
355945,355946,355946,355946,closed,timeout,18681.25,18680.0,18681.0,18680.25,18685.25,18649.25,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 17:52:00+00:00,2024-01-02 17:52:00+00:00,2024-01-02 17:53:00+00:00,2024-01-02 17:53:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49935.0
355946,355947,355947,355947,closed,timeout,18679.75,18677.75,18679.5,18678.0,18683.75,18647.75,2.0,1.5,1.0,20.0,10.0,0.5,1.0,1.0,3.0,2024-01-02 17:53:00+00:00,2024-01-02 17:53:00+00:00,2024-01-02 17:54:00+00:00,2024-01-02 17:54:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49955.0
355947,355948,355948,355948,closed,timeout,18677.75,18676.25,18677.5,18676.5,18681.75,18645.75,1.5,1.0,0.5,10.0,10.0,0.5,1.0,1.0,3.75,2024-01-02 17:54:00+00:00,2024-01-02 17:54:00+00:00,2024-01-02 17:55:00+00:00,2024-01-02 17:55:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49965.0
355948,355949,355949,355949,closed,timeout,18677.0,18667.75,18676.75,18668.0,18681.0,18645.0,9.25,8.75,8.25,165.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 17:55:00+00:00,2024-01-02 17:55:00+00:00,2024-01-02 17:56:00+00:00,2024-01-02 17:56:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50130.0
355949,355950,355950,355950,closed,stop,18667.5,18671.5,18667.25,18671.75,18671.5,18635.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.75,2024-01-02 17:56:00+00:00,2024-01-02 17:56:00+00:00,2024-01-02 17:57:00+00:00,2024-01-02 17:57:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50030.0
355950,355951,355951,355951,closed,timeout,18668.25,18666.25,18668.0,18666.5,18672.25,18636.25,2.0,1.5,1.0,20.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 17:57:00+00:00,2024-01-02 17:57:00+00:00,2024-01-02 17:58:00+00:00,2024-01-02 17:58:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50050.0
355951,355952,355952,355952,closed,timeout,18665.5,18660.5,18665.25,18660.75,18669.5,18633.5,5.0,4.5,4.0,80.0,10.0,0.5,1.0,1.0,2.75,2024-01-02 17:58:00+00:00,2024-01-02 17:58:00+00:00,2024-01-02 17:59:00+00:00,2024-01-02 17:59:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50130.0
355952,355953,355953,355953,closed,timeout,18660.25,18661.25,18660.0,18661.5,18664.25,18628.25,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,4.0,2024-01-02 17:59:00+00:00,2024-01-02 17:59:00+00:00,2024-01-02 18:00:00+00:00,2024-01-02 18:00:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50090.0
355953,355954,355954,355954,closed,timeout,18661.5,18659.0,18661.25,18659.25,18665.5,18629.5,2.5,2.0,1.5,30.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 18:00:00+00:00,2024-01-02 18:00:00+00:00,2024-01-02 18:01:00+00:00,2024-01-02 18:01:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50120.0
355954,355955,355955,355955,closed,stop,18659.0,18663.0,18658.75,18663.25,18663.0,18627.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-02 18:01:00+00:00,2024-01-02 18:01:00+00:00,2024-01-02 18:02:00+00:00,2024-01-02 18:02:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50020.0
355956,355957,355957,355957,closed,timeout,18655.25,18656.25,18655.0,18656.5,18659.25,18623.25,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,3.75,2024-01-02 18:03:00+00:00,2024-01-02 18:03:00+00:00,2024-01-02 18:04:00+00:00,2024-01-02 18:04:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49980.0
355960,355961,355961,355961,closed,timeout,18653.5,18654.5,18653.25,18654.75,18657.5,18621.5,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 18:07:00+00:00,2024-01-02 18:07:00+00:00,2024-01-02 18:08:00+00:00,2024-01-02 18:08:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49940.0
356007,356008,356008,356008,closed,timeout,18649.5,18648.25,18649.25,18648.5,18653.5,18617.5,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 18:54:00+00:00,2024-01-02 18:54:00+00:00,2024-01-02 18:55:00+00:00,2024-01-02 18:55:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49945.0
356008,356009,356009,356009,closed,timeout,18648.25,18646.75,18648.0,18647.0,18652.25,18616.25,1.5,1.0,0.5,10.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 18:55:00+00:00,2024-01-02 18:55:00+00:00,2024-01-02 18:56:00+00:00,2024-01-02 18:56:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49955.0
356009,356010,356010,356010,closed,timeout,18647.0,18639.5,18646.75,18639.75,18651.0,18615.0,7.5,7.0,6.5,130.0,10.0,0.5,1.0,1.0,2.75,2024-01-02 18:56:00+00:00,2024-01-02 18:56:00+00:00,2024-01-02 18:57:00+00:00,2024-01-02 18:57:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50085.0
356010,356011,356011,356011,closed,timeout,18639.5,18637.0,18639.25,18637.25,18643.5,18607.5,2.5,2.0,1.5,30.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 18:57:00+00:00,2024-01-02 18:57:00+00:00,2024-01-02 18:58:00+00:00,2024-01-02 18:58:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50115.0
356011,356012,356012,356012,closed,timeout,18636.75,18631.75,18636.5,18632.0,18640.75,18604.75,5.0,4.5,4.0,80.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 18:58:00+00:00,2024-01-02 18:58:00+00:00,2024-01-02 18:59:00+00:00,2024-01-02 18:59:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50195.0
356012,356013,356013,356013,closed,stop,18632.0,18636.0,18631.75,18636.25,18636.0,18600.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.75,2024-01-02 18:59:00+00:00,2024-01-02 18:59:00+00:00,2024-01-02 19:00:00+00:00,2024-01-02 19:00:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,50095.0
357239,357240,357240,357240,closed,stop,18504.0,18508.0,18503.75,18508.25,18508.0,18472.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.25,2024-01-03 16:41:00+00:00,2024-01-03 16:41:00+00:00,2024-01-03 16:42:00+00:00,2024-01-03 16:42:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49995.0
357240,357241,357241,357241,closed,stop,18505.0,18509.0,18504.75,18509.25,18509.0,18473.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.25,2024-01-03 16:42:00+00:00,2024-01-03 16:42:00+00:00,2024-01-03 16:43:00+00:00,2024-01-03 16:43:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49895.0
357241,357242,357242,357242,closed,stop,18509.5,18513.5,18509.25,18513.75,18513.5,18477.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-03 16:43:00+00:00,2024-01-03 16:43:00+00:00,2024-01-03 16:44:00+00:00,2024-01-03 16:44:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49795.0
357242,357243,357243,357243,closed,stop,18512.5,18516.5,18512.25,18516.75,18516.5,18480.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.75,2024-01-03 16:44:00+00:00,2024-01-03 16:44:00+00:00,2024-01-03 16:45:00+00:00,2024-01-03 16:45:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49695.0
357258,357259,357259,357259,closed,timeout,18503.75,18499.5,18503.5,18499.75,18507.75,18471.75,4.25,3.75,3.25,65.0,10.0,0.5,1.0,1.0,2.0,2024-01-03 17:00:00+00:00,2024-01-03 17:00:00+00:00,2024-01-03 17:01:00+00:00,2024-01-03 17:01:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49760.0
357354,357355,357355,357355,closed,stop,18513.75,18517.75,18513.5,18518.0,18517.75,18481.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.25,2024-01-03 18:36:00+00:00,2024-01-03 18:36:00+00:00,2024-01-03 18:37:00+00:00,2024-01-03 18:37:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49660.0
358595,358596,358596,358596,closed,stop,18489.0,18493.0,18488.75,18493.25,18493.0,18457.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,8.25,2024-01-04 16:32:00+00:00,2024-01-04 16:32:00+00:00,2024-01-04 16:33:00+00:00,2024-01-04 16:33:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49560.0
358610,358611,358611,358611,closed,stop,18487.25,18491.25,18487.0,18491.5,18491.25,18455.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-04 16:47:00+00:00,2024-01-04 16:47:00+00:00,2024-01-04 16:48:00+00:00,2024-01-04 16:48:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49460.0
358614,358615,358615,358615,closed,timeout,18480.0,18471.75,18479.75,18472.0,18484.0,18448.0,8.25,7.75,7.25,145.0,10.0,0.5,1.0,1.0,1.0,2024-01-04 16:51:00+00:00,2024-01-04 16:51:00+00:00,2024-01-04 16:52:00+00:00,2024-01-04 16:52:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49605.0
358615,358616,358616,358616,closed,timeout,18471.5,18459.5,18471.25,18459.75,18475.5,18439.5,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,2.25,2024-01-04 16:52:00+00:00,2024-01-04 16:52:00+00:00,2024-01-04 16:53:00+00:00,2024-01-04 16:53:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49825.0
358616,358617,358617,358617,closed,stop,18459.0,18463.0,18458.75,18463.25,18463.0,18427.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,8.75,2024-01-04 16:53:00+00:00,2024-01-04 16:53:00+00:00,2024-01-04 16:54:00+00:00,2024-01-04 16:54:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49725.0
358617,358618,358618,358618,closed,stop,18465.0,18469.0,18464.75,18469.25,18469.0,18433.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.25,2024-01-04 16:54:00+00:00,2024-01-04 16:54:00+00:00,2024-01-04 16:55:00+00:00,2024-01-04 16:55:00+00:00,momentum_short_midday_52f5612189e5,-1,market,0.0,1,1,4,32,49625.0
