detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355747,355748,355748,355748,closed,timeout,18789.25,18773.0,18789.0,18773.25,18793.25,18769.25,16.25,15.75,15.25,305.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 14:34:00+00:00,2024-01-02 14:34:00+00:00,2024-01-02 14:35:00+00:00,2024-01-02 14:35:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50305.0
355748,355749,355749,355749,closed,stop,18773.5,18777.5,18773.25,18777.75,18777.5,18753.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,10.25,2024-01-02 14:35:00+00:00,2024-01-02 14:35:00+00:00,2024-01-02 14:36:00+00:00,2024-01-02 14:36:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50205.0
355750,355751,355751,355751,closed,stop,18766.0,18770.0,18765.75,18770.25,18770.0,18746.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.5,2024-01-02 14:37:00+00:00,2024-01-02 14:37:00+00:00,2024-01-02 14:38:00+00:00,2024-01-02 14:38:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50105.0
355751,355752,355752,355752,closed,target,18762.0,18742.0,18761.75,18742.25,18766.0,18742.0,20.0,19.5,19.0,380.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 14:38:00+00:00,2024-01-02 14:38:00+00:00,2024-01-02 14:39:00+00:00,2024-01-02 14:39:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50485.0
355752,355753,355753,355753,closed,stop,18744.75,18748.75,18744.5,18749.0,18748.75,18724.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.5,2024-01-02 14:39:00+00:00,2024-01-02 14:39:00+00:00,2024-01-02 14:40:00+00:00,2024-01-02 14:40:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50385.0
355753,355754,355754,355754,closed,timeout,18741.75,18734.5,18741.5,18734.75,18745.75,18721.75,7.25,6.75,6.25,125.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 14:40:00+00:00,2024-01-02 14:40:00+00:00,2024-01-02 14:41:00+00:00,2024-01-02 14:41:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50510.0
355754,355755,355755,355755,closed,stop,18734.5,18738.5,18734.25,18738.75,18738.5,18714.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.25,2024-01-02 14:41:00+00:00,2024-01-02 14:41:00+00:00,2024-01-02 14:42:00+00:00,2024-01-02 14:42:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50410.0
355755,355756,355756,355756,closed,stop,18723.25,18727.25,18723.0,18727.5,18727.25,18703.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.75,2024-01-02 14:42:00+00:00,2024-01-02 14:42:00+00:00,2024-01-02 14:43:00+00:00,2024-01-02 14:43:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50310.0
355756,355757,355757,355757,closed,stop,18710.75,18714.75,18710.5,18715.0,18714.75,18690.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.75,2024-01-02 14:43:00+00:00,2024-01-02 14:43:00+00:00,2024-01-02 14:44:00+00:00,2024-01-02 14:44:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50210.0
355757,355758,355758,355758,closed,stop,18712.0,18716.0,18711.75,18716.25,18716.0,18692.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,12.5,2024-01-02 14:44:00+00:00,2024-01-02 14:44:00+00:00,2024-01-02 14:45:00+00:00,2024-01-02 14:45:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50110.0
355758,355759,355759,355759,closed,timeout,18718.5,18708.25,18718.25,18708.5,18722.5,18698.5,10.25,9.75,9.25,185.0,10.0,0.5,1.0,1.0,2.75,2024-01-02 14:45:00+00:00,2024-01-02 14:45:00+00:00,2024-01-02 14:46:00+00:00,2024-01-02 14:46:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50295.0
355759,355760,355760,355760,closed,stop,18708.25,18712.25,18708.0,18712.5,18712.25,18688.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,15.25,2024-01-02 14:46:00+00:00,2024-01-02 14:46:00+00:00,2024-01-02 14:47:00+00:00,2024-01-02 14:47:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50195.0
355762,355763,355763,355763,closed,timeout,18688.25,18678.0,18688.0,18678.25,18692.25,18668.25,10.25,9.75,9.25,185.0,10.0,0.5,1.0,1.0,2.25,2024-01-02 14:49:00+00:00,2024-01-02 14:49:00+00:00,2024-01-02 14:50:00+00:00,2024-01-02 14:50:00+00:00,momentum_short_open_207050b534f6,-1,market,0.0,1,1,4,20,50380.0
