detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354920,354921,354921,354921,closed,timeout,18967.25,18966.0,18967.5,18965.75,18959.25,18987.25,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 00:47:00+00:00,2024-01-02 00:47:00+00:00,2024-01-02 00:48:00+00:00,2024-01-02 00:48:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49955.0
354922,354923,354923,354923,closed,timeout,18966.0,18967.5,18966.25,18967.25,18958.0,18986.0,1.5,1.0,0.5,10.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 00:49:00+00:00,2024-01-02 00:49:00+00:00,2024-01-02 00:50:00+00:00,2024-01-02 00:50:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49965.0
354923,354924,354924,354924,closed,timeout,18967.75,18967.5,18968.0,18967.25,18959.75,18987.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 00:50:00+00:00,2024-01-02 00:50:00+00:00,2024-01-02 00:51:00+00:00,2024-01-02 00:51:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49940.0
354929,354930,354930,354930,closed,timeout,18967.75,18968.0,18968.0,18967.75,18959.75,18987.75,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 00:56:00+00:00,2024-01-02 00:56:00+00:00,2024-01-02 00:57:00+00:00,2024-01-02 00:57:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49925.0
354930,354931,354931,354931,closed,timeout,18968.25,18967.5,18968.5,18967.25,18960.25,18988.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 00:57:00+00:00,2024-01-02 00:57:00+00:00,2024-01-02 00:58:00+00:00,2024-01-02 00:58:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49890.0
354944,354945,354945,354945,closed,timeout,18974.75,18973.25,18975.0,18973.0,18966.75,18994.75,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 01:11:00+00:00,2024-01-02 01:11:00+00:00,2024-01-02 01:12:00+00:00,2024-01-02 01:12:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49840.0
355003,355004,355004,355004,closed,timeout,18959.5,18959.75,18959.75,18959.5,18951.5,18979.5,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 02:10:00+00:00,2024-01-02 02:10:00+00:00,2024-01-02 02:11:00+00:00,2024-01-02 02:11:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49825.0
355066,355067,355067,355067,closed,timeout,18952.75,18953.25,18953.0,18953.0,18944.75,18972.75,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 03:13:00+00:00,2024-01-02 03:13:00+00:00,2024-01-02 03:14:00+00:00,2024-01-02 03:14:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49815.0
355067,355068,355068,355068,closed,timeout,18953.5,18952.75,18953.75,18952.5,18945.5,18973.5,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 03:14:00+00:00,2024-01-02 03:14:00+00:00,2024-01-02 03:15:00+00:00,2024-01-02 03:15:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49780.0
355137,355138,355138,355138,closed,timeout,18948.25,18948.75,18948.5,18948.5,18940.25,18968.25,0.5,0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 04:24:00+00:00,2024-01-02 04:24:00+00:00,2024-01-02 04:25:00+00:00,2024-01-02 04:25:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49770.0
355138,355139,355139,355139,closed,timeout,18949.0,18949.0,18949.25,18948.75,18941.0,18969.0,0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 04:25:00+00:00,2024-01-02 04:25:00+00:00,2024-01-02 04:26:00+00:00,2024-01-02 04:26:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49750.0
355141,355142,355142,355142,closed,timeout,18948.5,18948.25,18948.75,18948.0,18940.5,18968.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 04:28:00+00:00,2024-01-02 04:28:00+00:00,2024-01-02 04:29:00+00:00,2024-01-02 04:29:00+00:00,pullback_long_all_115627c9b6a3,1,market,0.0,1,1,8,20,49725.0
