detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356051,356052,356052,356052,closed,timeout,18635.0,18631.75,18635.25,18631.5,18631.0,18667.0,-3.25,-3.75,-4.25,-85.0,10.0,0.5,1.0,1.0,3.5,2024-01-02 19:38:00+00:00,2024-01-02 19:38:00+00:00,2024-01-02 19:39:00+00:00,2024-01-02 19:39:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49915.0
356127,356128,356128,356128,closed,stop,18637.0,18633.0,18637.25,18632.75,18633.0,18669.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.25,2024-01-02 20:54:00+00:00,2024-01-02 20:54:00+00:00,2024-01-02 20:55:00+00:00,2024-01-02 20:55:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49815.0
357413,357414,357414,357414,closed,stop,18551.0,18547.0,18551.25,18546.75,18547.0,18583.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,8.25,2024-01-03 19:35:00+00:00,2024-01-03 19:35:00+00:00,2024-01-03 19:36:00+00:00,2024-01-03 19:36:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49715.0
357416,357417,357417,357417,closed,timeout,18545.75,18548.25,18546.0,18548.0,18541.75,18577.75,2.5,2.0,1.5,30.0,10.0,0.5,1.0,1.0,0.5,2024-01-03 19:38:00+00:00,2024-01-03 19:38:00+00:00,2024-01-03 19:39:00+00:00,2024-01-03 19:39:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49745.0
357478,357479,357479,357479,closed,timeout,18511.0,18512.75,18511.25,18512.5,18507.0,18543.0,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,3.75,2024-01-03 20:40:00+00:00,2024-01-03 20:40:00+00:00,2024-01-03 20:41:00+00:00,2024-01-03 20:41:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49760.0
357479,357480,357480,357480,closed,stop,18513.5,18509.5,18513.75,18509.25,18509.5,18545.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,10.5,2024-01-03 20:41:00+00:00,2024-01-03 20:41:00+00:00,2024-01-03 20:42:00+00:00,2024-01-03 20:42:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49660.0
358798,358799,358799,358799,closed,timeout,18433.25,18435.75,18433.5,18435.5,18429.25,18465.25,2.5,2.0,1.5,30.0,10.0,0.5,1.0,1.0,1.5,2024-01-04 19:55:00+00:00,2024-01-04 19:55:00+00:00,2024-01-04 19:56:00+00:00,2024-01-04 19:56:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49690.0
358804,358805,358805,358805,closed,timeout,18429.75,18431.0,18430.0,18430.75,18425.75,18461.75,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,2.5,2024-01-04 20:01:00+00:00,2024-01-04 20:01:00+00:00,2024-01-04 20:02:00+00:00,2024-01-04 20:02:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49695.0
358808,358809,358809,358809,closed,timeout,18428.25,18435.25,18428.5,18435.0,18424.25,18460.25,7.0,6.5,6.0,120.0,10.0,0.5,1.0,1.0,0.25,2024-01-04 20:05:00+00:00,2024-01-04 20:05:00+00:00,2024-01-04 20:06:00+00:00,2024-01-04 20:06:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49815.0
358840,358841,358841,358841,closed,timeout,18437.5,18436.0,18437.75,18435.75,18433.5,18469.5,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,2.75,2024-01-04 20:37:00+00:00,2024-01-04 20:37:00+00:00,2024-01-04 20:38:00+00:00,2024-01-04 20:38:00+00:00,pullback_long_late_8346db7cf1cc,1,market,0.0,1,1,4,32,49765.0
