detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355848,355849,355864,355864,closed,target,18688.75,18708.75,18689.0,18708.5,18676.75,18708.75,20.0,19.5,19.0,380.0,10.0,0.5,16.0,16.0,4.5,2024-01-02 16:15:00+00:00,2024-01-02 16:15:00+00:00,2024-01-02 16:31:00+00:00,2024-01-02 17:00:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,50380.0
355875,355876,355880,355880,closed,target,18705.75,18725.75,18706.0,18725.5,18693.75,18725.75,20.0,19.5,19.0,380.0,10.0,0.5,5.0,5.0,0.75,2024-01-02 16:42:00+00:00,2024-01-02 16:42:00+00:00,2024-01-02 16:47:00+00:00,2024-01-02 17:27:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,50760.0
355887,355888,355911,355911,closed,stop,18718.0,18706.0,18718.25,18705.75,18706.0,18738.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,24.0,24.0,23.75,2024-01-02 16:54:00+00:00,2024-01-02 16:54:00+00:00,2024-01-02 17:18:00+00:00,2024-01-02 17:39:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,50500.0
355984,355985,356003,356003,closed,stop,18676.75,18664.75,18677.0,18664.5,18664.75,18696.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,19.0,19.0,12.75,2024-01-02 18:31:00+00:00,2024-01-02 18:31:00+00:00,2024-01-02 18:50:00+00:00,2024-01-02 19:16:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,50240.0
357207,357208,357221,357221,closed,stop,18540.5,18528.5,18540.75,18528.25,18528.5,18560.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,14.0,14.0,14.25,2024-01-03 16:09:00+00:00,2024-01-03 16:09:00+00:00,2024-01-03 16:23:00+00:00,2024-01-03 16:54:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,49980.0
357291,357292,357317,357317,closed,target,18517.75,18537.75,18518.0,18537.5,18505.75,18537.75,20.0,19.5,19.0,380.0,10.0,0.5,26.0,26.0,2.75,2024-01-03 17:33:00+00:00,2024-01-03 17:33:00+00:00,2024-01-03 17:59:00+00:00,2024-01-03 18:18:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,50360.0
357318,357319,357339,357339,closed,stop,18541.5,18529.5,18541.75,18529.25,18529.5,18561.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,21.0,21.0,12.75,2024-01-03 18:00:00+00:00,2024-01-03 18:00:00+00:00,2024-01-03 18:21:00+00:00,2024-01-03 18:45:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,50100.0
357374,357375,357379,357379,closed,stop,18522.5,18510.5,18522.75,18510.25,18510.5,18542.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,5.0,5.0,20.75,2024-01-03 18:56:00+00:00,2024-01-03 18:56:00+00:00,2024-01-03 19:01:00+00:00,2024-01-03 19:41:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,49840.0
358563,358564,358573,358573,closed,target,18466.5,18486.5,18466.75,18486.25,18454.5,18486.5,20.0,19.5,19.0,380.0,10.0,0.5,10.0,10.0,0.25,2024-01-04 16:00:00+00:00,2024-01-04 16:00:00+00:00,2024-01-04 16:10:00+00:00,2024-01-04 16:45:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,50220.0
358584,358585,358593,358593,closed,stop,18518.0,18506.0,18518.25,18505.75,18506.0,18538.0,-12.0,-12.5,-13.0,-260.0,10.0,0.5,9.0,9.0,16.25,2024-01-04 16:21:00+00:00,2024-01-04 16:21:00+00:00,2024-01-04 16:30:00+00:00,2024-01-04 17:06:00+00:00,pullback_long_midday_e357dc47fc29,1,market,0.0,45,1,12,20,49960.0
