detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355744,355745,355747,355747,closed,stop,18810.75,18790.75,18811.0,18790.5,18790.75,18822.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,3.0,3.0,28.25,2024-01-02 14:31:00+00:00,2024-01-02 14:31:00+00:00,2024-01-02 14:34:00+00:00,2024-01-02 14:41:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,49580.0
355783,355784,355789,355789,closed,stop,18702.75,18682.75,18703.0,18682.5,18682.75,18714.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,6.0,6.0,25.0,2024-01-02 15:10:00+00:00,2024-01-02 15:10:00+00:00,2024-01-02 15:16:00+00:00,2024-01-02 15:20:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,49160.0
355791,355792,355800,355800,closed,stop,18691.0,18671.0,18691.25,18670.75,18671.0,18703.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,9.0,9.0,22.5,2024-01-02 15:18:00+00:00,2024-01-02 15:18:00+00:00,2024-01-02 15:27:00+00:00,2024-01-02 15:28:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,48740.0
357125,357126,357127,357127,closed,target,18568.75,18580.75,18569.0,18580.5,18548.75,18580.75,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,6.75,2024-01-03 14:47:00+00:00,2024-01-03 14:47:00+00:00,2024-01-03 14:49:00+00:00,2024-01-03 14:57:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,48960.0
357144,357145,357146,357146,closed,stop,18582.75,18562.75,18583.0,18562.5,18562.75,18594.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,2.0,2.0,25.75,2024-01-03 15:06:00+00:00,2024-01-03 15:06:00+00:00,2024-01-03 15:08:00+00:00,2024-01-03 15:16:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,48540.0
358478,358479,358479,358479,closed,target,18422.0,18434.0,18422.25,18433.75,18402.0,18434.0,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,8.25,2024-01-04 14:35:00+00:00,2024-01-04 14:35:00+00:00,2024-01-04 14:36:00+00:00,2024-01-04 14:45:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,48760.0
358483,358484,358484,358484,closed,stop,18425.0,18405.0,18425.25,18404.75,18405.0,18437.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,1.0,1.0,21.5,2024-01-04 14:40:00+00:00,2024-01-04 14:40:00+00:00,2024-01-04 14:41:00+00:00,2024-01-04 14:50:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,48340.0
358488,358489,358492,358492,closed,stop,18415.5,18395.5,18415.75,18395.25,18395.5,18427.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,4.0,4.0,24.25,2024-01-04 14:45:00+00:00,2024-01-04 14:45:00+00:00,2024-01-04 14:49:00+00:00,2024-01-04 14:55:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,47920.0
358528,358529,358538,358538,closed,timeout,18454.25,18454.25,18454.5,18454.0,18434.25,18466.25,0.0,-0.5,-1.0,-20.0,10.0,0.5,10.0,10.0,17.25,2024-01-04 15:25:00+00:00,2024-01-04 15:25:00+00:00,2024-01-04 15:35:00+00:00,2024-01-04 15:35:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,47900.0
358547,358548,358549,358549,closed,target,18457.5,18469.5,18457.75,18469.25,18437.5,18469.5,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,0.75,2024-01-04 15:44:00+00:00,2024-01-04 15:44:00+00:00,2024-01-04 15:46:00+00:00,2024-01-04 15:54:00+00:00,pullback_long_open_53c5da6a8d6f,1,market,0.0,10,1,20,12,48120.0
