detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355744,355745,355747,355747,closed,stop,18810.75,18790.75,18811.0,18790.5,18790.75,18822.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,3.0,3.0,28.25,2024-01-02 14:31:00+00:00,2024-01-02 14:31:00+00:00,2024-01-02 14:34:00+00:00,2024-01-02 14:34:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,49580.0
355783,355784,355786,355786,closed,timeout,18702.75,18706.5,18703.0,18706.25,18682.75,18714.75,3.75,3.25,2.75,55.0,10.0,0.5,3.0,3.0,13.0,2024-01-02 15:10:00+00:00,2024-01-02 15:10:00+00:00,2024-01-02 15:13:00+00:00,2024-01-02 15:13:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,49635.0
355791,355792,355794,355794,closed,timeout,18691.0,18679.5,18691.25,18679.25,18671.0,18703.0,-11.5,-12.0,-12.5,-250.0,10.0,0.5,3.0,3.0,16.25,2024-01-02 15:18:00+00:00,2024-01-02 15:18:00+00:00,2024-01-02 15:21:00+00:00,2024-01-02 15:21:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,49385.0
357125,357126,357127,357127,closed,target,18568.75,18580.75,18569.0,18580.5,18548.75,18580.75,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,6.75,2024-01-03 14:47:00+00:00,2024-01-03 14:47:00+00:00,2024-01-03 14:49:00+00:00,2024-01-03 14:50:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,49605.0
357144,357145,357146,357146,closed,stop,18582.75,18562.75,18583.0,18562.5,18562.75,18594.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,2.0,2.0,25.75,2024-01-03 15:06:00+00:00,2024-01-03 15:06:00+00:00,2024-01-03 15:08:00+00:00,2024-01-03 15:09:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,49185.0
358478,358479,358479,358479,closed,target,18422.0,18434.0,18422.25,18433.75,18402.0,18434.0,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,8.25,2024-01-04 14:35:00+00:00,2024-01-04 14:35:00+00:00,2024-01-04 14:36:00+00:00,2024-01-04 14:38:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,49405.0
358483,358484,358484,358484,closed,stop,18425.0,18405.0,18425.25,18404.75,18405.0,18437.0,-20.0,-20.5,-21.0,-420.0,10.0,0.5,1.0,1.0,21.5,2024-01-04 14:40:00+00:00,2024-01-04 14:40:00+00:00,2024-01-04 14:41:00+00:00,2024-01-04 14:43:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,48985.0
358488,358489,358491,358491,closed,timeout,18415.5,18403.5,18415.75,18403.25,18395.5,18427.5,-12.0,-12.5,-13.0,-260.0,10.0,0.5,3.0,3.0,19.5,2024-01-04 14:45:00+00:00,2024-01-04 14:45:00+00:00,2024-01-04 14:48:00+00:00,2024-01-04 14:48:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,48725.0
358528,358529,358531,358531,closed,timeout,18454.25,18446.5,18454.5,18446.25,18434.25,18466.25,-7.75,-8.25,-8.75,-175.0,10.0,0.5,3.0,3.0,17.25,2024-01-04 15:25:00+00:00,2024-01-04 15:25:00+00:00,2024-01-04 15:28:00+00:00,2024-01-04 15:28:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,48550.0
358547,358548,358549,358549,closed,target,18457.5,18469.5,18457.75,18469.25,18437.5,18469.5,12.0,11.5,11.0,220.0,10.0,0.5,2.0,2.0,0.75,2024-01-04 15:44:00+00:00,2024-01-04 15:44:00+00:00,2024-01-04 15:46:00+00:00,2024-01-04 15:47:00+00:00,pullback_long_open_7b7dd96cd520,1,market,0.0,3,1,20,12,48770.0
