detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354881,354882,354882,354882,closed,timeout,18969.75,18969.75,18969.5,18970.0,18989.75,18949.75,-0.0,-0.5,-1.0,-20.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 00:08:00+00:00,2024-01-02 00:08:00+00:00,2024-01-02 00:09:00+00:00,2024-01-02 00:09:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49980.0
354890,354891,354891,354891,closed,timeout,18968.75,18968.0,18968.5,18968.25,18988.75,18948.75,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 00:17:00+00:00,2024-01-02 00:17:00+00:00,2024-01-02 00:18:00+00:00,2024-01-02 00:18:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49975.0
354899,354900,354900,354900,closed,timeout,18966.25,18964.0,18966.0,18964.25,18986.25,18946.25,2.25,1.75,1.25,25.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 00:26:00+00:00,2024-01-02 00:26:00+00:00,2024-01-02 00:27:00+00:00,2024-01-02 00:27:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,50000.0
354965,354966,354966,354966,closed,timeout,18970.25,18971.0,18970.0,18971.25,18990.25,18950.25,-0.75,-1.25,-1.75,-35.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 01:32:00+00:00,2024-01-02 01:32:00+00:00,2024-01-02 01:33:00+00:00,2024-01-02 01:33:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49965.0
354980,354981,354981,354981,closed,timeout,18959.0,18957.5,18958.75,18957.75,18979.0,18939.0,1.5,1.0,0.5,10.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 01:47:00+00:00,2024-01-02 01:47:00+00:00,2024-01-02 01:48:00+00:00,2024-01-02 01:48:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49975.0
354981,354982,354982,354982,closed,timeout,18957.5,18956.75,18957.25,18957.0,18977.5,18937.5,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 01:48:00+00:00,2024-01-02 01:48:00+00:00,2024-01-02 01:49:00+00:00,2024-01-02 01:49:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49970.0
354982,354983,354983,354983,closed,timeout,18956.5,18955.75,18956.25,18956.0,18976.5,18936.5,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 01:49:00+00:00,2024-01-02 01:49:00+00:00,2024-01-02 01:50:00+00:00,2024-01-02 01:50:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49965.0
354983,354984,354984,354984,closed,timeout,18955.75,18955.0,18955.5,18955.25,18975.75,18935.75,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 01:50:00+00:00,2024-01-02 01:50:00+00:00,2024-01-02 01:51:00+00:00,2024-01-02 01:51:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49960.0
354986,354987,354987,354987,closed,timeout,18957.5,18958.5,18957.25,18958.75,18977.5,18937.5,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 01:53:00+00:00,2024-01-02 01:53:00+00:00,2024-01-02 01:54:00+00:00,2024-01-02 01:54:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49920.0
354990,354991,354991,354991,closed,timeout,18957.0,18957.25,18956.75,18957.5,18977.0,18937.0,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 01:57:00+00:00,2024-01-02 01:57:00+00:00,2024-01-02 01:58:00+00:00,2024-01-02 01:58:00+00:00,pullback_short_all_b4358d712094,-1,market,0.0,1,1,20,20,49895.0
