detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356015,356016,356018,356018,closed,target,18636.25,18624.25,18636.0,18624.5,18644.25,18624.25,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,1.75,2024-01-02 19:02:00+00:00,2024-01-02 19:02:00+00:00,2024-01-02 19:05:00+00:00,2024-01-02 19:05:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,50220.0
356028,356029,356031,356031,closed,timeout,18632.75,18628.25,18632.5,18628.5,18640.75,18620.75,4.5,4.0,3.5,70.0,10.0,0.5,3.0,3.0,0.25,2024-01-02 19:15:00+00:00,2024-01-02 19:15:00+00:00,2024-01-02 19:18:00+00:00,2024-01-02 19:18:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,50290.0
356055,356056,356058,356058,closed,timeout,18624.75,18628.5,18624.5,18628.75,18632.75,18612.75,-3.75,-4.25,-4.75,-95.0,10.0,0.5,3.0,3.0,6.5,2024-01-02 19:42:00+00:00,2024-01-02 19:42:00+00:00,2024-01-02 19:45:00+00:00,2024-01-02 19:45:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,50195.0
356083,356084,356086,356086,closed,timeout,18574.25,18570.5,18574.0,18570.75,18582.25,18562.25,3.75,3.25,2.75,55.0,10.0,0.5,3.0,3.0,7.0,2024-01-02 20:10:00+00:00,2024-01-02 20:10:00+00:00,2024-01-02 20:13:00+00:00,2024-01-02 20:13:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,50250.0
357381,357382,357382,357382,closed,stop,18507.75,18515.75,18507.5,18516.0,18515.75,18495.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,12.75,2024-01-03 19:03:00+00:00,2024-01-03 19:03:00+00:00,2024-01-03 19:04:00+00:00,2024-01-03 19:06:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,50070.0
357396,357397,357397,357397,closed,stop,18500.75,18508.75,18500.5,18509.0,18508.75,18488.75,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,12.25,2024-01-03 19:18:00+00:00,2024-01-03 19:18:00+00:00,2024-01-03 19:19:00+00:00,2024-01-03 19:21:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,49890.0
357437,357438,357440,357440,closed,target,18536.25,18524.25,18536.0,18524.5,18544.25,18524.25,12.0,11.5,11.0,220.0,10.0,0.5,3.0,3.0,2.25,2024-01-03 19:59:00+00:00,2024-01-03 19:59:00+00:00,2024-01-03 20:02:00+00:00,2024-01-03 20:02:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,50110.0
357442,357443,357445,357445,closed,timeout,18521.25,18514.5,18521.0,18514.75,18529.25,18509.25,6.75,6.25,5.75,115.0,10.0,0.5,3.0,3.0,6.0,2024-01-03 20:04:00+00:00,2024-01-03 20:04:00+00:00,2024-01-03 20:07:00+00:00,2024-01-03 20:07:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,50225.0
357451,357452,357454,357454,closed,timeout,18504.75,18499.75,18504.5,18500.0,18512.75,18492.75,5.0,4.5,4.0,80.0,10.0,0.5,3.0,3.0,6.0,2024-01-03 20:13:00+00:00,2024-01-03 20:13:00+00:00,2024-01-03 20:16:00+00:00,2024-01-03 20:16:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,50305.0
357458,357459,357461,357461,closed,stop,18497.25,18505.25,18497.0,18505.5,18505.25,18485.25,-8.0,-8.5,-9.0,-180.0,10.0,0.5,3.0,3.0,9.5,2024-01-03 20:20:00+00:00,2024-01-03 20:20:00+00:00,2024-01-03 20:23:00+00:00,2024-01-03 20:23:00+00:00,pullback_short_late_09e4d5d84f5e,-1,market,0.0,3,1,8,12,50125.0
