detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
356015,356016,356016,356016,closed,timeout,18636.25,18629.75,18636.0,18630.0,18640.25,18616.25,6.5,6.0,5.5,110.0,10.0,0.5,1.0,1.0,1.75,2024-01-02 19:02:00+00:00,2024-01-02 19:02:00+00:00,2024-01-02 19:03:00+00:00,2024-01-02 19:03:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,50110.0
356028,356029,356029,356029,closed,timeout,18632.75,18627.75,18632.5,18628.0,18636.75,18612.75,5.0,4.5,4.0,80.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 19:15:00+00:00,2024-01-02 19:15:00+00:00,2024-01-02 19:16:00+00:00,2024-01-02 19:16:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,50190.0
356029,356030,356030,356030,closed,timeout,18627.75,18629.25,18627.5,18629.5,18631.75,18607.75,-1.5,-2.0,-2.5,-50.0,10.0,0.5,1.0,1.0,3.0,2024-01-02 19:16:00+00:00,2024-01-02 19:16:00+00:00,2024-01-02 19:17:00+00:00,2024-01-02 19:17:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,50140.0
356055,356056,356056,356056,closed,timeout,18624.75,18623.5,18624.5,18623.75,18628.75,18604.75,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 19:42:00+00:00,2024-01-02 19:42:00+00:00,2024-01-02 19:43:00+00:00,2024-01-02 19:43:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,50145.0
356083,356084,356084,356084,closed,stop,18574.25,18578.25,18574.0,18578.5,18578.25,18554.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.0,2024-01-02 20:10:00+00:00,2024-01-02 20:10:00+00:00,2024-01-02 20:11:00+00:00,2024-01-02 20:11:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,50045.0
357381,357382,357382,357382,closed,stop,18507.75,18511.75,18507.5,18512.0,18511.75,18487.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,12.75,2024-01-03 19:03:00+00:00,2024-01-03 19:03:00+00:00,2024-01-03 19:04:00+00:00,2024-01-03 19:04:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49945.0
357396,357397,357397,357397,closed,stop,18500.75,18504.75,18500.5,18505.0,18504.75,18480.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,12.25,2024-01-03 19:18:00+00:00,2024-01-03 19:18:00+00:00,2024-01-03 19:19:00+00:00,2024-01-03 19:19:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49845.0
357437,357438,357438,357438,closed,timeout,18536.25,18531.75,18536.0,18532.0,18540.25,18516.25,4.5,4.0,3.5,70.0,10.0,0.5,1.0,1.0,0.25,2024-01-03 19:59:00+00:00,2024-01-03 19:59:00+00:00,2024-01-03 20:00:00+00:00,2024-01-03 20:00:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49915.0
357442,357443,357443,357443,closed,stop,18521.25,18525.25,18521.0,18525.5,18525.25,18501.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,6.0,2024-01-03 20:04:00+00:00,2024-01-03 20:04:00+00:00,2024-01-03 20:05:00+00:00,2024-01-03 20:05:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49815.0
357451,357452,357452,357452,closed,timeout,18504.75,18503.5,18504.5,18503.75,18508.75,18484.75,1.25,0.75,0.25,5.0,10.0,0.5,1.0,1.0,2.25,2024-01-03 20:13:00+00:00,2024-01-03 20:13:00+00:00,2024-01-03 20:14:00+00:00,2024-01-03 20:14:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49820.0
357458,357459,357459,357459,closed,stop,18497.25,18501.25,18497.0,18501.5,18501.25,18477.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.25,2024-01-03 20:20:00+00:00,2024-01-03 20:20:00+00:00,2024-01-03 20:21:00+00:00,2024-01-03 20:21:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49720.0
357491,357492,357492,357492,closed,timeout,18478.75,18467.0,18478.5,18467.25,18482.75,18458.75,11.75,11.25,10.75,215.0,10.0,0.5,1.0,1.0,0.25,2024-01-03 20:53:00+00:00,2024-01-03 20:53:00+00:00,2024-01-03 20:54:00+00:00,2024-01-03 20:54:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49935.0
357496,357497,357497,357497,closed,timeout,18479.25,18480.25,18479.0,18480.5,18483.25,18459.25,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,4.0,2024-01-03 20:58:00+00:00,2024-01-03 20:58:00+00:00,2024-01-03 20:59:00+00:00,2024-01-03 20:59:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49895.0
358743,358744,358744,358744,closed,stop,18446.5,18450.5,18446.25,18450.75,18450.5,18426.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,5.5,2024-01-04 19:00:00+00:00,2024-01-04 19:00:00+00:00,2024-01-04 19:01:00+00:00,2024-01-04 19:01:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49795.0
358752,358753,358753,358753,closed,timeout,18438.75,18434.0,18438.5,18434.25,18442.75,18418.75,4.75,4.25,3.75,75.0,10.0,0.5,1.0,1.0,0.5,2024-01-04 19:09:00+00:00,2024-01-04 19:09:00+00:00,2024-01-04 19:10:00+00:00,2024-01-04 19:10:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49870.0
358766,358767,358767,358767,closed,timeout,18428.75,18425.25,18428.5,18425.5,18432.75,18408.75,3.5,3.0,2.5,50.0,10.0,0.5,1.0,1.0,0.25,2024-01-04 19:23:00+00:00,2024-01-04 19:23:00+00:00,2024-01-04 19:24:00+00:00,2024-01-04 19:24:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49920.0
358770,358771,358771,358771,closed,stop,18422.25,18426.25,18422.0,18426.5,18426.25,18402.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,4.25,2024-01-04 19:27:00+00:00,2024-01-04 19:27:00+00:00,2024-01-04 19:28:00+00:00,2024-01-04 19:28:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49820.0
358784,358785,358785,358785,closed,timeout,18421.0,18416.75,18420.75,18417.0,18425.0,18401.0,4.25,3.75,3.25,65.0,10.0,0.5,1.0,1.0,0.25,2024-01-04 19:41:00+00:00,2024-01-04 19:41:00+00:00,2024-01-04 19:42:00+00:00,2024-01-04 19:42:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49885.0
358821,358822,358822,358822,closed,timeout,18418.0,18416.25,18417.75,18416.5,18422.0,18398.0,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,2.5,2024-01-04 20:18:00+00:00,2024-01-04 20:18:00+00:00,2024-01-04 20:19:00+00:00,2024-01-04 20:19:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49900.0
358822,358823,358823,358823,closed,stop,18416.5,18420.5,18416.25,18420.75,18420.5,18396.5,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,12.25,2024-01-04 20:19:00+00:00,2024-01-04 20:19:00+00:00,2024-01-04 20:20:00+00:00,2024-01-04 20:20:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49800.0
358830,358831,358831,358831,closed,timeout,18422.75,18422.25,18422.5,18422.5,18426.75,18402.75,0.5,-0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,2.0,2024-01-04 20:27:00+00:00,2024-01-04 20:27:00+00:00,2024-01-04 20:28:00+00:00,2024-01-04 20:28:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49790.0
358834,358835,358835,358835,closed,stop,18424.0,18428.0,18423.75,18428.25,18428.0,18404.0,-4.0,-4.5,-5.0,-100.0,10.0,0.5,1.0,1.0,7.5,2024-01-04 20:31:00+00:00,2024-01-04 20:31:00+00:00,2024-01-04 20:32:00+00:00,2024-01-04 20:32:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49690.0
360132,360133,360133,360133,closed,timeout,18423.0,18425.5,18422.75,18425.75,18427.0,18403.0,-2.5,-3.0,-3.5,-70.0,10.0,0.5,1.0,1.0,4.0,2024-01-05 19:24:00+00:00,2024-01-05 19:24:00+00:00,2024-01-05 19:25:00+00:00,2024-01-05 19:25:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49620.0
360140,360141,360141,360141,closed,timeout,18422.5,18417.0,18422.25,18417.25,18426.5,18402.5,5.5,5.0,4.5,90.0,10.0,0.5,1.0,1.0,2.0,2024-01-05 19:32:00+00:00,2024-01-05 19:32:00+00:00,2024-01-05 19:33:00+00:00,2024-01-05 19:33:00+00:00,pullback_short_late_207050b534f6,-1,market,0.0,1,1,4,20,49710.0
