detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355916,355917,355917,355917,closed,timeout,18704.5,18707.0,18704.25,18707.25,18712.5,18684.5,-2.5,-3.0,-3.5,-70.0,10.0,0.5,1.0,1.0,3.25,2024-01-02 17:23:00+00:00,2024-01-02 17:23:00+00:00,2024-01-02 17:24:00+00:00,2024-01-02 17:24:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49930.0
355918,355919,355919,355919,closed,timeout,18703.25,18705.5,18703.0,18705.75,18711.25,18683.25,-2.25,-2.75,-3.25,-65.0,10.0,0.5,1.0,1.0,3.0,2024-01-02 17:25:00+00:00,2024-01-02 17:25:00+00:00,2024-01-02 17:26:00+00:00,2024-01-02 17:26:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49865.0
355920,355921,355921,355921,closed,timeout,18703.5,18707.75,18703.25,18708.0,18711.5,18683.5,-4.25,-4.75,-5.25,-105.0,10.0,0.5,1.0,1.0,5.0,2024-01-02 17:27:00+00:00,2024-01-02 17:27:00+00:00,2024-01-02 17:28:00+00:00,2024-01-02 17:28:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49760.0
355966,355967,355967,355967,closed,timeout,18656.0,18661.25,18655.75,18661.5,18664.0,18636.0,-5.25,-5.75,-6.25,-125.0,10.0,0.5,1.0,1.0,6.5,2024-01-02 18:13:00+00:00,2024-01-02 18:13:00+00:00,2024-01-02 18:14:00+00:00,2024-01-02 18:14:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49635.0
355970,355971,355971,355971,closed,timeout,18660.25,18664.0,18660.0,18664.25,18668.25,18640.25,-3.75,-4.25,-4.75,-95.0,10.0,0.5,1.0,1.0,4.5,2024-01-02 18:17:00+00:00,2024-01-02 18:17:00+00:00,2024-01-02 18:18:00+00:00,2024-01-02 18:18:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49540.0
357246,357247,357247,357247,closed,timeout,18515.75,18512.25,18515.5,18512.5,18523.75,18495.75,3.5,3.0,2.5,50.0,10.0,0.5,1.0,1.0,0.25,2024-01-03 16:48:00+00:00,2024-01-03 16:48:00+00:00,2024-01-03 16:49:00+00:00,2024-01-03 16:49:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49590.0
357247,357248,357248,357248,closed,timeout,18512.5,18516.0,18512.25,18516.25,18520.5,18492.5,-3.5,-4.0,-4.5,-90.0,10.0,0.5,1.0,1.0,7.5,2024-01-03 16:49:00+00:00,2024-01-03 16:49:00+00:00,2024-01-03 16:50:00+00:00,2024-01-03 16:50:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49500.0
357255,357256,357256,357256,closed,timeout,18511.0,18503.25,18510.75,18503.5,18519.0,18491.0,7.75,7.25,6.75,135.0,10.0,0.5,1.0,1.0,1.75,2024-01-03 16:57:00+00:00,2024-01-03 16:57:00+00:00,2024-01-03 16:58:00+00:00,2024-01-03 16:58:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49635.0
357265,357266,357266,357266,closed,stop,18509.0,18517.0,18508.75,18517.25,18517.0,18489.0,-8.0,-8.5,-9.0,-180.0,10.0,0.5,1.0,1.0,10.5,2024-01-03 17:07:00+00:00,2024-01-03 17:07:00+00:00,2024-01-03 17:08:00+00:00,2024-01-03 17:08:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49455.0
358598,358599,358599,358599,closed,timeout,18497.5,18503.25,18497.25,18503.5,18505.5,18477.5,-5.75,-6.25,-6.75,-135.0,10.0,0.5,1.0,1.0,7.5,2024-01-04 16:35:00+00:00,2024-01-04 16:35:00+00:00,2024-01-04 16:36:00+00:00,2024-01-04 16:36:00+00:00,pullback_short_midday_02a4923c83f2,-1,market,0.0,1,1,8,20,49320.0
