detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355747,355748,355749,355749,closed,target,18789.25,18769.25,18789.0,18769.5,18801.25,18769.25,20.0,19.5,19.0,380.0,10.0,0.5,2.0,2.0,1.25,2024-01-02 14:34:00+00:00,2024-01-02 14:34:00+00:00,2024-01-02 14:36:00+00:00,2024-01-02 15:04:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,50380.0
355766,355767,355770,355770,closed,target,18691.25,18671.25,18691.0,18671.5,18703.25,18671.25,20.0,19.5,19.0,380.0,10.0,0.5,4.0,4.0,2.5,2024-01-02 14:53:00+00:00,2024-01-02 14:53:00+00:00,2024-01-02 14:57:00+00:00,2024-01-02 15:23:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,50760.0
355799,355800,355802,355802,closed,target,18685.5,18665.5,18685.25,18665.75,18697.5,18665.5,20.0,19.5,19.0,380.0,10.0,0.5,3.0,3.0,2.5,2024-01-02 15:26:00+00:00,2024-01-02 15:26:00+00:00,2024-01-02 15:29:00+00:00,2024-01-02 15:56:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,51140.0
355820,355821,355823,355823,closed,target,18652.0,18632.0,18651.75,18632.25,18664.0,18632.0,20.0,19.5,19.0,380.0,10.0,0.5,3.0,3.0,0.75,2024-01-02 15:47:00+00:00,2024-01-02 15:47:00+00:00,2024-01-02 15:50:00+00:00,2024-01-02 16:17:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,51520.0
357140,357141,357141,357141,closed,stop,18544.75,18556.75,18544.5,18557.0,18556.75,18524.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,1.0,1.0,29.0,2024-01-03 15:02:00+00:00,2024-01-03 15:02:00+00:00,2024-01-03 15:03:00+00:00,2024-01-03 15:32:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,51260.0
357164,357165,357166,357166,closed,stop,18510.25,18522.25,18510.0,18522.5,18522.25,18490.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,21.5,2024-01-03 15:26:00+00:00,2024-01-03 15:26:00+00:00,2024-01-03 15:28:00+00:00,2024-01-03 15:56:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,51000.0
357168,357169,357176,357176,closed,target,18520.75,18500.75,18520.5,18501.0,18532.75,18500.75,20.0,19.5,19.0,380.0,10.0,0.5,8.0,8.0,8.5,2024-01-03 15:30:00+00:00,2024-01-03 15:30:00+00:00,2024-01-03 15:38:00+00:00,2024-01-03 16:00:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,51380.0
357194,357195,357196,357196,closed,stop,18511.25,18523.25,18511.0,18523.5,18523.25,18491.25,-12.0,-12.5,-13.0,-260.0,10.0,0.5,2.0,2.0,13.25,2024-01-03 15:56:00+00:00,2024-01-03 15:56:00+00:00,2024-01-03 15:58:00+00:00,2024-01-03 16:26:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,51120.0
362589,362590,362590,362590,closed,stop,18614.75,18626.75,18614.5,18627.0,18626.75,18594.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,1.0,1.0,17.25,2024-01-09 14:52:00+00:00,2024-01-09 14:52:00+00:00,2024-01-09 14:53:00+00:00,2024-01-09 15:22:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,50860.0
362591,362592,362595,362595,closed,stop,18621.75,18633.75,18621.5,18634.0,18633.75,18601.75,-12.0,-12.5,-13.0,-260.0,10.0,0.5,4.0,4.0,16.0,2024-01-09 14:54:00+00:00,2024-01-09 14:54:00+00:00,2024-01-09 14:58:00+00:00,2024-01-09 15:24:00+00:00,pullback_short_open_4b062fbf8c26,-1,market,0.0,30,1,12,20,50600.0
