detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355747,355748,355748,355748,closed,target,18789.25,18785.25,18789.0,18785.5,18809.25,18785.25,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,1.25,2024-01-02 14:34:00+00:00,2024-01-02 14:34:00+00:00,2024-01-02 14:35:00+00:00,2024-01-02 14:35:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,50060.0
355766,355767,355767,355767,closed,target,18691.25,18687.25,18691.0,18687.5,18711.25,18687.25,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 14:53:00+00:00,2024-01-02 14:53:00+00:00,2024-01-02 14:54:00+00:00,2024-01-02 14:54:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,50120.0
355799,355800,355800,355800,closed,target,18685.5,18681.5,18685.25,18681.75,18705.5,18681.5,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,2.5,2024-01-02 15:26:00+00:00,2024-01-02 15:26:00+00:00,2024-01-02 15:27:00+00:00,2024-01-02 15:27:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,50180.0
355820,355821,355821,355821,closed,target,18652.0,18648.0,18651.75,18648.25,18672.0,18648.0,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 15:47:00+00:00,2024-01-02 15:47:00+00:00,2024-01-02 15:48:00+00:00,2024-01-02 15:48:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,50240.0
355821,355822,355822,355822,closed,target,18647.25,18643.25,18647.0,18643.5,18667.25,18643.25,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 15:48:00+00:00,2024-01-02 15:48:00+00:00,2024-01-02 15:49:00+00:00,2024-01-02 15:49:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,50300.0
357140,357141,357141,357141,closed,stop,18544.75,18564.75,18544.5,18565.0,18564.75,18540.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,1.0,1.0,29.0,2024-01-03 15:02:00+00:00,2024-01-03 15:02:00+00:00,2024-01-03 15:03:00+00:00,2024-01-03 15:03:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,49880.0
357164,357165,357165,357165,closed,timeout,18510.25,18519.25,18510.0,18519.5,18530.25,18506.25,-9.0,-9.5,-10.0,-200.0,10.0,0.5,1.0,1.0,11.25,2024-01-03 15:26:00+00:00,2024-01-03 15:26:00+00:00,2024-01-03 15:27:00+00:00,2024-01-03 15:27:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,49680.0
357168,357169,357169,357169,closed,timeout,18520.75,18526.25,18520.5,18526.5,18540.75,18516.75,-5.5,-6.0,-6.5,-130.0,10.0,0.5,1.0,1.0,8.5,2024-01-03 15:30:00+00:00,2024-01-03 15:30:00+00:00,2024-01-03 15:31:00+00:00,2024-01-03 15:31:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,49550.0
357194,357195,357195,357195,closed,timeout,18511.25,18517.0,18511.0,18517.25,18531.25,18507.25,-5.75,-6.25,-6.75,-135.0,10.0,0.5,1.0,1.0,10.25,2024-01-03 15:56:00+00:00,2024-01-03 15:56:00+00:00,2024-01-03 15:57:00+00:00,2024-01-03 15:57:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,49415.0
362589,362590,362590,362590,closed,target,18614.75,18610.75,18614.5,18611.0,18634.75,18610.75,4.0,3.5,3.0,60.0,10.0,0.5,1.0,1.0,17.25,2024-01-09 14:52:00+00:00,2024-01-09 14:52:00+00:00,2024-01-09 14:53:00+00:00,2024-01-09 14:53:00+00:00,pullback_short_open_fa4d3938b097,-1,market,0.0,1,1,20,4,49475.0
