detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354884,354885,354889,354889,closed,timeout,18970.0,18968.75,18969.75,18969.0,18990.0,18958.0,1.25,0.75,0.25,5.0,10.0,0.5,5.0,5.0,0.25,2024-01-02 00:11:00+00:00,2024-01-02 00:11:00+00:00,2024-01-02 00:16:00+00:00,2024-01-02 00:16:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,50005.0
354952,354953,354957,354957,closed,timeout,18976.25,18973.75,18976.0,18974.0,18996.25,18964.25,2.5,2.0,1.5,30.0,10.0,0.5,5.0,5.0,1.75,2024-01-02 01:19:00+00:00,2024-01-02 01:19:00+00:00,2024-01-02 01:24:00+00:00,2024-01-02 01:24:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,50035.0
354999,355000,355004,355004,closed,timeout,18959.5,18959.75,18959.25,18960.0,18979.5,18947.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,5.0,5.0,1.0,2024-01-02 02:06:00+00:00,2024-01-02 02:06:00+00:00,2024-01-02 02:11:00+00:00,2024-01-02 02:11:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,50010.0
355176,355177,355181,355181,closed,timeout,18951.0,18949.0,18950.75,18949.25,18971.0,18939.0,2.0,1.5,1.0,20.0,10.0,0.5,5.0,5.0,1.0,2024-01-02 05:03:00+00:00,2024-01-02 05:03:00+00:00,2024-01-02 05:08:00+00:00,2024-01-02 05:08:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,50030.0
355218,355219,355223,355223,closed,timeout,18959.5,18957.5,18959.25,18957.75,18979.5,18947.5,2.0,1.5,1.0,20.0,10.0,0.5,5.0,5.0,0.25,2024-01-02 05:45:00+00:00,2024-01-02 05:45:00+00:00,2024-01-02 05:50:00+00:00,2024-01-02 05:50:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,50050.0
355227,355228,355232,355232,closed,timeout,18959.75,18959.0,18959.5,18959.25,18979.75,18947.75,0.75,0.25,-0.25,-5.0,10.0,0.5,5.0,5.0,0.75,2024-01-02 05:54:00+00:00,2024-01-02 05:54:00+00:00,2024-01-02 05:59:00+00:00,2024-01-02 05:59:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,50045.0
355277,355278,355282,355282,closed,timeout,18951.75,18950.75,18951.5,18951.0,18971.75,18939.75,1.0,0.5,0.0,0.0,10.0,0.5,5.0,5.0,3.75,2024-01-02 06:44:00+00:00,2024-01-02 06:44:00+00:00,2024-01-02 06:49:00+00:00,2024-01-02 06:49:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,50045.0
355345,355346,355350,355350,closed,timeout,18958.75,18959.75,18958.5,18960.0,18978.75,18946.75,-1.0,-1.5,-2.0,-40.0,10.0,0.5,5.0,5.0,2.5,2024-01-02 07:52:00+00:00,2024-01-02 07:52:00+00:00,2024-01-02 07:57:00+00:00,2024-01-02 07:57:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,50005.0
355350,355351,355355,355355,closed,timeout,18960.0,18967.5,18959.75,18967.75,18980.0,18948.0,-7.5,-8.0,-8.5,-170.0,10.0,0.5,5.0,5.0,7.75,2024-01-02 07:57:00+00:00,2024-01-02 07:57:00+00:00,2024-01-02 08:02:00+00:00,2024-01-02 08:02:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49835.0
355376,355377,355381,355381,closed,timeout,18971.25,18973.25,18971.0,18973.5,18991.25,18959.25,-2.0,-2.5,-3.0,-60.0,10.0,0.5,5.0,5.0,3.75,2024-01-02 08:23:00+00:00,2024-01-02 08:23:00+00:00,2024-01-02 08:28:00+00:00,2024-01-02 08:28:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49775.0
355491,355492,355496,355496,closed,timeout,18932.5,18935.75,18932.25,18936.0,18952.5,18920.5,-3.25,-3.75,-4.25,-85.0,10.0,0.5,5.0,5.0,3.5,2024-01-02 10:18:00+00:00,2024-01-02 10:18:00+00:00,2024-01-02 10:23:00+00:00,2024-01-02 10:23:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49690.0
355604,355605,355609,355609,closed,timeout,18807.75,18801.5,18807.5,18801.75,18827.75,18795.75,6.25,5.75,5.25,105.0,10.0,0.5,5.0,5.0,7.0,2024-01-02 12:11:00+00:00,2024-01-02 12:11:00+00:00,2024-01-02 12:16:00+00:00,2024-01-02 12:16:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49795.0
355618,355619,355623,355623,closed,timeout,18806.0,18801.25,18805.75,18801.5,18826.0,18794.0,4.75,4.25,3.75,75.0,10.0,0.5,5.0,5.0,3.25,2024-01-02 12:25:00+00:00,2024-01-02 12:25:00+00:00,2024-01-02 12:30:00+00:00,2024-01-02 12:30:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49870.0
355681,355682,355686,355686,closed,timeout,18768.5,18783.75,18768.25,18784.0,18788.5,18756.5,-15.25,-15.75,-16.25,-325.0,10.0,0.5,5.0,5.0,16.75,2024-01-02 13:28:00+00:00,2024-01-02 13:28:00+00:00,2024-01-02 13:33:00+00:00,2024-01-02 13:33:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49545.0
355699,355700,355704,355704,closed,timeout,18788.0,18784.25,18787.75,18784.5,18808.0,18776.0,3.75,3.25,2.75,55.0,10.0,0.5,5.0,5.0,1.75,2024-01-02 13:46:00+00:00,2024-01-02 13:46:00+00:00,2024-01-02 13:51:00+00:00,2024-01-02 13:51:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49600.0
355709,355710,355714,355714,closed,timeout,18790.5,18793.25,18790.25,18793.5,18810.5,18778.5,-2.75,-3.25,-3.75,-75.0,10.0,0.5,5.0,5.0,6.5,2024-01-02 13:56:00+00:00,2024-01-02 13:56:00+00:00,2024-01-02 14:01:00+00:00,2024-01-02 14:01:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49525.0
355722,355723,355727,355727,closed,timeout,18795.75,18803.25,18795.5,18803.5,18815.75,18783.75,-7.5,-8.0,-8.5,-170.0,10.0,0.5,5.0,5.0,11.5,2024-01-02 14:09:00+00:00,2024-01-02 14:09:00+00:00,2024-01-02 14:14:00+00:00,2024-01-02 14:14:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49355.0
355928,355929,355933,355933,closed,timeout,18712.75,18717.25,18712.5,18717.5,18732.75,18700.75,-4.5,-5.0,-5.5,-110.0,10.0,0.5,5.0,5.0,5.75,2024-01-02 17:35:00+00:00,2024-01-02 17:35:00+00:00,2024-01-02 17:40:00+00:00,2024-01-02 17:40:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49245.0
355968,355969,355973,355973,closed,timeout,18661.25,18666.5,18661.0,18666.75,18681.25,18649.25,-5.25,-5.75,-6.25,-125.0,10.0,0.5,5.0,5.0,7.5,2024-01-02 18:15:00+00:00,2024-01-02 18:15:00+00:00,2024-01-02 18:20:00+00:00,2024-01-02 18:20:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49120.0
356092,356093,356097,356097,closed,timeout,18583.0,18579.75,18582.75,18580.0,18603.0,18571.0,3.25,2.75,2.25,45.0,10.0,0.5,5.0,5.0,3.5,2024-01-02 20:19:00+00:00,2024-01-02 20:19:00+00:00,2024-01-02 20:24:00+00:00,2024-01-02 20:24:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49165.0
356250,356251,356255,356255,closed,timeout,18664.75,18668.75,18664.5,18669.0,18684.75,18652.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,5.0,2024-01-03 00:12:00+00:00,2024-01-03 00:12:00+00:00,2024-01-03 00:17:00+00:00,2024-01-03 00:17:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49065.0
356300,356301,356305,356305,closed,timeout,18660.5,18658.5,18660.25,18658.75,18680.5,18648.5,2.0,1.5,1.0,20.0,10.0,0.5,5.0,5.0,2.0,2024-01-03 01:02:00+00:00,2024-01-03 01:02:00+00:00,2024-01-03 01:07:00+00:00,2024-01-03 01:07:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49085.0
356347,356348,356352,356352,closed,timeout,18653.0,18655.5,18652.75,18655.75,18673.0,18641.0,-2.5,-3.0,-3.5,-70.0,10.0,0.5,5.0,5.0,3.5,2024-01-03 01:49:00+00:00,2024-01-03 01:49:00+00:00,2024-01-03 01:54:00+00:00,2024-01-03 01:54:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49015.0
356366,356367,356371,356371,closed,timeout,18655.5,18653.0,18655.25,18653.25,18675.5,18643.5,2.5,2.0,1.5,30.0,10.0,0.5,5.0,5.0,0.5,2024-01-03 02:08:00+00:00,2024-01-03 02:08:00+00:00,2024-01-03 02:13:00+00:00,2024-01-03 02:13:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49045.0
356412,356413,356417,356417,closed,timeout,18646.0,18644.75,18645.75,18645.0,18666.0,18634.0,1.25,0.75,0.25,5.0,10.0,0.5,5.0,5.0,0.25,2024-01-03 02:54:00+00:00,2024-01-03 02:54:00+00:00,2024-01-03 02:59:00+00:00,2024-01-03 02:59:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49050.0
356421,356422,356426,356426,closed,timeout,18647.0,18648.0,18646.75,18648.25,18667.0,18635.0,-1.0,-1.5,-2.0,-40.0,10.0,0.5,5.0,5.0,2.5,2024-01-03 03:03:00+00:00,2024-01-03 03:03:00+00:00,2024-01-03 03:08:00+00:00,2024-01-03 03:08:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49010.0
356550,356551,356555,356555,closed,timeout,18636.5,18638.0,18636.25,18638.25,18656.5,18624.5,-1.5,-2.0,-2.5,-50.0,10.0,0.5,5.0,5.0,2.25,2024-01-03 05:12:00+00:00,2024-01-03 05:12:00+00:00,2024-01-03 05:17:00+00:00,2024-01-03 05:17:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48960.0
356589,356590,356594,356594,closed,timeout,18644.0,18646.75,18643.75,18647.0,18664.0,18632.0,-2.75,-3.25,-3.75,-75.0,10.0,0.5,5.0,5.0,3.25,2024-01-03 05:51:00+00:00,2024-01-03 05:51:00+00:00,2024-01-03 05:56:00+00:00,2024-01-03 05:56:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48885.0
356603,356604,356608,356608,closed,timeout,18646.5,18642.0,18646.25,18642.25,18666.5,18634.5,4.5,4.0,3.5,70.0,10.0,0.5,5.0,5.0,0.5,2024-01-03 06:05:00+00:00,2024-01-03 06:05:00+00:00,2024-01-03 06:10:00+00:00,2024-01-03 06:10:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48955.0
356641,356642,356646,356646,closed,timeout,18655.5,18655.0,18655.25,18655.25,18675.5,18643.5,0.5,-0.0,-0.5,-10.0,10.0,0.5,5.0,5.0,2.75,2024-01-03 06:43:00+00:00,2024-01-03 06:43:00+00:00,2024-01-03 06:48:00+00:00,2024-01-03 06:48:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48945.0
356670,356671,356675,356675,closed,timeout,18651.75,18648.0,18651.5,18648.25,18671.75,18639.75,3.75,3.25,2.75,55.0,10.0,0.5,5.0,5.0,1.25,2024-01-03 07:12:00+00:00,2024-01-03 07:12:00+00:00,2024-01-03 07:17:00+00:00,2024-01-03 07:17:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49000.0
356696,356697,356701,356701,closed,timeout,18650.5,18650.75,18650.25,18651.0,18670.5,18638.5,-0.25,-0.75,-1.25,-25.0,10.0,0.5,5.0,5.0,1.0,2024-01-03 07:38:00+00:00,2024-01-03 07:38:00+00:00,2024-01-03 07:43:00+00:00,2024-01-03 07:43:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48975.0
356727,356728,356732,356732,closed,timeout,18654.5,18664.5,18654.25,18664.75,18674.5,18642.5,-10.0,-10.5,-11.0,-220.0,10.0,0.5,5.0,5.0,14.0,2024-01-03 08:09:00+00:00,2024-01-03 08:09:00+00:00,2024-01-03 08:14:00+00:00,2024-01-03 08:14:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48755.0
356801,356802,356806,356806,closed,timeout,18613.5,18615.0,18613.25,18615.25,18633.5,18601.5,-1.5,-2.0,-2.5,-50.0,10.0,0.5,5.0,5.0,7.5,2024-01-03 09:23:00+00:00,2024-01-03 09:23:00+00:00,2024-01-03 09:28:00+00:00,2024-01-03 09:28:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48705.0
356852,356853,356857,356857,closed,timeout,18596.25,18594.5,18596.0,18594.75,18616.25,18584.25,1.75,1.25,0.75,15.0,10.0,0.5,5.0,5.0,5.75,2024-01-03 10:14:00+00:00,2024-01-03 10:14:00+00:00,2024-01-03 10:19:00+00:00,2024-01-03 10:19:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48720.0
356909,356910,356914,356914,closed,timeout,18604.5,18600.0,18604.25,18600.25,18624.5,18592.5,4.5,4.0,3.5,70.0,10.0,0.5,5.0,5.0,0.25,2024-01-03 11:11:00+00:00,2024-01-03 11:11:00+00:00,2024-01-03 11:16:00+00:00,2024-01-03 11:16:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48790.0
356958,356959,356963,356963,closed,timeout,18589.5,18579.75,18589.25,18580.0,18609.5,18577.5,9.75,9.25,8.75,175.0,10.0,0.5,5.0,5.0,1.25,2024-01-03 12:00:00+00:00,2024-01-03 12:00:00+00:00,2024-01-03 12:05:00+00:00,2024-01-03 12:05:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48965.0
357056,357057,357061,357061,closed,timeout,18583.0,18584.0,18582.75,18584.25,18603.0,18571.0,-1.0,-1.5,-2.0,-40.0,10.0,0.5,5.0,5.0,4.5,2024-01-03 13:38:00+00:00,2024-01-03 13:38:00+00:00,2024-01-03 13:43:00+00:00,2024-01-03 13:43:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,48925.0
357110,357111,357111,357111,closed,target,18558.5,18546.5,18558.25,18546.75,18578.5,18546.5,12.0,11.5,11.0,220.0,10.0,0.5,1.0,1.0,4.0,2024-01-03 14:32:00+00:00,2024-01-03 14:32:00+00:00,2024-01-03 14:33:00+00:00,2024-01-03 14:37:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49145.0
357121,357122,357125,357125,closed,target,18570.25,18558.25,18570.0,18558.5,18590.25,18558.25,12.0,11.5,11.0,220.0,10.0,0.5,4.0,4.0,13.5,2024-01-03 14:43:00+00:00,2024-01-03 14:43:00+00:00,2024-01-03 14:47:00+00:00,2024-01-03 14:48:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49365.0
357142,357143,357146,357146,closed,target,18581.25,18569.25,18581.0,18569.5,18601.25,18569.25,12.0,11.5,11.0,220.0,10.0,0.5,4.0,4.0,8.75,2024-01-03 15:04:00+00:00,2024-01-03 15:04:00+00:00,2024-01-03 15:08:00+00:00,2024-01-03 15:09:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49585.0
357183,357184,357188,357188,closed,timeout,18509.5,18503.25,18509.25,18503.5,18529.5,18497.5,6.25,5.75,5.25,105.0,10.0,0.5,5.0,5.0,6.25,2024-01-03 15:45:00+00:00,2024-01-03 15:45:00+00:00,2024-01-03 15:50:00+00:00,2024-01-03 15:50:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49690.0
357191,357192,357196,357196,closed,timeout,18518.75,18522.75,18518.5,18523.0,18538.75,18506.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,5.75,2024-01-03 15:53:00+00:00,2024-01-03 15:53:00+00:00,2024-01-03 15:58:00+00:00,2024-01-03 15:58:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49590.0
357231,357232,357236,357236,closed,target,18535.0,18523.0,18534.75,18523.25,18555.0,18523.0,12.0,11.5,11.0,220.0,10.0,0.5,5.0,5.0,7.5,2024-01-03 16:33:00+00:00,2024-01-03 16:33:00+00:00,2024-01-03 16:38:00+00:00,2024-01-03 16:38:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49810.0
357264,357265,357268,357268,closed,target,18514.75,18502.75,18514.5,18503.0,18534.75,18502.75,12.0,11.5,11.0,220.0,10.0,0.5,4.0,4.0,4.75,2024-01-03 17:06:00+00:00,2024-01-03 17:06:00+00:00,2024-01-03 17:10:00+00:00,2024-01-03 17:11:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,50030.0
357285,357286,357289,357289,closed,stop,18503.5,18523.5,18503.25,18523.75,18523.5,18491.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,4.0,4.0,22.25,2024-01-03 17:27:00+00:00,2024-01-03 17:27:00+00:00,2024-01-03 17:31:00+00:00,2024-01-03 17:32:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49610.0
357315,357316,357320,357320,closed,stop,18530.25,18550.25,18530.0,18550.5,18550.25,18518.25,-20.0,-20.5,-21.0,-420.0,10.0,0.5,5.0,5.0,30.75,2024-01-03 17:57:00+00:00,2024-01-03 17:57:00+00:00,2024-01-03 18:02:00+00:00,2024-01-03 18:02:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49190.0
357358,357359,357363,357363,closed,timeout,18530.25,18520.5,18530.0,18520.75,18550.25,18518.25,9.75,9.25,8.75,175.0,10.0,0.5,5.0,5.0,1.25,2024-01-03 18:40:00+00:00,2024-01-03 18:40:00+00:00,2024-01-03 18:45:00+00:00,2024-01-03 18:45:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49365.0
357387,357388,357392,357392,closed,target,18513.5,18501.5,18513.25,18501.75,18533.5,18501.5,12.0,11.5,11.0,220.0,10.0,0.5,5.0,5.0,19.25,2024-01-03 19:09:00+00:00,2024-01-03 19:09:00+00:00,2024-01-03 19:14:00+00:00,2024-01-03 19:14:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49585.0
357680,357681,357685,357685,closed,timeout,18501.25,18501.25,18501.0,18501.5,18521.25,18489.25,-0.0,-0.5,-1.0,-20.0,10.0,0.5,5.0,5.0,3.0,2024-01-04 01:17:00+00:00,2024-01-04 01:17:00+00:00,2024-01-04 01:22:00+00:00,2024-01-04 01:22:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49565.0
357717,357718,357722,357722,closed,timeout,18497.5,18496.5,18497.25,18496.75,18517.5,18485.5,1.0,0.5,0.0,0.0,10.0,0.5,5.0,5.0,3.25,2024-01-04 01:54:00+00:00,2024-01-04 01:54:00+00:00,2024-01-04 01:59:00+00:00,2024-01-04 01:59:00+00:00,trajectory_1163dafd9e9d_00_9b285b800270,-1,market,0.0,5,1,20,12,49565.0
