detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354876,354877,354881,354881,closed,timeout,18969.75,18969.25,18970.0,18969.0,18957.75,19001.75,-0.5,-1.0,-1.5,-30.0,10.0,0.5,5.0,5.0,1.5,2024-01-02 00:03:00+00:00,2024-01-02 00:03:00+00:00,2024-01-02 00:08:00+00:00,2024-01-02 00:08:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49970.0
354881,354882,354886,354886,closed,timeout,18969.75,18968.5,18970.0,18968.25,18957.75,19001.75,-1.25,-1.75,-2.25,-45.0,10.0,0.5,5.0,5.0,1.5,2024-01-02 00:08:00+00:00,2024-01-02 00:08:00+00:00,2024-01-02 00:13:00+00:00,2024-01-02 00:13:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49925.0
354887,354888,354892,354892,closed,timeout,18968.75,18967.75,18969.0,18967.5,18956.75,19000.75,-1.0,-1.5,-2.0,-40.0,10.0,0.5,5.0,5.0,1.25,2024-01-02 00:14:00+00:00,2024-01-02 00:14:00+00:00,2024-01-02 00:19:00+00:00,2024-01-02 00:19:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49885.0
354946,354947,354951,354951,closed,timeout,18973.5,18976.0,18973.75,18975.75,18961.5,19005.5,2.5,2.0,1.5,30.0,10.0,0.5,5.0,5.0,3.75,2024-01-02 01:13:00+00:00,2024-01-02 01:13:00+00:00,2024-01-02 01:18:00+00:00,2024-01-02 01:18:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49915.0
355010,355011,355015,355015,closed,timeout,18957.0,18956.25,18957.25,18956.0,18945.0,18989.0,-0.75,-1.25,-1.75,-35.0,10.0,0.5,5.0,5.0,3.5,2024-01-02 02:17:00+00:00,2024-01-02 02:17:00+00:00,2024-01-02 02:22:00+00:00,2024-01-02 02:22:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49880.0
355159,355160,355164,355164,closed,timeout,18951.75,18951.5,18952.0,18951.25,18939.75,18983.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,5.0,5.0,0.75,2024-01-02 04:46:00+00:00,2024-01-02 04:46:00+00:00,2024-01-02 04:51:00+00:00,2024-01-02 04:51:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49855.0
355182,355183,355187,355187,closed,timeout,18949.5,18955.75,18949.75,18955.5,18937.5,18981.5,6.25,5.75,5.25,105.0,10.0,0.5,5.0,5.0,0.5,2024-01-02 05:09:00+00:00,2024-01-02 05:09:00+00:00,2024-01-02 05:14:00+00:00,2024-01-02 05:14:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49960.0
355236,355237,355241,355241,closed,timeout,18957.75,18953.75,18958.0,18953.5,18945.75,18989.75,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,4.5,2024-01-02 06:03:00+00:00,2024-01-02 06:03:00+00:00,2024-01-02 06:08:00+00:00,2024-01-02 06:08:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49860.0
355270,355271,355275,355275,closed,timeout,18951.25,18951.0,18951.5,18950.75,18939.25,18983.25,-0.25,-0.75,-1.25,-25.0,10.0,0.5,5.0,5.0,3.0,2024-01-02 06:37:00+00:00,2024-01-02 06:37:00+00:00,2024-01-02 06:42:00+00:00,2024-01-02 06:42:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49835.0
355287,355288,355292,355292,closed,timeout,18949.25,18945.25,18949.5,18945.0,18937.25,18981.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,5.0,5.0,5.25,2024-01-02 06:54:00+00:00,2024-01-02 06:54:00+00:00,2024-01-02 06:59:00+00:00,2024-01-02 06:59:00+00:00,trajectory_1163dafd9e9d_01_993e1bdd01a0,1,market,0.0,5,1,12,32,49735.0
