detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354876,354877,354906,354906,closed,timeout,18969.75,18961.0,18970.0,18960.75,18949.75,19001.75,-8.75,-9.25,-9.75,-195.0,10.0,0.5,30.0,30.0,10.25,2024-01-02 00:03:00+00:00,2024-01-02 00:03:00+00:00,2024-01-02 00:33:00+00:00,2024-01-02 00:33:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,49805.0
354946,354947,354976,354976,closed,stop,18973.5,18953.5,18973.75,18953.25,18953.5,19005.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,30.0,30.0,21.75,2024-01-02 01:13:00+00:00,2024-01-02 01:13:00+00:00,2024-01-02 01:43:00+00:00,2024-01-02 01:43:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,49385.0
355010,355011,355040,355040,closed,timeout,18957.0,18951.75,18957.25,18951.5,18937.0,18989.0,-5.25,-5.75,-6.25,-125.0,10.0,0.5,30.0,30.0,9.5,2024-01-02 02:17:00+00:00,2024-01-02 02:17:00+00:00,2024-01-02 02:47:00+00:00,2024-01-02 02:47:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,49260.0
355159,355160,355189,355189,closed,timeout,18951.75,18957.0,18952.0,18956.75,18931.75,18983.75,5.25,4.75,4.25,85.0,10.0,0.5,30.0,30.0,4.0,2024-01-02 04:46:00+00:00,2024-01-02 04:46:00+00:00,2024-01-02 05:16:00+00:00,2024-01-02 05:16:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,49345.0
355236,355237,355266,355266,closed,timeout,18957.75,18952.75,18958.0,18952.5,18937.75,18989.75,-5.0,-5.5,-6.0,-120.0,10.0,0.5,30.0,30.0,7.0,2024-01-02 06:03:00+00:00,2024-01-02 06:03:00+00:00,2024-01-02 06:33:00+00:00,2024-01-02 06:33:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,49225.0
355270,355271,355300,355300,closed,timeout,18951.25,18947.25,18951.5,18947.0,18931.25,18983.25,-4.0,-4.5,-5.0,-100.0,10.0,0.5,30.0,30.0,7.25,2024-01-02 06:37:00+00:00,2024-01-02 06:37:00+00:00,2024-01-02 07:07:00+00:00,2024-01-02 07:07:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,49125.0
355466,355467,355496,355496,closed,timeout,18933.75,18935.75,18934.0,18935.5,18913.75,18965.75,2.0,1.5,1.0,20.0,10.0,0.5,30.0,30.0,8.0,2024-01-02 09:53:00+00:00,2024-01-02 09:53:00+00:00,2024-01-02 10:23:00+00:00,2024-01-02 10:23:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,49145.0
355500,355501,355530,355530,closed,timeout,18930.25,18920.0,18930.5,18919.75,18910.25,18962.25,-10.25,-10.75,-11.25,-225.0,10.0,0.5,30.0,30.0,10.75,2024-01-02 10:27:00+00:00,2024-01-02 10:27:00+00:00,2024-01-02 10:57:00+00:00,2024-01-02 10:57:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,48920.0
355611,355612,355641,355641,closed,timeout,18799.5,18789.5,18799.75,18789.25,18779.5,18831.5,-10.0,-10.5,-11.0,-220.0,10.0,0.5,30.0,30.0,11.5,2024-01-02 12:18:00+00:00,2024-01-02 12:18:00+00:00,2024-01-02 12:48:00+00:00,2024-01-02 12:48:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,48700.0
355642,355643,355651,355651,closed,stop,18789.75,18769.75,18790.0,18769.5,18769.75,18821.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,9.0,9.0,31.75,2024-01-02 12:49:00+00:00,2024-01-02 12:49:00+00:00,2024-01-02 12:58:00+00:00,2024-01-02 13:19:00+00:00,trajectory_1163dafd9e9d_01_aa6d6654dbb7,1,market,0.0,30,1,20,32,48280.0
