detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354916,354917,354938,354938,closed,target,18966.0,18978.0,18966.25,18977.75,18946.0,18978.0,12.0,11.5,11.0,220.0,10.0,0.5,22.0,22.0,0.5,2024-01-02 00:43:00+00:00,2024-01-02 00:43:00+00:00,2024-01-02 01:05:00+00:00,2024-01-02 01:28:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,50220.0
354944,354945,354976,354976,closed,stop,18974.75,18954.75,18975.0,18954.5,18954.75,18986.75,-20.0,-20.5,-21.0,-420.0,10.0,0.5,32.0,32.0,23.0,2024-01-02 01:11:00+00:00,2024-01-02 01:11:00+00:00,2024-01-02 01:43:00+00:00,2024-01-02 01:56:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,49800.0
354987,354988,355032,355032,closed,timeout,18958.25,18948.75,18958.5,18948.5,18938.25,18970.25,-9.5,-10.0,-10.5,-210.0,10.0,0.5,45.0,45.0,10.0,2024-01-02 01:54:00+00:00,2024-01-02 01:54:00+00:00,2024-01-02 02:39:00+00:00,2024-01-02 02:39:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,49590.0
355058,355059,355103,355103,closed,timeout,18949.75,18948.5,18950.0,18948.25,18929.75,18961.75,-1.25,-1.75,-2.25,-45.0,10.0,0.5,45.0,45.0,5.75,2024-01-02 03:05:00+00:00,2024-01-02 03:05:00+00:00,2024-01-02 03:50:00+00:00,2024-01-02 03:50:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,49545.0
355133,355134,355178,355178,closed,timeout,18948.75,18951.25,18949.0,18951.0,18928.75,18960.75,2.5,2.0,1.5,30.0,10.0,0.5,45.0,45.0,2.25,2024-01-02 04:20:00+00:00,2024-01-02 04:20:00+00:00,2024-01-02 05:05:00+00:00,2024-01-02 05:05:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,49575.0
355193,355194,355238,355238,closed,timeout,18956.0,18958.25,18956.25,18958.0,18936.0,18968.0,2.25,1.75,1.25,25.0,10.0,0.5,45.0,45.0,2.5,2024-01-02 05:20:00+00:00,2024-01-02 05:20:00+00:00,2024-01-02 06:05:00+00:00,2024-01-02 06:05:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,49600.0
355284,355285,355320,355320,closed,target,18952.25,18964.25,18952.5,18964.0,18932.25,18964.25,12.0,11.5,11.0,220.0,10.0,0.5,36.0,36.0,8.25,2024-01-02 06:51:00+00:00,2024-01-02 06:51:00+00:00,2024-01-02 07:27:00+00:00,2024-01-02 07:36:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,49820.0
355363,355364,355386,355386,closed,target,18965.75,18977.75,18966.0,18977.5,18945.75,18977.75,12.0,11.5,11.0,220.0,10.0,0.5,23.0,23.0,2.25,2024-01-02 08:10:00+00:00,2024-01-02 08:10:00+00:00,2024-01-02 08:33:00+00:00,2024-01-02 08:55:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,50040.0
355387,355388,355418,355418,closed,stop,18976.5,18956.5,18976.75,18956.25,18956.5,18988.5,-20.0,-20.5,-21.0,-420.0,10.0,0.5,31.0,31.0,20.25,2024-01-02 08:34:00+00:00,2024-01-02 08:34:00+00:00,2024-01-02 09:05:00+00:00,2024-01-02 09:19:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,49620.0
355448,355449,355493,355493,closed,timeout,18944.25,18931.5,18944.5,18931.25,18924.25,18956.25,-12.75,-13.25,-13.75,-275.0,10.0,0.5,45.0,45.0,18.5,2024-01-02 09:35:00+00:00,2024-01-02 09:35:00+00:00,2024-01-02 10:20:00+00:00,2024-01-02 10:20:00+00:00,trajectory_1163dafd9e9d_02_efa5bc083a32,1,market,0.0,45,1,20,12,49345.0
