detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
354893,354894,354896,354896,closed,timeout,18967.0,18966.25,18966.75,18966.5,18987.0,18947.0,0.75,0.25,-0.25,-5.0,10.0,0.5,3.0,3.0,0.5,2024-01-02 00:20:00+00:00,2024-01-02 00:20:00+00:00,2024-01-02 00:23:00+00:00,2024-01-02 00:23:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49995.0
354897,354898,354900,354900,closed,timeout,18965.25,18964.0,18965.0,18964.25,18985.25,18945.25,1.25,0.75,0.25,5.0,10.0,0.5,3.0,3.0,1.75,2024-01-02 00:24:00+00:00,2024-01-02 00:24:00+00:00,2024-01-02 00:27:00+00:00,2024-01-02 00:27:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,50000.0
354905,354906,354908,354908,closed,timeout,18960.5,18964.0,18960.25,18964.25,18980.5,18940.5,-3.5,-4.0,-4.5,-90.0,10.0,0.5,3.0,3.0,3.75,2024-01-02 00:32:00+00:00,2024-01-02 00:32:00+00:00,2024-01-02 00:35:00+00:00,2024-01-02 00:35:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49910.0
354968,354969,354971,354971,closed,timeout,18967.75,18964.75,18967.5,18965.0,18987.75,18947.75,3.0,2.5,2.0,40.0,10.0,0.5,3.0,3.0,0.25,2024-01-02 01:35:00+00:00,2024-01-02 01:35:00+00:00,2024-01-02 01:38:00+00:00,2024-01-02 01:38:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49950.0
354971,354972,354974,354974,closed,timeout,18964.25,18961.25,18964.0,18961.5,18984.25,18944.25,3.0,2.5,2.0,40.0,10.0,0.5,3.0,3.0,1.0,2024-01-02 01:38:00+00:00,2024-01-02 01:38:00+00:00,2024-01-02 01:41:00+00:00,2024-01-02 01:41:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49990.0
354974,354975,354977,354977,closed,timeout,18961.25,18954.0,18961.0,18954.25,18981.25,18941.25,7.25,6.75,6.25,125.0,10.0,0.5,3.0,3.0,0.25,2024-01-02 01:41:00+00:00,2024-01-02 01:41:00+00:00,2024-01-02 01:44:00+00:00,2024-01-02 01:44:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,50115.0
354977,354978,354980,354980,closed,timeout,18954.25,18958.75,18954.0,18959.0,18974.25,18934.25,-4.5,-5.0,-5.5,-110.0,10.0,0.5,3.0,3.0,9.75,2024-01-02 01:44:00+00:00,2024-01-02 01:44:00+00:00,2024-01-02 01:47:00+00:00,2024-01-02 01:47:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,50005.0
355014,355015,355017,355017,closed,timeout,18955.0,18953.5,18954.75,18953.75,18975.0,18935.0,1.5,1.0,0.5,10.0,10.0,0.5,3.0,3.0,2.5,2024-01-02 02:21:00+00:00,2024-01-02 02:21:00+00:00,2024-01-02 02:24:00+00:00,2024-01-02 02:24:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,50015.0
355048,355049,355051,355051,closed,timeout,18944.75,18948.5,18944.5,18948.75,18964.75,18924.75,-3.75,-4.25,-4.75,-95.0,10.0,0.5,3.0,3.0,4.25,2024-01-02 02:55:00+00:00,2024-01-02 02:55:00+00:00,2024-01-02 02:58:00+00:00,2024-01-02 02:58:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49920.0
355074,355075,355077,355077,closed,timeout,18947.75,18946.75,18947.5,18947.0,18967.75,18927.75,1.0,0.5,0.0,0.0,10.0,0.5,3.0,3.0,0.75,2024-01-02 03:21:00+00:00,2024-01-02 03:21:00+00:00,2024-01-02 03:24:00+00:00,2024-01-02 03:24:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49920.0
355078,355079,355081,355081,closed,timeout,18946.75,18948.75,18946.5,18949.0,18966.75,18926.75,-2.0,-2.5,-3.0,-60.0,10.0,0.5,3.0,3.0,2.25,2024-01-02 03:25:00+00:00,2024-01-02 03:25:00+00:00,2024-01-02 03:28:00+00:00,2024-01-02 03:28:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49860.0
355173,355174,355176,355176,closed,timeout,18949.25,18951.25,18949.0,18951.5,18969.25,18929.25,-2.0,-2.5,-3.0,-60.0,10.0,0.5,3.0,3.0,4.0,2024-01-02 05:00:00+00:00,2024-01-02 05:00:00+00:00,2024-01-02 05:03:00+00:00,2024-01-02 05:03:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49800.0
355243,355244,355246,355246,closed,timeout,18954.5,18952.0,18954.25,18952.25,18974.5,18934.5,2.5,2.0,1.5,30.0,10.0,0.5,3.0,3.0,0.5,2024-01-02 06:10:00+00:00,2024-01-02 06:10:00+00:00,2024-01-02 06:13:00+00:00,2024-01-02 06:13:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49830.0
355246,355247,355249,355249,closed,timeout,18951.5,18952.75,18951.25,18953.0,18971.5,18931.5,-1.25,-1.75,-2.25,-45.0,10.0,0.5,3.0,3.0,1.5,2024-01-02 06:13:00+00:00,2024-01-02 06:13:00+00:00,2024-01-02 06:16:00+00:00,2024-01-02 06:16:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49785.0
355290,355291,355293,355293,closed,timeout,18948.25,18945.75,18948.0,18946.0,18968.25,18928.25,2.5,2.0,1.5,30.0,10.0,0.5,3.0,3.0,1.0,2024-01-02 06:57:00+00:00,2024-01-02 06:57:00+00:00,2024-01-02 07:00:00+00:00,2024-01-02 07:00:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49815.0
355293,355294,355296,355296,closed,timeout,18945.5,18948.75,18945.25,18949.0,18965.5,18925.5,-3.25,-3.75,-4.25,-85.0,10.0,0.5,3.0,3.0,5.5,2024-01-02 07:00:00+00:00,2024-01-02 07:00:00+00:00,2024-01-02 07:03:00+00:00,2024-01-02 07:03:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49730.0
355338,355339,355341,355341,closed,timeout,18956.0,18957.5,18955.75,18957.75,18976.0,18936.0,-1.5,-2.0,-2.5,-50.0,10.0,0.5,3.0,3.0,1.75,2024-01-02 07:45:00+00:00,2024-01-02 07:45:00+00:00,2024-01-02 07:48:00+00:00,2024-01-02 07:48:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49680.0
355416,355417,355419,355419,closed,timeout,18963.25,18955.5,18963.0,18955.75,18983.25,18943.25,7.75,7.25,6.75,135.0,10.0,0.5,3.0,3.0,0.75,2024-01-02 09:03:00+00:00,2024-01-02 09:03:00+00:00,2024-01-02 09:06:00+00:00,2024-01-02 09:06:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49815.0
355422,355423,355425,355425,closed,timeout,18951.0,18942.75,18950.75,18943.0,18971.0,18931.0,8.25,7.75,7.25,145.0,10.0,0.5,3.0,3.0,4.25,2024-01-02 09:09:00+00:00,2024-01-02 09:09:00+00:00,2024-01-02 09:12:00+00:00,2024-01-02 09:12:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49960.0
355426,355427,355429,355429,closed,timeout,18942.75,18942.0,18942.5,18942.25,18962.75,18922.75,0.75,0.25,-0.25,-5.0,10.0,0.5,3.0,3.0,2.5,2024-01-02 09:13:00+00:00,2024-01-02 09:13:00+00:00,2024-01-02 09:16:00+00:00,2024-01-02 09:16:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49955.0
355429,355430,355432,355432,closed,timeout,18941.5,18943.25,18941.25,18943.5,18961.5,18921.5,-1.75,-2.25,-2.75,-55.0,10.0,0.5,3.0,3.0,3.0,2024-01-02 09:16:00+00:00,2024-01-02 09:16:00+00:00,2024-01-02 09:19:00+00:00,2024-01-02 09:19:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49900.0
355526,355527,355529,355529,closed,timeout,18922.5,18923.5,18922.25,18923.75,18942.5,18902.5,-1.0,-1.5,-2.0,-40.0,10.0,0.5,3.0,3.0,1.75,2024-01-02 10:53:00+00:00,2024-01-02 10:53:00+00:00,2024-01-02 10:56:00+00:00,2024-01-02 10:56:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,49860.0
355530,355531,355533,355533,closed,timeout,18920.5,18912.25,18920.25,18912.5,18940.5,18900.5,8.25,7.75,7.25,145.0,10.0,0.5,3.0,3.0,1.0,2024-01-02 10:57:00+00:00,2024-01-02 10:57:00+00:00,2024-01-02 11:00:00+00:00,2024-01-02 11:00:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,50005.0
355533,355534,355536,355536,closed,timeout,18912.0,18909.5,18911.75,18909.75,18932.0,18892.0,2.5,2.0,1.5,30.0,10.0,0.5,3.0,3.0,0.5,2024-01-02 11:00:00+00:00,2024-01-02 11:00:00+00:00,2024-01-02 11:03:00+00:00,2024-01-02 11:03:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,50035.0
355543,355544,355546,355546,closed,timeout,18889.0,18884.0,18888.75,18884.25,18909.0,18869.0,5.0,4.5,4.0,80.0,10.0,0.5,3.0,3.0,5.25,2024-01-02 11:10:00+00:00,2024-01-02 11:10:00+00:00,2024-01-02 11:13:00+00:00,2024-01-02 11:13:00+00:00,trajectory_1163dafd9e9d_03_33a53ee9c626,-1,market,0.0,3,1,20,20,50115.0
