detection_index,entry_index,exit_index,termination_index,status,reason,reference_entry,exit_reference_price,entry_price,exit_price,stop_price,target_price,gross_points,fill_pnl_points,net_points,net_dollars,fees_dollars,slippage_points,holding_bars,holding_minutes,mae_points,detection_timestamp,entry_timestamp,exit_timestamp,expiry_timestamp,pattern_id,direction,entry_kind,entry_offset_points,horizon,pending_bars,stop_points,target_points,balance_after_dollars
355084,355085,355085,355085,closed,timeout,18950.5,18949.75,18950.25,18950.0,18962.5,18918.5,0.75,0.25,-0.25,-5.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 03:31:00+00:00,2024-01-02 03:31:00+00:00,2024-01-02 03:32:00+00:00,2024-01-02 03:32:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49995.0
355085,355086,355086,355086,closed,timeout,18950.0,18950.5,18949.75,18950.75,18962.0,18918.0,-0.5,-1.0,-1.5,-30.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 03:32:00+00:00,2024-01-02 03:32:00+00:00,2024-01-02 03:33:00+00:00,2024-01-02 03:33:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49965.0
355100,355101,355101,355101,closed,timeout,18949.75,18949.5,18949.5,18949.75,18961.75,18917.75,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,1.0,2024-01-02 03:47:00+00:00,2024-01-02 03:47:00+00:00,2024-01-02 03:48:00+00:00,2024-01-02 03:48:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49950.0
355101,355102,355102,355102,closed,timeout,18950.0,18949.0,18949.75,18949.25,18962.0,18918.0,1.0,0.5,0.0,0.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 03:48:00+00:00,2024-01-02 03:48:00+00:00,2024-01-02 03:49:00+00:00,2024-01-02 03:49:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49950.0
355102,355103,355103,355103,closed,timeout,18949.0,18948.5,18948.75,18948.75,18961.0,18917.0,0.5,-0.0,-0.5,-10.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 03:49:00+00:00,2024-01-02 03:49:00+00:00,2024-01-02 03:50:00+00:00,2024-01-02 03:50:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49940.0
355130,355131,355131,355131,closed,timeout,18949.0,18948.75,18948.75,18949.0,18961.0,18917.0,0.25,-0.25,-0.75,-15.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 04:17:00+00:00,2024-01-02 04:17:00+00:00,2024-01-02 04:18:00+00:00,2024-01-02 04:18:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49925.0
355202,355203,355203,355203,closed,timeout,18960.0,18958.25,18959.75,18958.5,18972.0,18928.0,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.5,2024-01-02 05:29:00+00:00,2024-01-02 05:29:00+00:00,2024-01-02 05:30:00+00:00,2024-01-02 05:30:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49940.0
355377,355378,355378,355378,closed,timeout,18971.25,18972.25,18971.0,18972.5,18983.25,18939.25,-1.0,-1.5,-2.0,-40.0,10.0,0.5,1.0,1.0,3.0,2024-01-02 08:24:00+00:00,2024-01-02 08:24:00+00:00,2024-01-02 08:25:00+00:00,2024-01-02 08:25:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49900.0
355380,355381,355381,355381,closed,timeout,18973.0,18973.25,18972.75,18973.5,18985.0,18941.0,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,0.75,2024-01-02 08:27:00+00:00,2024-01-02 08:27:00+00:00,2024-01-02 08:28:00+00:00,2024-01-02 08:28:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49875.0
355516,355517,355517,355517,closed,timeout,18934.75,18936.0,18934.5,18936.25,18946.75,18902.75,-1.25,-1.75,-2.25,-45.0,10.0,0.5,1.0,1.0,2.0,2024-01-02 10:43:00+00:00,2024-01-02 10:43:00+00:00,2024-01-02 10:44:00+00:00,2024-01-02 10:44:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49830.0
355517,355518,355518,355518,closed,timeout,18935.75,18936.0,18935.5,18936.25,18947.75,18903.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,1.5,2024-01-02 10:44:00+00:00,2024-01-02 10:44:00+00:00,2024-01-02 10:45:00+00:00,2024-01-02 10:45:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49805.0
355591,355592,355592,355592,closed,timeout,18816.75,18817.0,18816.5,18817.25,18828.75,18784.75,-0.25,-0.75,-1.25,-25.0,10.0,0.5,1.0,1.0,3.25,2024-01-02 11:58:00+00:00,2024-01-02 11:58:00+00:00,2024-01-02 11:59:00+00:00,2024-01-02 11:59:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49780.0
355592,355593,355593,355593,closed,timeout,18817.75,18816.0,18817.5,18816.25,18829.75,18785.75,1.75,1.25,0.75,15.0,10.0,0.5,1.0,1.0,0.25,2024-01-02 11:59:00+00:00,2024-01-02 11:59:00+00:00,2024-01-02 12:00:00+00:00,2024-01-02 12:00:00+00:00,trajectory_1163dafd9e9d_04_78d401e4f0c9,-1,market,0.0,1,1,12,32,49795.0
